N	3gram	Propp_Isto	Vvedenie
1	и т д	30	39
2	в том что	8	15
3	о том что	3	13
4	не может быть	4	10
5	тем не менее	6	9
6	до сих пор	7	7
7	в этом случае	8	6
8	не что иное	6	5
9	во всяком случае	2	5
10	что иное как	6	5
11	с другой стороны	10	5
12	не только в	3	4
13	в данном случае	6	4
14	т е в	2	4
15	но все же	5	4
16	с одной стороны	2	4
17	по отношению к	2	4
18	можно было бы	2	4
19	по сравнению с	2	4
20	как мы видели	7	3
21	есть не что	2	3
22	можно сказать что	2	3
23	и то что	4	3
24	только после того	2	2
25	состоит в том	2	2
26	одной и той	2	2
27	мы уже знаем	3	2
28	и той же	2	2
29	подобно тому как	3	2
30	это еще не	2	2
31	в этих случаях	13	2
32	точно так же	8	2
33	смысле этого слова	3	2
34	после того как	3	2
35	в связи с	5	2
