N	3gram	Trubetskoy	Myshleni
1	в том что	3	133
2	с точки зрения	6	89
3	для того чтобы	5	78
4	по сравнению с	2	45
5	с одной стороны	7	39
6	так же как	3	39
7	с самого начала	2	36
8	друг с другом	5	35
9	то же самое	2	31
10	в этом отношении	2	30
11	вместе с тем	8	26
12	о том что	4	25
13	на то что	2	25
14	можно сказать что	2	21
15	во всяком случае	6	18
16	этой точки зрения	2	17
17	до сих пор	5	17
18	в связи с	3	17
19	с этой точки	2	16
20	а с другой	5	13
21	точно так же	3	13
22	тем не менее	3	12
23	те и другие	2	11
24	в том числе	5	10
25	но вместе с	2	10
26	друг на друга	2	10
27	том числе и	4	10
28	более или менее	5	9
29	той или иной	2	8
30	то что он	2	8
31	и вместе с	4	7
32	с тем и	2	7
33	в том виде	2	7
34	ничего общего с	2	6
35	заключает в себе	2	6
36	и таким образом	3	6
37	в конце концов	3	5
38	но все же	4	5
39	в то же	2	5
40	между этими двумя	2	5
41	и в этом	2	5
42	таким образом в	2	4
43	влечет за собой	2	4
44	бы то ни	2	3
45	то ни было	2	3
46	в значительной мере	2	3
47	к тому же	4	3
48	и потому что	2	3
49	то же время	2	3
50	том виде в	2	3
51	потому что и	2	2
52	таким образом если	2	2
53	но все это	2	2
54	на пути к	2	2
55	не только для	2	2
