N	2gram	Tiupa_Narr	KFilosof
1	может быть	24	45
2	в его	12	42
3	в нем	9	32
4	не может	16	29
5	и не	34	28
6	и в	22	28
7	по отношению	5	26
8	в котором	3	24
9	отношению к	5	22
10	в себе	14	21
11	и его	12	18
12	только в	23	18
13	в своем	7	17
14	в ее	4	17
15	а не	27	17
16	в этом	23	15
17	не в	12	13
18	для него	8	13
19	точки зрения	8	13
20	но не	7	12
21	к нему	5	12
22	в своей	8	11
23	во всех	2	11
24	все эти	3	11
25	это не	6	10
26	в целом	5	10
27	и для	4	10
28	в едином	2	10
29	с точки	2	10
30	для нее	2	9
31	но и	39	9
32	как бы	11	9
33	и все	7	9
34	себя в	4	8
35	если бы	9	8
36	не было	3	8
37	лишь в	3	8
38	со стороны	14	8
39	в мире	8	8
40	жизни и	7	8
41	было бы	2	8
42	в себя	3	8
43	для себя	3	7
44	и здесь	3	7
45	то что	14	7
46	уже не	11	7
47	отнюдь не	6	7
48	и только	2	7
49	что и	3	7
50	вовсе не	2	7
51	отношение к	2	6
52	мира в	4	6
53	в том	20	6
54	не имеет	3	6
55	место в	3	6
56	я не	5	6
57	но это	2	6
58	он не	8	6
59	никогда не	8	5
60	от его	2	5
61	все же	10	5
62	не только	50	5
63	бытия в	2	5
64	мы имеем	6	5
65	но как	3	5
66	его как	2	5
67	хотя бы	4	5
68	то же	12	5
69	жизни в	7	5
70	в событии	3	5
71	еще не	6	5
72	не знает	2	5
73	а в	19	5
74	но в	10	5
75	событие в	5	5
76	как и	15	5
77	именно в	5	5
78	что я	4	5
79	жизни как	2	5
80	в одном	5	5
81	с ним	6	5
82	что это	4	4
83	тем самым	9	4
84	том что	15	4
85	что в	6	4
86	и т.д	7	4
87	не по	5	4
88	времени и	9	4
89	о нем	5	4
90	быть в	2	4
91	прежде всего	7	4
92	в чем	3	4
93	к ним	2	4
94	для другого	2	4
95	с другим	2	4
96	могло бы	3	4
97	моей жизни	3	4
98	в своих	2	4
99	мира и	2	4
100	входит в	2	4
101	для нас	2	4
102	с ними	5	4
103	при этом	31	4
104	должна быть	2	4
105	между тем	5	4
106	до конца	2	3
107	или иного	3	3
108	ничего не	8	3
109	того или	3	3
110	в то	9	3
111	здесь не	4	3
112	сознания и	2	3
113	в другом	5	3
114	в некотором	2	3
115	это и	2	3
116	события в	3	3
117	и тем	9	3
118	та же	2	3
119	для того	4	3
120	в современной	4	3
121	самом деле	4	3
122	в виду	2	3
123	людей и	2	3
124	себе и	2	3
125	к чему	3	3
126	по своему	3	3
127	его жизни	5	3
128	не менее	6	3
129	только с	2	3
130	о том	5	3
131	не могу	2	3
132	в ней	5	3
133	в свою	4	3
134	вступает в	2	3
135	но для	5	3
136	и на	5	3
137	в единство	2	3
138	что не	2	3
139	того что	7	3
140	мы не	5	3
141	той или	7	3
142	жизни но	3	3
143	один и	2	3
144	быть и	3	3
145	ясно что	2	3
146	не о	2	2
147	и то	3	2
148	в соответствии	8	2
149	или иной	6	2
150	и потому	2	2
151	и значимость	2	2
152	свою жизнь	2	2
153	в данном	17	2
154	я уже	2	2
155	или иным	2	2
156	сознания в	3	2
157	и ее	3	2
158	дело в	2	2
159	содержание не	2	2
160	к этому	2	2
161	дело не	3	2
162	раскол между	2	2
163	в составе	2	2
164	это было	3	2
165	с ее	3	2
166	к себе	11	2
167	тем не	7	2
168	как к	3	2
169	и как	4	2
170	в принципе	6	2
171	в виде	2	2
172	а как	2	2
173	в области	4	2
174	а с	2	2
175	одного и	2	2
176	что он	7	2
177	значимость и	2	2
178	со всеми	3	2
179	всех его	2	2
180	а для	4	2
181	так и	12	2
182	было и	2	2
183	его и	2	2
184	нем не	2	2
185	едва ли	5	2
186	в жизни	9	2
187	это уже	3	2
188	как в	9	2
189	в него	2	2
190	в сознании	6	2
191	тому что	4	2
192	она не	2	2
193	дело с	4	2
194	своей истории	2	2
195	ему в	2	2
196	оно не	4	2
197	а по	2	2
198	соответствии с	7	2
199	если не	4	2
200	в процессе	2	2
201	он и	2	2
202	один из	8	2
203	по себе	4	2
204	потому что	7	2
205	не будет	2	2
206	которой он	4	2
207	раз и	2	2
208	того чтобы	7	2
209	в событие	2	2
210	и того	5	2
211	сводится к	10	2
212	и когда	3	2
213	слова в	4	2
214	не следует	3	2
215	в качестве	27	2
216	же время	7	2
217	человек и	2	2
218	быть не	3	2
219	в этой	8	2
220	чтобы стать	2	2
221	с его	6	2
