N	2gram	Tiupa_Anal	Marksizm
1	точки зрения	3	69
2	может быть	19	64
3	и в	36	63
4	и не	14	55
5	как бы	14	53
6	не может	3	47
7	с точки	2	46
8	и его	18	41
9	в этом	19	39
10	таким образом	4	38
11	как мы	4	32
12	в пределах	5	31
13	лишь в	9	30
14	не только	40	29
15	в нем	3	28
16	то же	7	28
17	но и	26	27
18	самом деле	2	25
19	прежде всего	7	24
20	как и	27	24
21	в самом	7	24
22	так и	19	23
23	и т.п	7	23
24	только в	9	23
25	в том	16	22
26	то что	5	22
27	а не	16	22
28	при этом	19	20
29	так сказать	2	20
30	для него	8	20
31	том что	19	19
32	не в	9	19
33	в его	12	19
34	если бы	2	19
35	на почве	3	19
36	но в	8	18
37	в ее	5	18
38	и для	4	18
39	в слове	5	18
40	вовсе не	2	18
41	все же	6	17
42	в сущности	5	17
43	в то	8	16
44	по отношению	9	16
45	и как	5	16
46	что он	5	15
47	во всех	4	15
48	отношению к	9	15
49	отнюдь не	7	15
50	же время	7	15
51	в контексте	3	14
52	в данном	12	14
53	ничего не	3	13
54	мы не	4	13
55	было бы	6	13
56	в своей	12	13
57	не является	5	13
58	и здесь	4	13
59	слова в	2	13
60	что в	15	13
61	в результате	6	12
62	а в	17	12
63	того же	7	12
64	в основе	2	12
65	он не	9	12
66	между тем	8	12
67	слова как	2	11
68	как в	9	11
69	и все	3	11
70	и на	5	11
71	в ней	2	11
72	не столько	4	11
73	все эти	2	11
74	и от	3	11
75	еще не	7	11
76	и того	4	11
77	и что	2	11
78	мы уже	2	11
79	никогда не	7	10
80	его в	4	10
81	и потому	3	10
82	в каждом	4	10
83	высказывания как	2	10
84	отличие от	5	10
85	здесь в	2	10
86	без исключения	3	10
87	во всяком	6	10
88	с его	15	10
89	сказать что	2	10
90	одна из	6	10
91	к этому	3	10
92	в своем	7	10
93	совершенно не	3	10
94	в отличие	5	10
95	с другой	10	10
96	именно в	4	10
97	в таком	2	10
98	в большинстве	2	10
99	в себе	7	9
100	одного и	4	9
101	это не	4	9
102	одной из	6	9
103	к тому	10	9
104	в нашем	4	9
105	лишь на	3	9
106	в отношении	2	8
107	перед нами	7	8
108	или иной	9	8
109	и ее	3	8
110	не как	3	8
111	в форме	2	8
112	и т.д	3	8
113	в их	7	8
114	с этим	4	8
115	что не	3	8
116	не будет	3	8
117	что и	10	8
118	этого слова	3	8
119	другой стороны	7	8
120	за пределы	3	8
121	и даже	12	8
122	мы можем	2	8
123	и их	3	8
124	в свою	9	8
125	столь же	7	8
126	не было	3	8
127	сводится к	5	8
128	у него	2	8
129	свою очередь	7	7
130	того что	4	7
131	по себе	6	7
132	те же	3	7
133	место в	4	7
134	могут быть	4	7
135	там где	2	7
136	с ними	2	7
137	в качестве	22	7
138	в этой	10	7
139	в начале	10	7
140	в этих	2	7
141	далеко не	8	7
142	о том	9	7
143	той же	7	7
144	он сам	2	7
145	как раз	8	7
146	не есть	6	6
147	то есть	15	6
148	в другом	3	6
149	от своего	3	6
150	всех без	3	6
151	характерно что	2	6
152	он и	4	6
153	одной стороны	3	6
154	все это	5	6
155	с ее	3	6
156	тот же	3	6
157	из этих	4	6
158	же в	5	6
159	с одной	3	6
160	между ними	3	6
161	входит в	4	6
162	уже не	9	6
163	всяком случае	6	6
164	в той	3	6
165	к одному	2	5
166	этом отношении	3	5
167	но как	4	5
168	о чем	5	5
169	в конце	6	5
170	и тем	3	5
171	и вот	2	5
172	то в	4	5
173	в особенности	4	5
174	не менее	9	5
175	или в	4	5
176	той или	6	5
177	в первом	2	5
178	хотя и	4	5
179	да и	3	5
180	себя в	6	5
181	тем более	3	5
182	ее в	2	5
183	по преимуществу	3	5
184	жизни в	4	5
185	она не	3	5
186	но не	13	5
187	значение в	2	5
188	и является	3	5
189	для себя	2	5
190	таком случае	2	5
191	в одном	4	5
192	вместе с	3	5
193	не могут	2	4
194	нуждается в	2	4
195	в одной	2	4
196	в тех	2	4
197	едва ли	6	4
198	и прежде	2	4
199	к ее	2	4
200	так что	2	4
201	и к	7	4
202	имеет свою	2	4
203	можно сказать	5	4
204	связь с	3	4
205	одного из	4	4
206	и ту	2	4
207	и он	4	4
208	в них	4	4
209	и до	2	4
210	и самого	7	4
211	он был	3	4
212	что они	3	4
213	не будем	2	4
214	бы и	2	4
215	и то	2	4
216	к его	2	4
217	что она	3	4
218	исходит из	2	4
219	в становлении	2	4
220	со всеми	2	4
221	не знает	2	4
222	автора и	5	4
223	из них	4	4
224	мог бы	3	4
225	уже в	5	4
226	несмотря на	2	4
227	жизни и	2	4
228	перед ним	2	4
229	это и	4	4
230	тем что	3	4
231	даже в	6	3
232	не о	2	3
233	этом как	2	3
234	еще и	4	3
235	от автора	2	3
236	от его	2	3
237	были бы	3	3
238	в действительности	2	3
239	по своей	5	3
240	как к	2	3
241	его из	2	3
242	роль в	5	3
243	в значительной	3	3
244	на пути	2	3
245	в году	5	3
246	в целом	8	3
247	всякое высказывание	2	3
248	с тем	2	3
249	не так	2	3
250	как это	7	3
251	они не	2	3
252	все его	2	3
253	во втором	4	3
254	так в	4	3
255	ответ на	3	3
256	с героем	2	3
257	всегда и	2	3
258	одной и	2	3
259	вступить в	2	3
260	и по	3	3
261	связаны с	2	3
262	себе самому	2	3
263	имеет место	3	3
264	могла бы	3	3
265	значительной степени	3	3
266	того или	6	3
267	по нашему	3	3
268	здесь не	8	3
269	подход к	2	3
270	но это	3	3
271	что во	2	3
272	можно было	2	3
273	однако и	3	3
274	с их	3	3
275	тем не	3	3
276	и той	2	3
277	человека в	3	3
278	должен был	2	3
279	ни к	3	3
280	но они	2	3
281	не с	3	3
282	бы это	2	3
283	в дальнейшем	2	3
284	со стороны	12	3
285	в своих	3	3
286	в русской	9	3
287	когда он	2	3
288	или иначе	5	3
289	в диалоге	2	3
290	приводит к	5	3
291	из которых	2	3
292	совпадает с	4	3
293	или точнее	2	3
294	однако не	2	3
295	к жизни	5	3
296	говорить о	6	3
297	не следует	5	3
298	один и	2	3
299	и внешней	3	3
300	с ним	2	3
301	этих двух	2	3
302	сознания к	2	2
303	тем самым	8	2
304	идет о	2	2
305	указывает на	3	2
306	или к	2	2
307	вступает в	5	2
308	одну из	3	2
309	крайней мере	5	2
310	в состоянии	2	2
311	каждый из	2	2
312	до известной	3	2
313	с той	3	2
314	ли не	5	2
315	ему и	2	2
316	он же	2	2
317	противном случае	2	2
318	оказывается в	2	2
319	от себя	3	2
320	здесь как	2	2
321	в частности	19	2
322	его внешней	2	2
323	а с	2	2
324	в прошлом	2	2
325	и тех	2	2
326	к этой	2	2
327	так или	5	2
328	в общем	4	2
329	гораздо более	3	2
330	тех пор	2	2
331	для всех	5	2
332	могли бы	2	2
333	к самому	2	2
334	мира и	2	2
335	не могла	2	2
336	на его	3	2
337	в романе	3	2
338	его не	3	2
339	впервые в	3	2
340	себя и	2	2
341	известной степени	3	2
342	принадлежит к	4	2
343	данном случае	11	2
344	на языке	3	2
345	отсюда и	2	2
346	например в	2	2
347	или иного	5	2
348	когда мы	2	2
349	в литературе	3	2
350	в первой	10	2
351	его как	3	2
352	это было	2	2
353	внутренней и	2	2
354	его за	2	2
355	сама по	3	2
356	который как	2	2
357	во второй	8	2
358	превращается в	3	2
359	внутреннего мира	2	2
360	тот или	3	2
361	как о	3	2
362	героя и	7	2
363	только по	2	2
364	во время	2	2
365	на смену	5	2
366	в чем	2	2
367	по крайней	5	2
368	дело с	3	2
369	есть в	2	2
370	в жизни	2	2
371	во всем	5	2
372	самим автором	2	2
373	ними в	2	2
374	за пределами	2	2
375	поэтому в	2	2
376	поскольку он	3	2
377	и если	2	2
378	оно не	2	2
379	что мы	2	2
380	в противном	2	2
381	по его	4	2
382	нового времени	4	2
383	говоря языком	2	2
384	тому же	7	2
385	жизни но	4	2
386	отношения к	6	2
387	но с	3	2
388	первой части	2	2
389	самый момент	2	2
