N	2gram	Medvedev_F	Komedia
1	и в	54	77
2	и не	34	47
3	в том	17	44
4	том что	3	42
5	т е	50	33
6	едва ли	3	32
7	но и	18	32
8	может быть	30	30
9	таким образом	28	29
10	из них	5	29
11	в то	14	28
12	и его	27	28
13	в этом	39	27
14	потому что	2	27
15	что он	8	26
16	к тому	6	26
17	не только	14	25
18	вместе с	8	25
19	так как	4	24
20	как и	18	23
21	ни в	3	23
22	что в	10	23
23	что и	10	22
24	если бы	8	22
25	в самом	17	22
26	в конце	2	21
27	так и	24	21
28	а в	11	21
29	то же	16	21
30	ясно что	3	21
31	в его	30	20
32	со стороны	7	19
33	к этому	3	19
34	в этой	10	18
35	и т	22	17
36	тем что	6	17
37	еще не	6	17
38	и здесь	8	17
39	в нем	25	17
40	же время	13	17
41	все же	8	16
42	не менее	12	16
43	при этом	14	16
44	сих пор	7	16
45	он не	8	16
46	до сих	7	16
47	его в	5	15
48	в своем	12	15
49	не в	16	15
50	точки зрения	21	15
51	между тем	4	15
52	прежде всего	34	15
53	один из	4	15
54	было бы	10	15
55	в которой	5	15
56	и на	10	15
57	к нему	3	14
58	все это	11	14
59	в свою	8	14
60	и с	17	14
61	столь же	2	14
62	то что	14	13
63	так что	2	13
64	самом деле	12	13
65	но в	9	13
66	в них	4	13
67	того чтобы	4	13
68	в одном	2	13
69	как раз	8	13
70	так же	5	12
71	с другой	8	12
72	для того	3	12
73	т п	11	12
74	как это	8	12
75	несмотря на	2	12
76	не по	4	12
77	в качестве	2	12
78	в истории	10	12
79	хотя и	3	12
80	не может	26	12
81	как в	12	12
82	но не	5	12
83	в котором	2	12
84	по отношению	4	11
85	в их	16	11
86	в частности	4	11
87	с тем	11	11
88	одного из	4	11
89	как мы	10	11
90	к ней	3	11
91	и даже	7	11
92	и для	5	11
93	с ним	3	11
94	в отношении	3	10
95	в целом	7	10
96	отношение к	4	10
97	ничего не	5	10
98	одной из	2	10
99	и все	9	10
100	в чем	2	10
101	на его	2	10
102	мы не	6	10
103	же в	4	10
104	свою очередь	6	10
105	с его	12	10
106	с этим	6	10
107	на него	3	10
108	с одной	5	10
109	как бы	10	10
110	еще в	2	10
111	и что	2	10
112	отличие от	2	9
113	тому что	3	9
114	одной стороны	5	9
115	и особенно	3	9
116	и по	3	9
117	даже не	2	9
118	из его	2	9
119	в своей	16	9
120	независимо от	5	9
121	отношению к	4	9
122	но все	4	9
123	друг друга	4	9
124	вовсе не	18	9
125	говорить о	4	9
126	только в	6	9
127	в ней	15	9
128	идет о	3	8
129	и ее	15	8
130	и других	4	8
131	как он	2	8
132	то ни	5	8
133	в в	2	8
134	с самого	2	8
135	место в	8	8
136	связи с	12	8
137	другой стороны	5	8
138	бы в	6	8
139	с этой	4	8
140	что для	3	8
141	не было	7	8
142	во всех	9	8
143	вопрос о	3	7
144	до конца	9	7
145	в себе	4	7
146	в другом	2	7
147	и к	7	7
148	мы знаем	3	7
149	самого начала	2	7
