N	2gram	Bakhtin_Pr	Otkroven
1	о человеке	2	29
2	у него	9	22
3	у достоевского	35	19
4	и в	59	19
5	но и	22	13
6	и не	66	13
7	в этом	40	12
8	не только	26	11
9	человека в	8	11
10	не в	10	11
11	из подполья	14	11
12	а не	30	11
13	может быть	38	11
14	и все	4	10
15	человека и	2	10
16	в нем	38	10
17	вопрос о	4	10
18	никогда не	19	9
19	к человеку	3	9
20	в самой	10	9
21	потому что	20	9
22	в человеке	15	9
23	не было	5	9
24	прежде всего	17	9
25	и он	3	8
26	ивана карамазова	9	7
27	лишь в	4	7
28	в его	44	7
29	достоевского он	2	7
30	до конца	11	7
31	от него	3	7
32	он не	11	7
33	но он	3	7
34	как и	21	6
35	все это	12	6
36	записок из	4	5
37	для него	23	5
38	для достоевского	9	5
39	а в	9	5
40	в том	17	5
41	него в	2	5
42	в творчестве	6	5
43	достоевского и	14	5
44	в самом	19	5
45	то что	21	5
46	в этой	5	5
47	отношение к	4	5
48	и его	21	4
49	достоевский не	8	4
50	что в	14	4
51	он сам	9	4
52	в романах	15	4
53	того чтобы	5	4
54	достоевского не	18	4
55	все эти	12	4
56	герои достоевского	5	4
57	человек и	2	4
58	в самую	2	4
59	не может	31	4
60	в преступлении	2	4
61	все в	7	4
62	что не	6	4
63	достоевского все	2	4
64	с его	14	4
65	в себе	9	3
66	и от	3	3
67	о том	5	3
68	романах достоевского	12	3
69	это не	13	3
70	к нему	13	3
71	не могут	6	3
72	что он	16	3
73	самого достоевского	8	3
74	и вот	4	3
75	как художник	4	3
76	достоевский был	5	3
77	было бы	10	3
78	достоевского в	21	3
79	достоевского было	3	3
80	и наказании	2	3
81	для того	3	3
82	еще не	11	3
83	и есть	6	3
84	все что	6	3
85	в этих	5	3
86	в своих	5	3
87	в русской	3	3
88	и ее	5	3
89	как бы	40	3
90	хотя бы	5	3
91	могут быть	5	3
92	это было	3	3
93	подполья и	2	3
94	с ним	13	3
95	мысли и	5	3
96	человеческого духа	2	3
97	преступлении и	2	3
98	того что	4	3
99	как к	3	2
100	одно из	2	2
101	достоевского к	5	2
102	сказать что	9	2
103	и на	15	2
104	что достоевский	3	2
105	героев достоевского	5	2
106	уже в	9	2
107	что же	5	2
108	достоевского с	8	2
109	творчество достоевского	3	2
110	и для	5	2
111	в уста	3	2
112	что все	5	2
113	из всего	2	2
114	не имеет	2	2
115	не могли	3	2
116	ничего не	8	2
117	и с	10	2
118	что и	10	2
119	этого мира	6	2
120	ее в	2	2
121	дмитрия и	2	2
122	достоевский прежде	4	2
123	и потому	9	2
124	в ее	4	2
125	произведений достоевского	8	2
126	в своем	12	2
127	и этим	2	2
128	тем что	5	2
129	человека а	2	2
130	но в	7	2
131	том что	15	2
132	что для	4	2
133	о достоевском	12	2
134	достоевским и	2	2
135	от человека	2	2
136	все же	9	2
137	него не	4	2
138	ко всем	2	2
139	его героев	6	2
140	жизни в	3	2
141	в своей	17	2
142	он в	3	2
143	ведь это	3	2
144	так как	11	2
145	достоевского нет	3	2
146	по себе	13	2
147	что у	5	2
148	же это	2	2
149	что они	3	2
150	в истории	3	2
151	так что	3	2
152	своей жизни	2	2
153	даже и	2	2
154	не все	2	2
155	иван карамазов	2	2
156	должно быть	4	2
157	человека достоевский	3	2
158	и о	5	2
159	не есть	2	2
160	с которой	4	2
161	и нет	2	2
162	к этому	6	2
163	все еще	2	2
164	и к	5	2
165	так и	13	2
166	иваном карамазовым	2	2
167	достоевского но	10	2
168	романов достоевского	12	2
169	в которой	6	2
170	которую он	2	2
171	его не	2	2
172	всего в	2	2
173	в единстве	7	2
174	особенность достоевского	2	2
175	в этот	2	2
176	на западе	2	2
177	и ивана	2	2
178	чем в	3	2
179	его в	6	2
