N	2gram	Savitsky_P	Stilisti
1	и в	14	42
2	как бы	4	30
3	не только	17	28
4	прежде всего	3	22
5	хотя бы	8	18
6	то же	9	16
7	но и	6	16
8	и не	12	14
9	не может	4	13
10	может быть	5	13
11	точки зрения	3	11
12	что мы	3	11
13	в себе	3	10
14	и как	3	10
15	отнюдь не	2	10
16	мы должны	4	10
17	в этом	10	10
18	в то	7	9
19	для того	3	9
20	то что	4	9
21	мы не	3	9
22	тем самым	3	8
23	и это	2	8
24	с тем	3	8
25	в ней	6	8
26	же время	7	7
27	потому что	3	7
28	только в	7	7
29	а не	2	7
30	было бы	6	7
31	и тем	2	7
32	во всех	2	6
33	не в	5	6
34	в области	11	6
35	в нем	3	6
36	в его	2	6
37	точек зрения	2	5
38	а в	4	5
39	но в	9	5
40	и с	2	5
41	с точки	3	5
42	да и	2	4
43	если бы	4	4
44	того что	2	4
45	так называемые	2	4
46	и пр	5	4
47	и к	4	4
48	было в	2	4
49	все это	2	4
50	в качестве	9	4
51	заключает в	2	4
52	не к	2	4
53	и без	3	4
54	это не	3	3
55	слова но	2	3
56	том что	4	3
57	в начале	2	3
58	в том	9	3
59	в частности	2	3
60	и вот	2	3
61	теперь в	2	3
62	в котором	4	3
63	быть может	6	3
64	главным образом	2	3
65	из них	2	3
66	для нас	2	3
67	хотя и	3	3
68	в ее	2	3
69	отношения к	2	3
70	между тем	3	3
71	в отношении	10	2
72	и потому	4	2
73	помнить что	2	2
74	с этим	2	2
75	должно быть	2	2
76	н о	5	2
77	не нужно	2	2
78	есть не	2	2
79	я и	3	2
80	в значительной	2	2
81	к чему	2	2
82	в пределах	8	2
83	нужно было	2	2
84	в глубинах	2	2
85	в жизни	2	2
86	в мире	2	2
87	но не	3	2
88	еще более	2	2
89	в которых	5	2
90	для них	2	2
91	не было	2	2
92	друг другу	2	2
93	тот же	3	2
