N	3gram	Trubetskoy	Analitik
1	в том что	3	25
2	в то же	2	16
3	о том что	4	15
4	той или иной	2	14
5	то же время	2	14
6	к тому же	4	13
7	с одной стороны	7	9
8	по крайней мере	5	9
9	в этом отношении	2	8
10	с точки зрения	6	8
11	во всяком случае	6	7
12	тем не менее	3	6
13	так или иначе	3	6
14	для того чтобы	5	4
15	и в этом	2	4
16	то ни было	2	3
17	бы то ни	2	3
18	то же самое	2	3
19	в том числе	5	3
20	в связи с	3	3
21	можно сказать что	2	3
22	более или менее	5	2
23	а с другой	5	2
24	друг с другом	5	2
25	этой точки зрения	2	2
26	с этой точки	2	2
27	до сих пор	5	2
28	на то что	2	2
