N	2gram	Tiupa_Hudo	Hudozhes
1	в качестве	13	31
2	в мире	10	24
3	и в	34	23
4	не только	22	20
5	состоит в	8	20
6	в том	24	20
7	может быть	12	19
8	при этом	21	19
9	в частности	10	18
10	и не	15	16
11	тогда как	10	15
12	но и	13	14
13	в рамках	2	13
14	а в	11	13
15	в себе	19	13
16	я в	2	13
17	но не	7	13
18	в тексте	8	13
19	а не	23	13
20	то же	14	12
21	такого рода	4	12
22	в этом	22	12
23	и его	8	12
24	так и	19	12
25	как бы	11	11
26	точки зрения	7	11
27	в его	17	11
28	сводится к	7	11
29	но в	6	10
30	по отношению	15	10
31	отношению к	15	10
32	не в	16	9
33	в душе	6	9
34	или иной	2	9
35	том что	31	9
36	художественного письма	2	9
37	не может	10	9
38	с другой	4	9
39	своего рода	19	9
40	в то	12	8
41	в миропорядке	4	8
42	себя в	11	8
43	в самом	7	7
44	и т.п	2	7
45	по своей	5	7
46	отношение к	3	7
47	я и	7	7
48	лишь в	5	7
49	в своей	15	7
50	только в	8	7
51	же время	11	7
52	как это	8	7
53	что в	8	7
54	в основе	3	7
55	не столько	4	7
56	внутреннего я	3	6
57	всего лишь	7	6
58	уже не	12	6
59	по сути	2	6
60	приводит к	5	6
61	а также	4	6
62	художественности в	4	6
63	в нем	5	6
64	с ее	7	6
65	можно сказать	9	6
66	в ее	16	6
67	с его	9	6
68	я с	2	5
69	тем самым	2	5
70	ни в	5	5
71	с другими	2	5
72	или иначе	3	5
73	картина мира	4	5
74	художественной реальности	3	5
75	конечном счете	4	5
76	в конечном	5	5
77	в художественном	6	5
78	между ними	2	5
79	место в	3	5
80	как к	4	5
81	иначе говоря	2	5
82	для того	3	5
83	того чтобы	6	5
84	в ходе	4	5
85	со стороны	6	5
86	в их	2	5
87	героя и	5	5
88	слова как	2	5
89	внешней данности	7	5
90	что он	14	5
91	то что	13	5
92	не менее	9	5
93	прежде всего	12	5
94	того что	5	5
95	для него	15	5
96	личности в	9	4
97	и то	2	4
98	сказать что	3	4
99	его в	5	4
100	или иного	4	4
101	это не	12	4
102	для себя	9	4
103	а только	4	4
104	так в	2	4
105	того или	4	4
106	к тому	11	4
