N	3gram	Losev_Vesc	StatiiOP
1	в том что	9	47
2	и т д	36	32
3	о том что	4	29
4	в этом отношении	2	24
5	для того чтобы	2	19
6	с точки зрения	6	14
7	во всяком случае	2	13
8	с другой стороны	3	13
9	не может быть	22	11
10	в то же	5	9
11	в самом деле	7	9
12	то же время	4	9
13	на то что	7	9
14	можно было бы	3	9
15	вместе с тем	3	9
16	дело в том	4	9
17	тем не менее	11	8
18	не только в	5	8
19	к тому что	2	8
20	том что он	2	7
21	в данном случае	2	7
22	в конце концов	2	7
23	заключается в том	3	7
24	в то время	4	7
25	и в этом	2	7
26	но все же	2	7
27	по крайней мере	10	6
28	так же как	2	6
29	вопрос о том	2	6
30	не только не	4	6
31	в этом смысле	2	6
32	нужно сказать что	2	5
33	в свое время	2	5
34	то время как	4	5
35	как раз в	2	5
36	в том чтобы	2	5
37	в применении к	2	4
38	то что он	2	4
39	сами по себе	3	4
40	с одной стороны	3	4
41	так или иначе	5	4
42	бы то ни	12	3
43	т е в	7	3
44	можно сказать что	3	3
45	т е не	5	3
46	что в ней	3	3
47	и не в	3	3
48	и в и	2	3
49	более или менее	4	3
50	и тем не	5	3
51	о том как	4	3
52	но если это	3	2
53	сам по себе	4	2
54	ни в каком	6	2
55	то что я	2	2
56	так что в	3	2
57	ни о каком	2	2
58	только тогда когда	2	2
59	но то что	3	2
60	которая была бы	2	2
61	в чем же	5	2
62	нельзя сказать что	2	2
63	того что именно	2	2
64	не может не	3	2
65	и в то	3	2
66	и даже не	3	2
67	то ни было	12	2
68	т д и	11	2
69	хотя бы и	2	2
70	то что у	2	2
71	что мы имеем	2	2
72	как бы ни	2	2
73	и то что	5	2
74	что это есть	3	2
75	в свою очередь	5	2
76	а не в	2	2
77	в той или	2	2
