N	4gram	Losev_Vesc	Dialekti
1	не что иное как	12	18
2	в то же время	4	14
3	и т д и	11	14
4	одно и то же	5	12
5	д и т д	10	12
6	т д и т	10	12
7	есть не что иное	8	11
8	в то время как	4	8
9	или по крайней мере	2	8
10	ни в каком случае	4	7
11	ни с какой стороны	2	6
12	по крайней мере в	2	6
13	и в то же	3	6
14	и тем не менее	5	5
15	это значит что мы	4	5
16	то это значит что	3	5
17	с этой точки зрения	3	4
18	это значит? это значит	2	4
19	значит? это значит что	2	4
20	с какой стороны не	2	4
21	что это значит? это	2	4
22	не имеет никакого отношения	2	4
23	это и значит что	3	3
24	от всего прочего и	2	3
25	в той или другой	2	3
26	в каком случае не	2	3
27	значит ли это что	4	2
28	это значило бы что	3	2
29	никогда не есть только	2	2
30	это значит что она	4	2
31	дело в том что	4	2
