N	2gram	Bakhtin_Fr	Mirosoze
1	и в	68	97
2	может быть	10	64
3	не только	21	63
4	в этом	28	55
5	но и	17	54
6	он не	11	53
7	а не	6	53
8	в нем	12	49
9	не может	5	49
10	у него	14	47
11	и не	25	39
12	никогда не	2	38
13	потому что	3	37
14	в ней	6	37
15	не было	7	36
16	не в	2	34
17	и есть	5	33
18	для него	7	31
19	но он	9	30
20	прежде всего	23	29
21	как и	17	29
22	но в	20	27
23	и он	2	27
24	в мире	6	27
25	и это	5	25
26	в своей	11	25
27	он был	5	25
28	и все	16	24
29	у нас	4	24
30	в своем	11	23
31	что в	14	23
32	что он	7	22
33	в самом	6	21
34	в себе	5	20
35	отношение к	11	20
36	до конца	10	19
37	как бы	7	19
38	в его	21	18
39	и потому	6	17
40	того что	3	17
41	в том	12	16
42	том что	6	16
43	то что	11	16
44	было бы	4	16
45	и его	26	16
46	не был	4	15
47	быть может	2	15
48	в этой	15	15
49	в котором	3	15
50	в конце	8	14
51	так как	7	14
52	в творчестве	5	14
53	и вот	4	13
54	друг друга	2	13
55	и на	16	13
56	это не	5	12
57	и у	2	12
58	к нему	4	12
59	смысле слова	5	12
60	в них	19	12
61	все это	6	12
62	но не	4	12
63	но это	5	11
64	менее всего	2	11
65	хотя бы	2	11
66	в которой	6	11
67	только в	9	11
68	как в	4	11
69	и для	6	11
70	уже не	2	11
71	и к	4	11
72	жизни и	6	11
73	так же	3	10
74	это и	4	10
75	один из	9	10
76	то же	14	10
77	связана с	4	10
78	есть и	4	9
79	xix века	5	9
80	а в	3	9
81	что и	3	9
82	и во	6	9
83	из самых	2	9
84	образ и	2	9
85	то есть	31	9
86	все что	4	9
87	в свою	3	9
88	свободу и	2	9
89	с ним	3	9
90	лишь в	3	9
91	вместе с	4	9
92	ничего не	4	8
93	в этих	8	8
94	не так	3	8
95	они не	4	8
96	жизнь в	3	8
97	мира и	4	8
98	того чтобы	6	8
99	в отношении	3	8
100	с его	6	8
101	себя в	2	8
102	тем что	6	8
103	для того	5	8
104	о том	5	8
105	и с	15	8
106	еще в	4	8
107	уже в	4	8
108	те же	6	7
109	как он	4	7
110	в духе	11	7
111	что все	2	7
112	он в	2	7
113	точки зрения	8	7
114	на этом	3	7
115	также и	6	7
116	в нашем	5	7
117	все в	2	7
118	отношения к	2	7
119	во всем	4	7
120	чем в	2	7
121	его в	7	6
122	в ее	5	6
123	его на	2	6
124	это есть	2	6
125	быть и	2	6
126	и от	4	6
127	что это	4	6
128	можно было	3	6
129	было в	2	6
130	если бы	3	6
131	же и	4	6
132	по своей	4	6
133	жизнь и	2	6
134	и более	2	6
135	что у	2	6
136	и здесь	5	6
137	не к	2	6
138	и если	2	5
139	в то	14	5
140	к которому	2	5
141	в их	6	5
142	так и	8	5
143	все время	3	5
144	они и	4	5
145	и этот	2	5
146	от этого	2	5
147	в более	4	5
148	он остается	2	5
149	должны быть	2	5
150	до того	2	5
