N	3gram	Losev_Dial	Narrotol
1	в том что	12	18
2	в данном случае	3	17
3	о том что	6	9
4	к тому же	2	9
5	в то же	3	8
6	той или иной	2	8
7	тем не менее	10	8
8	в этом отношении	2	8
9	то же время	3	8
10	не может быть	12	8
11	с одной стороны	3	6
12	подобно тому как	5	5
13	к тому что	2	4
14	во всяком случае	3	4
15	точно так же	3	3
16	того или иного	3	3
17	иметь в виду	3	3
18	в связи с	3	3
19	с точки зрения	25	3
20	в самом деле	6	3
21	в зависимости от	3	3
22	на то что	3	3
23	одно и то	2	2
24	и то же	2	2
25	не только не	7	2
26	в таком случае	11	2
27	не в том	5	2
28	в нем не	2	2
29	хотя и не	2	2
30	так же как	2	2
31	что иное как	6	2
32	сами по себе	3	2
33	и в то	2	2
