N	2gram	Berdyaev_O	PoTuStor
1	может быть	11	17
2	и в	19	16
3	в этом	12	9
4	прежде всего	9	9
5	и с	2	8
6	не может	4	8
7	и его	4	8
8	сказать что	2	7
9	не только	11	7
10	с его	4	7
11	и к	2	6
12	для него	5	6
13	все эти	4	5
14	как бы	3	5
15	еще не	3	5
16	отношение к	5	5
17	и на	2	4
18	все это	6	4
19	его в	2	4
20	в его	7	4
21	и ее	3	4
22	но и	13	4
23	и не	13	4
24	и все	10	4
25	но в	2	4
26	в этой	5	4
27	так как	2	4
28	все что	3	4
29	в нем	10	4
30	хотя бы	3	4
31	так и	2	4
32	мысли и	3	4
33	что в	4	3
34	и потому	2	3
35	а в	5	3
36	в том	5	3
37	и вот	3	3
38	и есть	3	3
39	в этих	3	3
40	то что	5	3
41	могут быть	3	3
42	учение о	2	3
43	том что	2	3
44	никогда не	9	2
45	и для	2	2
46	совсем не	2	2
47	что не	4	2
48	что и	2	2
49	ее в	2	2
50	было бы	3	2
51	не могут	3	2
52	о том	3	2
53	как и	6	2
54	что он	3	2
55	в глубину	2	2
56	в своей	2	2
57	в самом	5	2
58	он не	7	2
59	у него	22	2
60	своей жизни	2	2
61	и о	2	2
62	не есть	2	2
63	в душе	2	2
64	к этому	2	2
65	нем нет	3	2
66	только и	4	2
67	момент в	2	2
68	быть может	3	2
69	и этим	2	2
70	в этот	2	2
71	влечет к	3	2
72	с ним	3	2
