N	3gram	Voloshinov	Freidism
1	с точки зрения	6	15
2	не может быть	3	14
3	в самом деле	2	10
4	во всяком случае	3	8
5	на протяжении всей	2	6
6	в большинстве случаев	3	5
7	можно сказать что	3	5
8	с самого начала	4	5
9	мы можем сказать	2	5
10	из тех же	2	4
11	по ту сторону	4	4
12	ни в чем	3	4
13	протяжении всей жизни	2	4
14	в чем не	3	4
15	не могут быть	2	4
16	фрейд и его	3	4
17	метод свободного фантазирования	2	4
18	и его ученики	3	4
19	на самом деле	4	4
20	я и оно	2	4
21	все то что	2	3
22	а потому и	2	3
23	но в общем	2	3
24	мысли и образы	2	3
25	всей жизни человека	2	3
26	о том что	2	3
27	чувств и желаний	2	3
28	в конечном счете	2	3
29	до сих пор	3	3
30	об эрогенных зонах	2	3
31	пробиться в сознание	2	2
32	испытание с точки	2	2
33	его все позволено	2	2
34	к матери и	3	2
35	пр и пр	2	2
36	с его все	2	2
37	мы полагаем что	3	2
38	может быть это	3	2
39	в систему бессознательного	2	2
40	абстрактный биологический организм	2	2
41	мир по ту	2	2
42	на две группы	2	2
43	фрейд и фрейдисты	2	2
44	явные образы сновидения	2	2
45	с вытесненным представлением	2	2
46	является по ранку	2	2
47	в этом смысле	3	2
48	и пр и	3	2
49	всей последующей жизни	2	2
50	и может быть	2	2
51	в его целом	2	2
52	связанных с ними	2	2
53	рассеяно по всему	2	2
