N	2gram	Propp_Russ	Narrotol
1	не только	28	62
2	и не	6	50
3	при этом	11	47
4	но и	20	45
5	а не	3	38
6	в качестве	5	35
7	в частности	2	31
8	может быть	14	30
9	и в	59	30
10	в том	33	29
11	своего рода	3	28
12	том что	33	28
13	тогда как	4	28
14	в этом	18	28
15	а в	16	27
16	состоит в	18	25
17	представляет собой	5	25
18	только в	4	25
19	в данном	7	24
20	как и	19	24
21	не в	2	23
22	то что	10	23
23	то есть	3	22
24	не может	6	20
25	данном случае	8	17
26	так и	8	17
27	а также	6	17
28	в его	3	16
29	но в	5	15
30	к тому	4	15
31	в жизни	2	14
32	и его	2	14
33	в своем	3	13
34	то же	6	13
35	у него	2	13
36	о том	14	13
37	уже не	9	13
38	перед нами	2	12
39	все же	7	12
40	прежде всего	2	12
41	как в	10	12
42	как бы	18	12
43	отличие от	4	11
44	об этом	11	11
45	в нем	3	11
46	в этой	4	11
47	в отличие	4	11
48	хотя и	3	11
49	в то	3	10
50	ничего не	4	10
51	как это	11	10
52	один из	10	10
53	точки зрения	3	10
54	того что	6	10
55	как правило	4	10
56	не является	2	10
57	и все	4	10
58	но не	7	10
59	между тем	9	10
60	еще не	7	9
61	что он	2	9
62	что в	35	9
63	отнюдь не	3	9
64	тем не	3	9
65	далеко не	5	9
66	потому что	15	9
67	с ним	2	9
68	о чем	7	8
69	не менее	3	8
70	того чтобы	6	8
71	одна из	12	8
72	мы имеем	7	8
73	у нас	11	8
74	и для	3	8
75	и к	3	8
76	в таком	5	8
77	в свою	3	7
78	это не	14	7
79	в ней	3	7
80	на себя	4	7
81	в целом	2	7
82	имеет место	3	7
83	же в	5	7
84	в силу	2	7
85	из наиболее	2	7
86	в котором	2	7
87	и на	14	7
88	или в	7	7
89	в форме	3	7
90	вплоть до	4	6
91	ответ на	2	6
92	на другой	2	6
93	между двумя	2	6
94	что и	8	6
95	представляют собой	13	6
96	например в	3	6
97	то и	4	6
98	из этих	6	6
99	как у	2	6
100	что у	3	6
101	в нашем	2	6
102	на то	2	6
103	слова в	3	6
104	все что	2	6
105	таким образом	10	6
106	на самом	3	5
107	и у	5	5
108	не всегда	4	5
109	а именно	2	5
110	и о	4	5
111	к нему	3	5
112	место в	2	5
113	между собой	4	5
114	не столько	3	5
115	исходя из	2	5
116	было бы	3	5
117	мы не	11	5
118	свою очередь	2	5
119	и здесь	3	5
120	и то	2	5
121	и от	2	5
122	что это	4	5
123	или не	2	5
124	с ними	6	5
125	в равной	2	5
126	подобно тому	3	5
127	для того	6	5
128	в пределах	2	5
129	в какой	3	5
130	не случайно	2	5
131	за пределами	2	5
132	их в	7	5
133	именно в	3	5
134	в своих	3	5
135	следует признать	2	5
136	о них	2	5
137	еще в	6	5
138	из них	12	5
139	тому как	3	5
140	в одном	4	5
141	не было	3	5
142	как будто	6	5
143	в москве	4	4
144	и ее	3	4
145	начиная с	4	4
146	а на	8	4
147	в виду	3	4
148	как он	2	4
149	в области	3	4
150	только на	4	4
151	друг друга	3	4
152	по своему	2	4
153	в них	10	4
154	тому что	4	4
155	она не	4	4
156	так в	5	4
157	что на	5	4
158	не все	4	4
159	и по	10	4
160	равной степени	2	4
161	не на	2	4
162	что они	8	4
163	который в	2	4
164	как мы	11	4
165	в поле	18	4
166	быть и	3	4
167	к этому	7	4
168	другой день	2	4
169	к ней	4	4
170	и как	2	4
171	не имеет	9	4
172	как по	2	4
173	но они	4	4
174	не с	5	4
175	на святках	15	4
176	оно не	2	4
177	и с	12	4
178	для нас	12	4
179	несмотря на	4	4
180	к жизни	3	4
181	или даже	3	4
182	не к	3	4
183	вместе с	16	4
184	до конца	5	3
185	ее и	2	3
186	и потому	3	3
187	так же	7	3
188	каждый из	3	3
189	с таким	2	3
190	должен быть	2	3
191	с этой	2	3
192	как известно	2	3
193	в виде	10	3
194	связано с	3	3
195	а с	6	3
196	здесь мы	3	3
197	одно из	6	3
198	к ним	4	3
199	как уже	6	3
200	в него	2	3
201	и это	2	3
202	в церкви	2	3
203	же не	2	3
204	а к	3	3
205	же как	5	3
206	иметь в	2	3
207	все эти	5	3
208	и дело	2	3
209	связи с	6	3
210	в связи	4	3
211	во время	23	3
212	и т	13	3
213	интерес к	2	3
214	для обозначения	2	3
215	но это	5	3
216	можно было	3	3
217	что она	4	3
218	дело не	2	3
219	в которой	3	3
220	должен был	3	3
221	в этих	3	3
222	в е	2	3
223	на этот	3	3
224	входит в	4	3
225	приводит к	4	3
226	себя внимание	2	3
227	с точки	3	3
228	говорит о	3	3
229	и что	8	3
230	говорить о	2	3
231	не просто	3	3
232	по его	2	3
233	она в	4	3
234	как на	2	3
235	что именно	3	3
236	и после	2	3
237	но он	3	3
238	очевидно что	2	2
239	в которых	8	2
240	встречаются и	2	2
241	в это	4	2
242	за столом	2	2
243	них как	2	2
244	с той	2	2
245	также не	2	2
246	что с	2	2
247	в их	5	2
248	так называемая	2	2
249	как можно	3	2
250	после этого	6	2
251	так что	4	2
252	на две	3	2
253	представления о	2	2
254	по полю	3	2
255	они и	2	2
256	е годы	2	2
257	только с	2	2
258	в более	2	2
259	где они	2	2
260	могут быть	3	2
261	в году	5	2
262	для них	5	2
263	ней в	2	2
264	и во	2	2
265	или просто	2	2
266	в двух	2	2
267	не объясняет	5	2
268	если в	3	2
269	только по	2	2
270	тут же	2	2
271	но все	3	2
272	в россии	4	2
273	церкви и	3	2
274	и еще	2	2
275	и через	2	2
276	нас в	2	2
277	должно быть	2	2
278	его как	2	2
279	также в	5	2
280	в этот	19	2
281	мы можем	2	2
282	переход от	3	2
283	тот кто	2	2
284	на первый	3	2
285	все это	12	2
286	тем что	7	2
287	та же	4	2
288	в особенности	3	2
289	и наконец	2	2
290	xix в	16	2
291	судя по	2	2
292	одним из	2	2
293	что иное	3	2
294	его и	2	2
295	в течение	7	2
296	во всех	6	2
297	и более	3	2
298	на нее	5	2
299	есть в	2	2
300	а за	4	2
301	с другим	2	2
302	когда он	3	2
303	будто бы	10	2
304	тем это	3	2
305	из которых	2	2
306	видно что	8	2
307	иное как	3	2
308	в других	24	2
309	к другому	2	2
310	значения и	2	2
311	с собой	4	2
312	таким же	4	2
313	как только	2	2
314	это время	4	2
315	не оставляет	2	2
316	и сами	2	2
317	не можем	5	2
