N	2gram	Propp_Isto	Dialekti
1	не есть	3	181
2	т е	36	159
3	и не	16	120
4	и т	33	82
5	по себе	3	79
6	а не	13	78
7	и в	43	77
8	т д	30	75
9	точки зрения	3	72
10	может быть	22	71
11	не только	28	66
12	то что	20	59
13	и есть	3	55
14	ничего не	12	54
15	не может	8	53
16	и даже	4	47
17	в мифе	2	47
18	так как	13	46
19	что это	4	46
20	потому что	8	45
21	не просто	4	44
22	как бы	5	43
23	ни в	2	42
24	и что	6	42
25	не имеет	3	41
26	вовсе не	3	41
27	в том	13	40
28	в этом	25	39
29	то же	11	39
30	в себе	2	38
31	что она	8	38
32	том что	12	37
33	что он	17	37
34	прежде всего	3	37
35	это не	10	36
36	так что	8	36
37	что в	29	34
38	в нем	11	34
39	и все	4	33
40	того что	8	33
41	но и	24	32
42	все это	4	31
43	ясно что	2	31
44	и как	6	30
45	сказать что	5	30
46	так и	6	29
47	было бы	5	29
48	как и	9	28
49	никогда не	9	27
50	в виду	2	26
51	не в	9	26
52	есть и	7	26
53	есть только	4	25
54	есть не	2	25
55	и то	4	25
56	и пр	19	25
57	если бы	7	24
58	но это	5	24
59	и вот	3	23
60	в то	2	23
61	это и	4	23
62	таким образом	15	23
63	я не	3	22
64	она не	4	21
65	что не	3	21
66	должна быть	2	21
67	в чем	4	21
68	только тогда	2	20
69	только в	8	20
70	что и	17	20
71	совершенно не	2	20
72	о том	4	20
73	уже не	11	20
74	и с	10	20
75	в своем	2	19
76	что мы	5	19
77	как это	5	19
78	не менее	6	19
79	и это	5	19
80	и его	10	19
81	иное как	6	18
82	не что	6	18
83	что иное	6	18
84	что же	2	18
85	с другой	10	18
86	хотя бы	3	18
87	жизни и	2	18
88	но если	2	17
89	можно сказать	3	17
90	в особенности	3	17
91	другими словами	2	16
92	в своей	4	16
93	мы не	3	16
94	нет ничего	3	16
95	только не	2	16
96	или не	3	16
97	к нему	12	16
98	да и	2	16
99	то это	5	16
100	об этом	8	16
101	тем не	6	16
102	конечно не	3	16
103	и о	2	15
104	быть и	3	15
105	только что	3	15
106	как таковой	3	15
107	все же	13	15
108	так же	16	15
109	в виде	2	15
110	хотя и	4	15
111	на то	4	15
112	мы уже	9	15
113	или нет	2	14
114	и потому	2	14
115	и ее	3	14
116	а именно	8	14
117	не было	2	14
118	и только	6	14
119	в силу	2	13
120	не то	2	13
121	но в	15	13
122	в ней	3	13
123	время как	2	13
124	он не	11	13
125	что они	14	13
126	другой стороны	10	13
127	с ее	2	13
128	и к	4	13
129	вопрос о	4	12
130	могут быть	9	12
131	еще не	15	12
132	не говорит	2	12
133	все эти	8	12
134	все равно	3	12
135	и если	3	12
136	перед нами	4	12
137	но как	2	12
138	даже не	2	12
139	а в	13	12
140	с этим	13	12
141	но не	10	12
142	мы должны	9	11
143	в одну	3	11
144	можно только	3	11
145	от того	3	11
146	и тем	2	11
147	только на	2	11
148	ничем не	2	11
149	его не	3	11
150	в них	6	11
151	в данном	7	11
152	мы имеем	24	11
153	есть ли	4	11
154	как только	2	11
155	что я	2	11
156	из них	7	11
157	или в	14	11
158	одно из	2	10
159	к тому	9	10
160	е в	2	10
161	как мы	11	10
162	в его	7	10
163	содержит в	2	10
164	с этой	3	10
165	себе и	2	10
166	и для	3	10
167	если же	2	10
168	в частности	6	10
169	можно ли	3	10
170	мы видим	15	10
171	во всяком	2	10
172	и уже	2	10
173	то и	7	10
174	как будто	2	10
175	в жизни	3	10
176	во всем	3	10
177	а если	3	9
178	и по	6	9
179	превращается в	10	9
180	имеется в	3	9
181	подобно тому	3	9
182	в этих	18	9
183	и более	3	9
184	в котором	5	9
185	тому как	3	9
186	той же	3	9
187	в одном	9	9
188	и от	3	9
189	утверждать что	2	9
190	или по	5	9
191	же как	8	9
192	с ними	5	9
193	при этом	4	9
194	и он	2	9
195	то время	2	9
196	всех этих	3	9
197	мы можем	10	9
198	выйти за	2	9
199	на этом	5	9
200	и на	7	9
201	на самом	2	8
202	от него	3	8
203	как нечто	3	8
204	не на	2	8
205	в дальнейшем	8	8
206	в этой	7	8
207	все время	2	8
208	у нас	7	8
209	она всегда	2	8
210	с одной	2	8
211	но все	5	8
212	что эта	2	8
213	у меня	5	8
214	даже в	4	8
215	в одной	4	8
216	при помощи	11	8
217	один из	7	8
218	вот почему	3	8
219	но она	2	8
220	себя в	2	8
221	как не	2	8
222	это мы	2	8
223	что здесь	8	7
224	из этих	5	7
225	он должен	3	7
226	и при	2	7
227	что этот	4	7
228	связи с	9	7
229	его с	2	7
230	тем что	8	7
231	в связи	5	7
232	очень много	3	7
233	все что	4	7
234	как она	2	7
235	в религии	3	7
236	эти два	3	7
237	со стороны	3	7
238	не всегда	7	7
239	не знает	2	7
240	точно так	8	7
241	говорят что	2	7
242	и их	4	7
243	как в	6	7
244	но для	2	7
245	он сам	2	7
246	но он	8	7
247	оказывается что	2	6
248	в другом	11	6
249	отношение к	4	6
250	то мы	3	6
251	действительно есть	2	6
252	с тем	3	6
253	они не	4	6
254	никто не	2	6
255	и они	4	6
256	одна из	2	6
257	тут же	4	6
258	то не	2	6
259	а я	3	6
260	но они	2	6
261	вообще не	2	6
262	друг другу	2	6
263	в себя	3	6
264	вместе с	12	6
265	его в	7	6
266	где же	2	6
267	по существу	3	6
268	о нем	2	6
269	одной стороны	2	6
270	можно было	3	6
271	того как	3	6
272	показывает что	13	6
273	а она	3	6
274	дело не	3	6
275	стороны и	3	6
276	не с	2	6
277	ее в	3	6
278	чтобы быть	3	6
279	всяком случае	2	6
280	из того	2	5
281	с целью	2	5
282	же мы	2	5
283	что на	6	5
284	же не	2	5
285	для нее	2	5
286	по сравнению	2	5
287	ли это	2	5
288	мы еще	3	5
289	сих пор	7	5
290	например в	3	5
291	что у	4	5
292	их в	6	5
293	если это	4	5
294	когда он	2	5
295	если он	2	5
296	сравнению с	2	5
297	и становится	2	5
298	вплоть до	2	5
299	не раз	2	5
300	и у	6	5
301	после этого	2	5
302	нет никаких	2	5
303	одной и	2	5
