N	2gram	Losev_Vesc	Mirosoze
1	и в	44	97
2	может быть	37	64
3	не только	48	63
4	это –	38	56
5	в этом	17	55
6	но и	19	54
7	он не	4	53
8	а не	34	53
9	в нем	6	49
10	не может	44	49
11	у него	3	47
12	во имя	3	39
13	и не	57	39
14	никогда не	5	38
15	потому что	25	37
16	в ней	14	37
17	не было	4	36
18	не в	14	34
19	и есть	40	33
20	для него	8	31
21	есть лишь	2	30
22	не есть	79	30
23	но он	2	30
24	прежде всего	17	29
25	как и	15	29
26	но в	8	27
27	человека и	3	26
28	и это	17	25
29	в своей	6	25
30	и все	6	24
31	переходит в	4	24
32	у нас	9	24
33	в своем	9	23
34	что в	11	23
35	что он	7	22
36	в самом	13	21
37	в себе	23	20
38	отношение к	4	20
39	в россии	2	19
40	как бы	19	19
41	в его	5	18
42	и потому	8	17
43	того что	16	17
44	в том	15	16
45	том что	13	16
46	то что	47	16
47	было бы	24	16
48	и его	4	16
49	не был	2	15
50	быть может	3	15
51	в этой	4	15
52	в котором	4	15
53	нет ничего	2	14
54	в конце	3	14
55	она не	9	14
56	так как	17	14
57	и вот	4	13
58	и на	2	13
59	это не	9	12
60	и у	4	12
61	к нему	3	12
62	все это	7	12
63	– не	11	12
64	но не	9	12
65	он сам	2	12
66	с тем	8	11
67	но это	14	11
68	хотя бы	9	11
69	в которой	5	11
70	только в	23	11
71	как в	3	11
72	и для	13	11
73	уже не	15	11
74	жизни и	6	11
75	так же	4	10
76	есть не	17	10
77	это и	12	10
78	один из	5	10
79	должна быть	8	10
80	то же	12	10
81	не имеет	2	10
82	в самой	3	10
83	есть и	13	9
84	бы и	9	9
85	а в	6	9
86	к тому	3	9
87	не будет	13	9
88	что и	11	9
89	и во	3	9
90	из самых	3	9
91	я не	7	9
92	образ и	3	9
93	должно быть	8	9
94	то есть	2	9
95	все что	3	9
96	есть уже	4	9
97	в свою	5	9
98	с ним	8	9
99	не мог	3	9
100	вместе с	4	9
101	вопрос о	6	8
102	ничего не	12	8
103	не так	2	8
104	что не	11	8
105	того чтобы	4	8
106	в отношении	7	8
107	т е	79	8
108	только и	8	8
109	с его	2	8
110	себя в	11	8
111	– все	2	8
112	тем что	7	8
113	для того	3	8
114	отношении к	4	8
115	что есть	8	8
116	нет и	4	8
117	о том	11	8
118	и с	11	8
119	уже в	2	8
120	она есть	12	7
121	как он	2	7
122	но если	12	7
123	должен быть	5	7
124	что все	2	7
125	мог бы	7	7
126	точки зрения	10	7
127	себя и	8	7
128	все еще	3	7
129	что она	23	7
130	на этом	4	7
131	жизни в	3	7
132	в жизни	5	7
133	также и	9	7
134	не существует	4	7
135	если он	3	7
136	от нее	2	7
137	отношения к	3	7
138	во всем	2	7
139	чтобы не	2	6
140	его в	8	6
141	не как	2	6
142	на все	2	6
143	– в	13	6
144	у них	2	6
145	и она	3	6
146	в ее	8	6
147	и человек	2	6
148	его на	4	6
149	совсем не	2	6
150	– явление	2	6
151	это есть	8	6
152	быть и	5	6
153	самого себя	2	6
154	и от	4	6
155	что это	18	6
156	и нет	3	6
157	можно было	6	6
158	к ней	4	6
159	было в	3	6
160	если бы	8	6
161	с этой	6	6
162	же и	2	6
163	по своей	3	6
164	к чему	2	6
165	жизнь и	2	6
166	и более	4	6
167	что у	5	6
168	на то	9	6
169	и здесь	5	6
170	есть прежде	4	6
171	в смысл	2	6
172	не к	3	6
173	и если	5	5
174	есть явление	9	5
175	оно не	6	5
176	с собой	2	5
177	в то	11	5
178	в их	4	5
179	так и	4	5
180	и этот	2	5
181	от этого	3	5
182	в более	2	5
183	не стоит	2	5
184	должны быть	6	5
185	– я	2	5
186	сказать что	21	5
187	тот же	4	5
188	во всяком	4	5
189	в основе	4	5
190	да и	5	5
191	одно из	2	5
192	и мы	5	5
193	с этим	4	5
194	вопроса о	3	5
