N	2gram	Vinokur_St	Otkroven
1	у него	3	22
2	и в	61	19
3	но и	28	13
4	и не	23	13
5	в этом	37	12
6	не только	36	11
7	не в	15	11
8	а не	19	11
9	может быть	16	11
10	и все	3	10
11	в нем	9	10
12	вопрос о	9	10
13	никогда не	7	9
14	потому что	13	9
15	не было	7	9
16	прежде всего	11	9
17	и он	2	8
18	он был	5	8
19	ни с	3	7
20	лишь в	3	7
21	в его	19	7
22	до конца	4	7
23	он не	11	7
24	но он	5	7
25	как и	11	6
26	все это	13	6
27	для него	10	5
28	а в	18	5
29	в россии	7	5
30	в том	56	5
31	в самом	14	5
32	то что	27	5
33	в этой	13	5
34	нужно искать	4	5
35	отношение к	3	5
36	и его	11	4
37	что в	41	4
38	того чтобы	15	4
39	все эти	7	4
40	т е	21	4
41	не может	10	4
42	все в	2	4
43	что не	3	4
44	с его	3	4
45	в себе	3	3
46	и от	2	3
47	о том	30	3
48	это не	8	3
49	к нему	2	3
50	не могут	2	3
51	что он	23	3
52	было бы	21	3
53	для того	15	3
54	еще не	4	3
55	в этих	5	3
56	в своих	2	3
57	в русской	4	3
58	никто не	4	3
59	как бы	8	3
60	хотя бы	8	3
61	могут быть	5	3
62	это было	2	3
63	того что	14	3
64	как к	3	2
65	одно из	3	2
66	и то	6	2
67	сказать что	9	2
68	можно ли	5	2
69	и на	7	2
70	с тем	3	2
71	уже в	3	2
72	что же	6	2
73	мысль о	2	2
74	и для	4	2
75	в уста	3	2
76	совсем не	3	2
77	что все	3	2
78	не имеет	5	2
79	ничего не	6	2
80	и с	6	2
81	что и	8	2
82	ее в	2	2
83	и потому	3	2
84	в ее	6	2
85	в других	2	2
86	в своем	8	2
87	было для	2	2
88	тем что	6	2
89	но в	16	2
90	том что	49	2
91	что для	4	2
92	все же	12	2
93	искать не	2	2
94	о которой	3	2
95	не очень	2	2
96	в своей	12	2
97	так как	7	2
98	по себе	3	2
99	что у	8	2
100	же это	3	2
101	должен был	5	2
102	что они	9	2
103	в истории	5	2
104	так что	8	2
105	те которые	2	2
106	даже и	2	2
107	не все	3	2
108	и о	4	2
109	к этому	4	2
110	и к	5	2
111	так и	15	2
112	и очень	5	2
113	в которой	13	2
114	которую он	3	2
115	хотя и	4	2
116	его не	3	2
117	в другом	5	2
118	чем в	3	2
119	его в	4	2
