N	3gram	Tiupa_Narr	Analitik
1	в том что	8	25
2	не может быть	5	19
3	по отношению к	6	18
4	в то же	3	16
5	о том что	6	15
6	той или иной	4	14
7	в данном случае	4	14
8	то же время	3	14
9	в отличие от	5	14
10	к тому же	4	13
11	в конечном счете	2	11
12	мы имеем дело	2	11
13	так и не	2	10
14	подобно тому как	2	9
15	с одной стороны	7	9
16	с другой стороны	4	9
17	того или иного	2	9
18	в свою очередь	3	9
19	в этом отношении	3	8
20	не только в	2	8
21	значении этого слова	2	8
22	с точки зрения	2	8
23	присутствия в мире	2	8
24	состоит в том	3	8
25	что иное как	2	7
26	в таком случае	2	7
27	тем не менее	3	6
28	не что иное	2	6
29	так или иначе	2	6
30	во времени и	4	5
31	том или ином	2	5
32	времени и пространстве	5	5
33	в этом ряду	2	5
34	в той или	2	5
35	не сводится к	2	4
36	и не в	4	4
37	и тем самым	3	4
38	в основе своей	4	4
39	на себя внимание	3	4
40	в известном смысле	2	4
41	в значительной степени	2	4
42	в том или	2	4
43	обращает на себя	3	4
44	и представляет собой	2	4
45	то ни было	3	3
46	то есть в	2	3
47	бы то ни	3	3
48	речь идет о	2	3
49	в первом случае	2	3
50	тогда как в	2	3
51	кто говорит и	2	3
52	со стороны адресата	2	3
53	в том числе	6	3
54	а не в	2	3
55	в связи с	2	3
56	можно сказать что	4	3
57	сами по себе	2	3
58	сказания или анекдота	2	2
59	отнюдь не предполагает	2	2
60	жанры как формы	2	2
61	более или менее	2	2
62	как и на	2	2
63	отношения к сообщаемому	2	2
64	креативная компетенция жанра	2	2
65	можно было бы	2	2
66	и в форме	2	2
67	как к содержанию	2	2
68	этой точки зрения	2	2
69	вокруг я героя	2	2
70	на первый взгляд	2	2
71	индивидуального речевого замысла	2	2
