N	2gram	Medvedev_V	Myshleni
1	в том	15	195
2	в этом	29	167
3	то что	7	166
4	и в	26	162
5	том что	8	161
6	таким образом	32	147
7	точки зрения	3	143
8	что в	11	119
9	не только	26	116
10	того что	3	109
11	в процессе	17	101
12	так же	3	100
13	того чтобы	3	91
14	может быть	23	89
15	что он	4	86
16	не может	17	81
17	как и	7	79
18	для того	3	78
19	и не	20	78
20	только в	8	75
21	в целом	5	74
22	но и	10	70
23	заключается в	2	67
24	в его	15	67
25	сказать что	5	65
26	как бы	5	64
27	вместе с	8	62
28	в качестве	12	60
29	было бы	8	60
30	то же	10	58
31	мышления в	2	56
32	что мы	2	53
33	в силу	14	53
34	в самом	4	52
35	к тому	5	49
36	что они	3	48
37	тогда когда	2	47
38	на основе	5	47
39	если бы	3	46
40	но не	2	45
41	с другой	11	45
42	по отношению	7	45
43	с тем	4	43
44	же как	2	43
45	как это	12	42
46	тому что	7	42
47	отношению к	7	42
48	не является	5	41
49	одной стороны	2	40
50	о том	10	40
51	так и	6	39
52	никогда не	5	39
53	с одной	2	39
54	в области	2	38
55	мы видели	3	38
56	не в	6	37
57	в этой	4	37
58	и к	3	37
59	в своем	8	36
60	все эти	8	36
61	и его	6	36
62	а не	7	36
63	можно было	2	35
64	он не	2	35
65	в которой	2	35
66	в себе	6	35
67	и как	3	34
68	связи с	5	34
69	приводит к	6	34
70	прежде всего	13	33
71	по себе	2	33
72	что и	3	32
73	именно в	3	32
74	же самое	2	32
75	но в	2	32
76	что оно	3	32
77	все же	6	31
78	этом отношении	14	30
79	на то	2	30
80	между тем	6	29
81	могут быть	8	29
82	показывает что	2	29
83	от того	2	29
84	как известно	2	29
85	с этим	3	28
86	что все	4	27
87	в своей	4	27
88	только что	4	27
89	в результате	5	27
90	в то	6	27
91	перед нами	5	27
92	другой стороны	8	27
93	в их	5	26
94	в частности	12	26
95	для него	9	26
96	все это	13	25
97	еще не	2	25
98	что она	2	25
99	это не	7	25
100	только не	2	25
101	в чем	2	25
102	можно сказать	4	25
103	мы знаем	3	24
104	в нем	7	24
105	того как	2	24
106	зависимости от	5	24
107	в слове	3	24
108	в сфере	2	24
109	как он	3	23
110	бы в	3	23
111	этот вопрос	3	23
112	во всяком	2	22
113	в зависимости	6	22
114	не могут	10	22
115	на основании	8	21
116	как говорит	5	21
117	его в	3	21
118	к этому	9	21
119	ее в	4	21
120	между ними	3	21
121	и ее	4	21
122	в сознании	4	21
123	в котором	3	20
124	в виду	4	20
125	по существу	4	20
126	а в	3	20
127	должно быть	2	20
128	из них	11	20
129	как раз	4	20
130	в другом	2	20
131	и их	3	20
132	на вопрос	2	20
133	на этом	2	20
134	не менее	2	20
135	из этих	7	20
136	в пользу	2	20
137	из которых	2	19
138	как на	3	19
139	и по	3	19
140	во всех	7	19
141	один из	6	19
142	в связи	4	19
143	во всей	2	18
144	всяком случае	2	18
145	сих пор	2	17
146	и для	2	17
147	в своих	2	17
148	в одном	5	17
149	и от	3	17
150	этой точки	2	17
151	и есть	5	17
152	ту же	2	17
153	их в	7	17
154	у него	6	17
155	до сих	2	17
156	вовсе не	3	16
157	тому как	3	16
158	по поводу	4	16
159	из основных	2	16
160	которые в	2	16
161	и даже	2	16
162	видели что	3	16
163	в которых	3	16
164	мы имеем	3	16
165	когда он	4	15
166	но как	3	15
167	том же	6	15
168	значит что	2	15
169	по этому	10	15
170	подобно тому	3	15
171	что при	2	15
172	представить себе	2	15
173	хотя бы	20	15
174	отличается от	2	15
175	является не	4	15
176	в них	5	15
177	что для	4	14
178	что у	3	14
179	очевидно что	7	14
180	показывают что	5	14
181	одной из	2	14
182	который в	2	14
183	о чем	2	14
184	об этом	9	14
185	с его	4	14
186	одним из	5	14
187	думается что	6	14
188	она не	3	13
189	лишь в	2	13
190	другом месте	2	13
191	связана с	2	13
192	человека и	3	13
193	они не	2	13
194	отнюдь не	4	13
195	к его	2	13
196	если в	2	13
197	в основном	7	13
198	стороны и	2	13
199	этой проблемы	3	13
200	смысле слова	2	13
201	с другими	2	13
202	и потому	2	12
203	а затем	2	12
204	в ее	4	12
205	интеллектуальной деятельности	3	12
206	никак не	3	12
207	даже в	5	12
208	это и	6	12
209	в самых	2	12
210	это мы	3	12
211	в ней	2	12
212	от его	2	12
213	в другую	3	12
214	том чтобы	2	12
215	в конце	3	11
216	моментов в	3	11
217	и при	5	11
218	например в	3	11
219	в пределах	5	11
220	и наконец	2	11
221	или менее	6	11
222	он в	2	11
223	не столько	2	11
224	вот почему	5	11
225	не по	2	11
226	и слова	2	10
227	относится к	2	10
228	у нас	3	10
229	что такое	2	10
230	или иной	2	10
231	вслед за	3	10
232	том числе	2	10
233	процесса в	2	10
234	что его	2	10
235	в конечном	7	10
236	но для	2	10
237	нам остается	2	10
238	в нашей	4	10
239	внимание на	2	10
240	этого положения	2	10
241	и у	2	10
242	числе и	2	10
243	и может	2	10
244	этот процесс	3	10
245	в плане	5	9
246	к этим	2	9
247	и заключается	2	9
248	естественно что	3	9
249	также и	2	9
250	только для	2	9
251	он может	2	9
252	хотя и	2	9
253	одном и	2	9
254	и он	3	9
255	зависит от	2	9
256	оно является	2	9
257	в системе	2	9
258	более или	6	9
259	по одному	2	9
260	должны быть	2	9
261	понятно что	2	9
262	но с	2	9
263	может не	2	9
264	конечном счете	5	9
265	не с	2	9
266	должен быть	4	9
267	говорить о	2	9
268	или в	3	9
269	уже по	2	8
270	и памяти	2	8
271	действительности и	7	8
272	что не	3	8
273	которая не	2	8
274	не удивительно	4	8
275	во время	4	8
276	себе и	2	8
277	главным образом	7	8
278	и др	10	8
279	силу этого	4	8
280	мы наблюдаем	2	8
281	нет никаких	2	8
282	который по	2	8
283	в известной	2	8
284	этой области	3	8
285	том как	3	8
286	образом в	3	8
287	только то	2	8
288	в течение	2	8
289	при помощи	3	7
290	у них	2	7
291	и непосредственно	2	7
292	этому поводу	7	7
293	должна быть	2	7
294	с ними	4	7
295	с более	2	7
296	слова не	2	7
297	эта теория	2	7
298	в общем	2	7
299	он говорит	5	7
300	же в	7	7
301	всех этих	3	7
302	он сам	2	7
303	и сам	2	7
304	как процесс	2	7
305	следующим образом	4	7
306	имеет свою	3	7
307	в жизни	2	7
308	в значительной	3	7
309	на него	2	7
310	и том	2	7
311	от до	2	7
312	восприятия и	2	7
313	этом и	2	7
314	знаем что	2	7
315	в каждом	2	6
316	опыта и	3	6
317	для его	4	6
318	на язык	2	6
319	роль в	4	6
320	начиная с	2	6
321	представлений и	2	6
322	как например	2	6
323	говорит о	7	6
324	бы и	6	6
325	могло бы	2	6
326	еще и	2	6
327	установить в	2	6
328	отдельных элементов	2	6
329	ли не	2	6
330	одна из	4	6
331	нет и	3	6
332	процесса как	3	6
333	то о	2	6
334	и обобщения	2	6
335	в различных	2	6
336	могут не	2	5
337	сказанного выше	2	5
338	и весь	2	5
339	все они	2	5
340	как у	2	5
341	после того	2	5
342	в представлении	2	5
343	что говорит	3	5
344	только с	2	5
345	все его	2	5
346	для них	2	5
347	к ним	2	5
348	в противоположность	3	5
349	целого ряда	2	5
350	но даже	3	5
351	вообще и	2	5
352	конце концов	2	5
353	развитие как	2	5
354	всего сказанного	2	5
355	но то	2	5
356	на эти	2	5
357	каждой из	2	5
358	видеть в	3	5
359	плана в	2	5
360	ни один	8	5
361	утверждает что	3	5
362	говорит об	2	5
363	самого себя	2	5
364	действительность в	2	5
365	в форме	3	5
366	в большей	2	5
367	связанное с	2	5
368	образом по	2	4
369	образов и	4	4
370	а как	2	4
371	так например	2	4
372	короче говоря	2	4
373	так сказать	2	4
374	стороны в	2	4
375	не подлежит	2	4
376	его не	3	4
377	можно ли	2	4
378	приведенных выше	4	4
379	из его	4	4
380	как о	3	4
381	после всего	2	4
382	формы и	2	4
383	ни одного	2	4
384	этому вопросу	2	4
385	того или	2	4
386	в целях	2	4
387	не заканчивается	3	4
388	вот что	12	4
389	жизни и	3	4
390	о его	2	4
391	этом процессе	2	4
392	то это	2	4
393	как видим	9	4
394	силу чего	2	4
395	начинается с	2	4
396	не было	7	4
397	чем же	4	4
398	это делает	3	3
399	эту же	2	3
400	этом же	2	3
401	значительной мере	3	3
402	о наличии	2	3
403	та или	3	3
404	часто не	2	3
405	из себя	2	3
406	но к	2	3
407	им как	2	3
408	эти вопросы	2	3
409	вот как	4	3
410	первая из	2	3
411	ее как	2	3
412	после этого	2	3
413	говорит и	8	3
414	к сожалению	2	3
415	и просто	2	3
416	из современных	7	3
417	а к	2	3
418	на это	2	3
419	явления в	2	3
420	не приходится	2	3
421	в порядке	6	3
422	фактический материал	2	3
423	он и	2	3
424	по его	2	3
425	в книге	2	3
426	никаких оснований	2	3
427	одном из	4	3
428	всех других	3	3
429	что даже	2	3
430	и этот	2	3
431	а для	2	3
432	и дальше	2	3
433	что так	2	3
434	за скобки	2	3
435	основных чертах	4	3
436	далеко не	3	3
437	от них	2	3
438	сводится к	3	3
439	момент в	3	3
440	фактического материала	3	3
441	его от	2	3
442	видно из	3	3
443	или иная	3	3
444	да и	2	3
445	говорит в	3	3
446	образом не	3	3
447	бы не	2	3
448	же время	5	3
449	только о	2	3
450	мира и	3	3
