N	2gram	Tiupa_Narr	Poddanst
1	не только	32	17
2	и в	19	14
3	и не	20	12
4	в области	2	11
5	в этом	17	10
6	но в	6	9
7	то же	4	9
8	в том	18	9
9	в качестве	21	9
10	хотя бы	4	8
11	в пределах	2	8
12	в то	3	7
13	только в	4	7
14	же время	4	7
15	быть может	2	6
16	но и	23	6
17	было бы	4	6
18	в ней	3	6
19	с другой	8	5
20	не в	14	5
21	может быть	25	5
22	по себе	5	4
23	что в	3	4
24	и потому	2	4
25	в своем	2	4
26	том что	14	4
27	а также	7	4
28	как бы	4	4
29	то что	11	4
30	не может	10	4
31	а в	11	4
32	же в	4	4
33	что мы	2	3
34	и как	5	3
35	но не	6	3
36	тем самым	6	3
37	это не	2	3
38	с точки	2	3
39	сводится к	3	3
40	сами по	2	3
41	столь же	3	3
42	в себе	8	3
43	точки зрения	10	3
44	одной стороны	7	3
45	в нем	4	3
46	между тем	3	3
47	вслед за	4	3
48	могут быть	3	3
49	прежде всего	4	3
50	хотя и	3	3
51	с одной	7	3
52	наряду с	2	3
53	переход от	4	2
54	не о	3	2
55	да и	4	2
56	в мире	9	2
57	было в	2	2
58	если в	3	2
59	одна из	3	2
60	отношения к	2	2
61	точек зрения	2	2
62	и тем	4	2
63	в его	9	2
64	не менее	3	2
65	говорить о	2	2
66	время в	2	2
67	со стороны	9	2
68	в последние	2	2
69	именно в	6	2
70	тем более	2	2
71	в частности	14	2
72	том числе	6	2
73	а не	12	2
74	во всей	2	2
75	не было	2	2
76	и есть	2	2
77	например в	2	2
78	и с	4	2
79	в ее	3	2
80	но о	3	2
81	как раз	2	2
82	есть в	2	2
83	в значительной	2	2
84	того что	2	2
85	в силу	4	2
86	из них	3	2
87	не столько	4	2
88	отнюдь не	5	2
