N	2gram	Vinokur_St	Sovremen
1	не может	10	17
2	точки зрения	16	12
3	может быть	16	12
4	таким образом	16	11
5	мы не	3	9
6	в каждом	3	8
7	и в	61	7
8	в этом	37	7
9	и не	23	6
10	ничего не	6	6
11	как и	11	6
12	в результате	5	6
13	что же	6	5
14	с точки	10	5
15	все эти	7	5
16	прежде всего	11	5
17	вопрос о	9	4
18	зависимости от	2	4
19	это не	8	4
20	не только	36	4
21	в том	56	4
22	в зависимости	2	4
23	как бы	8	4
24	их в	2	4
25	так как	7	4
26	же это	3	4
27	точку зрения	3	4
28	в целом	5	4
29	в развитии	2	4
30	жизни и	6	4
31	вместе с	5	4
32	а в	18	4
33	из них	11	4
34	для нас	7	3
35	не подлежит	2	3
36	может не	2	3
37	и потому	3	3
38	но в	16	3
39	с самого	4	3
40	при этом	4	3
41	из двух	3	3
42	не в	15	3
43	все же	12	3
44	как он	3	3
45	было бы	21	3
46	в области	16	3
47	уже в	3	3
48	в себе	3	3
49	еще не	4	3
50	у нас	12	3
51	и все	3	3
52	все это	13	3
53	в нем	9	3
54	в наших	2	3
55	само собою	2	3
56	а не	19	3
57	в первом	2	3
58	и к	5	3
59	что она	5	3
60	в этой	13	3
61	при таком	2	3
62	то же	7	3
63	в одном	7	3
64	отличается от	2	3
65	самого начала	3	3
66	в конце	5	3
67	ясно что	10	3
68	но все	9	2
69	на его	2	2
70	на этот	5	2
71	о значении	3	2
72	и по	6	2
73	который как	2	2
74	собою разумеется	2	2
75	всяком случае	8	2
76	что все	3	2
77	быть и	2	2
78	каждого из	3	2
79	можно назвать	3	2
80	а на	4	2
81	не менее	8	2
82	той же	5	2
83	не могут	2	2
84	в его	19	2
85	он должен	2	2
86	с этим	6	2
87	и пр	4	2
88	и что	8	2
89	во всяком	8	2
90	в и	143	2
91	и во	3	2
92	что такое	2	2
93	такого рода	2	2
94	что при	3	2
95	из этих	7	2
96	в самом	14	2
97	или же	3	2
98	в виде	3	2
99	еще более	5	2
100	что в	41	2
101	времени и	4	2
102	в настоящее	2	2
103	совершенно не	7	2
104	в таком	4	2
105	в которой	13	2
106	у него	3	2
107	такой же	6	2
108	в некоторых	3	2
109	самом деле	14	2
110	со всеми	2	2
111	свою собственную	3	2
112	по мнению	4	2
113	то ни	2	2
114	могут быть	5	2
115	настоящее время	2	2
116	тот же	2	2
117	с одной	3	2
118	говорить о	3	2
119	не дает	2	2
120	что это	5	2
121	этих двух	4	2
122	тем не	4	2
123	как известно	2	2
124	и даже	8	2
125	и именно	2	2
126	тем же	3	2
127	в которую	2	2
