N	2gram	Tiupa_Vved	KFilosof
1	может быть	25	45
2	в его	9	42
3	в нем	9	32
4	не может	14	29
5	и не	24	28
6	и в	23	28
7	по отношению	11	26
8	в бытии	3	26
9	в котором	11	24
10	отношению к	11	22
11	не есть	2	22
12	в себе	15	21
13	и его	9	18
14	только в	9	18
15	в своем	9	17
16	а не	31	17
17	в этом	27	15
18	не в	12	13
19	для него	5	13
20	но не	9	12
21	и это	2	12
22	к нему	2	12
23	в своей	10	11
24	во всех	2	11
25	это не	7	10
26	в целом	4	10
27	от себя	2	10
28	и для	8	10
29	в едином	3	10
30	все это	3	10
31	и есть	2	10
32	в их	2	9
33	но и	31	9
34	как бы	8	9
35	и все	8	9
36	себя в	4	8
37	если бы	10	8
38	не было	5	8
39	лишь в	4	8
40	со стороны	15	8
41	быть только	2	8
42	в мире	9	8
43	жизни и	8	8
44	было бы	4	8
45	для себя	2	7
46	и здесь	2	7
47	должен быть	3	7
48	совершенно не	2	7
49	то что	9	7
50	уже не	7	7
51	отнюдь не	14	7
52	и только	2	7
53	что и	6	7
54	на основе	2	7
55	ее и	2	6
56	отношение к	5	6
57	мира в	8	6
58	в том	21	6
59	не имеет	3	6
60	место в	2	6
61	но это	4	6
62	он не	6	6
63	никогда не	6	5
64	все же	10	5
65	не только	32	5
66	бытия в	3	5
67	мы имеем	8	5
68	хотя бы	2	5
69	то же	8	5
70	жизни в	5	5
71	в событии	6	5
72	еще не	8	5
73	не знает	2	5
74	а в	15	5
75	но в	14	5
76	в контексте	4	5
77	как и	21	5
78	что я	2	5
79	жизни как	2	5
80	в одном	5	5
81	бытия но	2	5
82	с ним	3	5
83	в основе	6	5
84	это мир	2	4
85	что это	2	4
86	тем самым	6	4
87	том что	16	4
88	что в	6	4
89	могла бы	3	4
90	не как	2	4
91	и т.д	6	4
92	не по	4	4
93	времени и	7	4
94	прежде всего	11	4
95	в чем	2	4
96	здесь мы	2	4
97	к ним	4	4
98	могло бы	4	4
99	в своих	5	4
100	мира и	5	4
101	входит в	2	4
102	для нас	4	4
103	в категориях	2	4
104	с ними	2	4
105	при этом	43	4
106	из него	2	4
107	должна быть	3	4
108	как его	2	4
109	между тем	3	4
110	до конца	5	3
111	ничего не	3	3
112	единственное событие	2	3
113	в то	5	3
114	на самом	5	3
115	здесь не	2	3
116	для которого	4	3
117	в другом	2	3
118	ценностным центром	2	3
119	мира не	2	3
120	а лишь	3	3
121	тем что	2	3
122	и тем	3	3
123	бы не	3	3
124	в современной	7	3
125	самом деле	6	3
126	в виду	3	3
127	не должен	2	3
128	с человеком	2	3
129	по своему	3	3
130	не менее	4	3
131	о том	7	3
132	не могу	2	3
133	в ней	5	3
134	в свою	5	3
135	могут быть	5	3
136	котором он	2	3
137	и на	5	3
138	что не	2	3
139	ближе к	3	3
140	того что	7	3
141	мы не	6	3
142	той или	5	3
143	бы и	4	3
144	быть и	2	3
145	ясно что	2	3
146	не о	2	2
147	для этого	2	2
148	в соответствии	8	2
149	или иной	5	2
150	и потому	2	2
151	к которой	2	2
152	в данном	22	2
153	ли это	2	2
154	его с	2	2
155	сознания в	4	2
156	как оно	2	2
157	говорить о	5	2
158	и ее	2	2
159	к этому	3	2
160	дело не	2	2
161	в составе	3	2
162	с ее	3	2
163	к себе	2	2
164	тем не	3	2
165	и как	2	2
166	в принципе	3	2
167	всей его	2	2
168	все они	2	2
169	это только	3	2
170	в области	5	2
171	а с	4	2
172	герой и	3	2
173	пространство и	2	2
174	что он	2	2
175	вследствие этого	5	2
176	пространство в	2	2
177	всех его	2	2
178	а для	2	2
179	так и	14	2
180	ни к	3	2
181	было и	2	2
182	едва ли	4	2
183	в жизни	7	2
184	это уже	2	2
185	как в	8	2
186	в него	2	2
187	всей своей	4	2
188	в сознании	5	2
189	сознания не	2	2
190	тому что	2	2
191	дело с	4	2
192	своей истории	2	2
193	еще более	2	2
194	ему в	2	2
195	и само	2	2
196	определяется с	2	2
197	оно не	2	2
198	соответствии с	8	2
199	он и	2	2
200	один из	3	2
201	по себе	2	2
202	потому что	7	2
203	раз и	2	2
204	того чтобы	2	2
205	и того	3	2
206	сводится к	6	2
207	слова в	3	2
208	и смерти	2	2
209	не следует	3	2
210	в качестве	18	2
211	же время	4	2
212	быть не	4	2
213	в этой	2	2
214	чтобы стать	3	2
215	основе своей	2	2
