N	2gram	Tiupa_Lite	VrazhdaK
1	в году	18	18
2	не только	29	9
3	и что	2	8
4	в этом	19	8
5	и в	26	8
6	что в	7	7
7	но и	25	7
8	то что	14	7
9	но в	5	6
10	как и	13	6
11	в начале	4	6
12	в нем	4	6
13	и с	4	6
14	все же	6	6
15	и даже	9	6
16	и не	19	5
17	не было	5	5
18	в россии	2	5
19	то же	13	5
20	в то	12	5
21	же время	12	5
22	у него	5	5
23	между тем	2	5
24	для нас	3	4
25	уже в	7	4
26	несмотря на	3	4
27	у достоевского	2	4
28	в своих	5	4
29	это не	4	4
30	в виду	4	4
31	при этом	23	4
32	о том	3	4
33	в ней	4	4
34	как бы	8	4
35	х годов	5	4
36	что он	8	4
37	с ним	2	4
38	может быть	24	4
39	человека в	5	3
40	в том	22	3
41	в чем	2	3
42	одним из	8	3
43	его в	4	3
44	имел в	2	3
45	далеко не	4	3
46	в своем	12	3
47	том что	19	3
48	в его	9	3
49	в связи	4	3
50	и его	7	3
51	и как	2	3
52	в русской	13	3
53	он не	4	3
54	о себе	7	3
55	речь идет	3	3
56	связи с	7	3
57	эти слова	2	3
58	к этому	2	3
59	на то	2	3
60	я не	8	3
61	русской литературе	7	3
62	что есть	2	3
63	в конце	6	3
64	с его	5	3
65	тем что	6	3
66	никогда не	5	2
67	врага в	3	2
68	и то	3	2
69	уже не	9	2
70	в мире	9	2
71	одна из	8	2
72	и т.п	14	2
73	нашего времени	2	2
74	для него	6	2
75	с точки	4	2
76	а в	5	2
77	а также	5	2
78	он сам	2	2
79	в этой	7	2
80	тогда как	20	2
81	столь же	5	2
82	том же	3	2
83	в нашей	2	2
84	в своей	5	2
85	как раз	6	2
86	же в	6	2
87	но как	3	2
88	и он	3	2
89	в себе	8	2
90	еще не	4	2
91	точки зрения	8	2
92	же как	3	2
93	тем более	2	2
94	таким образом	4	2
95	что я	4	2
96	в свою	2	2
97	на это	2	2
98	так в	6	2
99	о которой	2	2
100	не может	10	2
101	из них	5	2
102	права на	4	2
103	не менее	11	2
104	но это	2	2
105	в глазах	4	2
106	к себе	3	2
107	отнюдь не	4	2
108	от сознания	2	2
109	а с	2	2
110	не мог	3	2
111	на основе	2	2
112	вместе с	5	2
