N	2gram	Vinokur_St	Vvedenie
1	и т	36	45
2	т е	21	40
3	т д	25	39
4	в том	56	38
5	в этом	37	35
6	и в	61	35
7	том что	49	30
8	может быть	16	30
9	не только	36	26
10	для того	15	23
11	того чтобы	15	22
12	таким образом	16	21
13	также и	10	20
14	не может	10	19
15	то что	27	19
16	потому что	13	18
17	но также	13	16
18	со стороны	7	16
19	о том	30	16
20	только в	11	16
21	так как	7	15
22	языка и	4	15
23	в общем	2	14
24	и не	23	13
25	что в	41	13
26	в самом	14	13
27	в нем	9	13
28	и именно	2	13
29	в их	3	12
30	того что	14	12
31	xix в	6	12
32	что такое	2	12
33	точки зрения	16	12
34	в его	19	12
35	как на	10	12
36	этом смысле	2	11
37	в данном	16	11
38	то же	7	11
39	по себе	3	11
40	в ее	6	11
41	ясно что	10	11
42	вопрос о	9	10
43	не в	15	10
44	прежде всего	11	10
45	но в	16	10
46	в той	9	10
47	между тем	7	10
48	из этих	7	9
49	этого рода	2	9
50	тем не	4	9
51	и как	2	9
52	все же	12	9
53	смысле этого	2	9
54	но не	5	9
55	не менее	8	9
56	дело с	2	9
57	в истории	5	9
58	это не	8	8
59	можно было	14	8
60	о котором	2	8
61	с другой	11	8
62	именно в	8	8
63	в качестве	7	8
64	и то	6	7
65	не трудно	4	7
66	самом деле	14	7
67	сих пор	12	7
68	как и	11	7
69	как бы	8	7
70	этот вопрос	6	7
71	но и	28	7
72	было бы	21	7
73	в применении	3	7
74	до сих	13	7
75	сказать что	9	6
76	его в	4	6
77	не могут	2	6
78	как например	2	6
79	хотя бы	8	6
80	об этом	9	6
81	и даже	8	6
82	применении к	3	6
83	но если	5	6
84	о языке	2	6
85	работы над	5	6
86	к истории	2	6
87	тем что	6	6
88	как он	3	6
89	а именно	3	6
90	мере в	3	6
91	в какой	4	6
92	на вопрос	7	6
93	так например	12	6
94	на этот	5	6
95	с тем	3	6
96	и это	4	6
97	а в	18	6
98	в которых	5	6
99	той мере	2	6
100	могут быть	5	6
101	в то	10	6
102	и что	8	6
103	и его	11	6
104	все это	13	6
105	же время	5	6
106	нельзя не	3	6
107	этом случае	3	6
108	вовсе не	24	6
109	вместе с	5	6
110	данном случае	7	5
111	дело в	9	5
112	с их	2	5
113	дело не	4	5
114	в виду	6	5
115	и тем	3	5
116	а как	5	5
117	д но	4	5
118	одним из	2	5
119	с этой	5	5
120	что он	23	5
121	так что	8	5
122	т п	11	5
123	на основании	2	5
124	в течение	7	5
125	быть в	2	5
126	что не	3	5
127	по своему	2	5
128	одно из	3	5
129	смотреть на	2	5
130	от этого	2	5
131	как это	6	5
132	в г	10	5
133	культуры в	3	5
134	на почве	2	5
135	а потому	2	5
136	другой стороны	9	5
137	в них	2	5
138	уже в	3	5
139	в целом	5	5
140	всяком случае	8	5
141	внимание на	5	5
142	что и	8	5
143	говорить о	3	5
144	не просто	2	5
145	а не	19	5
146	в первом	2	5
147	но с	7	5
148	хотя и	4	5
149	во всяком	8	5
150	да и	4	4
151	еще и	5	4
152	должен был	5	4
153	истории и	2	4
154	в чисто	2	4
155	в результате	5	4
156	мы имеем	2	4
157	о чем	4	4
158	одной стороны	2	4
159	в области	16	4
160	по отношению	3	4
161	в каждом	3	4
162	должен быть	3	4
163	этом отношении	13	4
164	из двух	3	4
165	но ведь	8	4
166	как о	2	4
167	эти науки	2	4
168	еще не	4	4
169	времени и	4	4
170	е в	3	4
171	по крайней	2	4
172	отношению к	3	4
173	в чем	4	4
174	с одной	3	4
175	заключается в	5	4
176	к тому	9	4
177	одной из	4	4
178	но все	9	4
179	и для	4	4
180	не имеет	5	4
181	только с	4	4
182	так или	3	4
183	в котором	11	4
184	в тексте	12	4
185	в виде	3	4
186	в и	143	4
187	даже и	2	4
188	ответ на	4	4
189	в одном	7	4
190	из них	11	4
191	или иначе	3	4
192	в прямом	2	4
193	в себе	3	4
194	с точки	10	4
195	крайней мере	2	4
196	в своей	12	4
197	как раз	10	4
198	прямом смысле	2	4
199	можно сказать	2	4
200	той же	5	4
201	никогда не	7	3
202	до конца	4	3
203	в каком	4	3
204	отношений между	3	3
205	в отношении	11	3
206	свое время	3	3
207	и вообще	5	3
208	в очень	4	3
209	что это	5	3
210	научной работы	4	3
