N	3gram	Bakhtin_sl	Russkaja
1	друг с другом	2	14
2	то же время	15	10
3	в то же	15	10
4	с точки зрения	11	9
5	в том что	4	7
6	во всяком случае	7	6
7	до сих пор	4	5
8	а между тем	2	5
9	более или менее	5	4
10	не может быть	11	4
11	в этом случае	4	3
12	в лучшем случае	3	3
13	в данном случае	3	3
14	той или иной	13	3
15	можно было бы	2	3
16	и не может	2	3
17	не может не	5	3
18	к тому что	2	2
19	а следовательно и	2	2
20	в другом случае	3	2
21	и в том	2	2
22	в том и	2	2
23	в большинстве случаев	11	2
24	того или иного	2	2
25	том и в	2	2
26	о том что	2	2
27	сама по себе	2	2
28	и в другом	2	2
