N	2gram	Potebnia_M	Formalny
1	и в	58	95
2	и не	34	78
3	может быть	47	66
4	в этом	18	61
5	не может	30	57
6	вовсе не	13	53
7	таким образом	21	52
8	и его	7	51
9	так и	17	50
10	точки зрения	8	47
11	в нем	26	42
12	в его	7	42
13	прежде всего	8	41
14	с точки	4	40
15	как и	16	39
16	и т	10	37
17	не в	23	35
18	в самом	5	35
19	а не	38	34
20	но и	26	33
21	то же	13	32
22	самом деле	2	32
23	не только	32	30
24	в том	38	26
25	если бы	23	26
26	то что	24	25
27	на самом	2	24
28	при этом	17	24
29	в своей	3	24
30	лишь в	2	24
31	в ней	9	23
32	связи с	6	23
33	было бы	21	23
34	в то	6	22
35	в истории	8	21
36	как бы	12	21
37	что в	34	21
38	и с	3	21
39	в их	3	20
40	не менее	10	20
41	между ними	2	20
42	и от	5	20
43	с тем	9	20
44	как мы	3	20
45	же время	4	20
46	место в	3	20
47	не могут	10	19
48	все это	3	19
49	хотя бы	4	19
50	т д	6	19
51	по себе	24	19
52	т п	6	18
53	все же	11	18
54	и все	6	18
55	все эти	3	18
56	в связи	2	18
57	должна быть	4	18
58	с его	3	18
59	и их	6	18
60	только в	36	18
61	как в	18	17
62	так же	7	16
63	во всяком	9	16
64	с другой	13	16
65	потому что	89	16
66	всяком случае	7	16
67	его в	3	15
68	но в	12	15
69	бы в	6	15
70	с другими	3	15
71	так как	29	15
72	должно быть	9	15
73	во всех	12	15
74	именно в	2	15
75	и на	8	15
76	что он	5	14
77	только на	4	14
78	в целом	3	14
79	языка и	20	14
80	в ее	2	14
81	в своем	3	14
82	еще не	9	14
83	в жизни	5	14
84	в этой	3	14
85	если мы	5	14
86	и потому	7	14
87	в единстве	3	14
88	жизни и	3	14
89	вместе с	12	14
90	со стороны	11	13
91	того что	15	13
92	языка как	6	13
93	говорит он	4	13
94	а в	11	13
95	что же	3	13
96	могут быть	17	13
97	для них	2	13
98	что и	16	13
99	независимо от	15	13
100	она не	3	13
101	тем что	15	13
102	ни в	2	13
103	в действительности	6	12
104	по отношению	15	12
105	того чтобы	4	12
106	там где	8	12
107	к тому	5	12
108	отношению к	13	12
109	и для	8	12
110	оно не	4	12
111	уже не	4	12
112	никогда не	7	11
113	они не	5	11
114	так сказать	5	11
115	но не	19	11
116	то ни	3	11
117	слова и	7	11
118	что они	6	11
119	для него	13	11
120	между тем	7	11
121	не есть	13	10
122	не как	4	10
123	друг друга	6	10
124	язык как	7	10
125	мы не	17	10
126	не было	7	10
127	бы то	2	10
128	мы видели	5	10
129	другой стороны	7	10
130	с ее	2	10
131	в первом	5	10
132	и как	11	10
133	в своих	4	10
134	главным образом	4	10
135	он не	4	10
136	если же	5	10
137	в слове	21	10
138	тем же	4	10
139	одним словом	5	9
140	ничего не	2	9
141	здесь не	2	9
142	но это	7	9
143	и может	5	9
144	в каждом	6	9
145	бы ни	8	9
146	и даже	4	9
147	у нас	3	9
148	не могло	3	9
149	язык и	6	9
150	еще более	2	9
151	в свою	8	9
152	ни было	4	9
153	языка в	6	9
154	мы знаем	2	9
155	отношения к	2	9
156	в языке	36	9
157	это не	10	8
158	в других	6	8
159	была бы	3	8
160	до сих	5	8
161	одной стороны	6	8
162	в них	7	8
163	с одной	7	8
164	для этого	2	8
165	что это	5	8
