N	3gram	Savitsky_E	Analitik
1	в том что	6	25
2	не может быть	2	19
3	в то же	15	16
4	той или иной	4	14
5	в данном случае	2	14
6	то же время	14	14
7	с одной стороны	8	9
8	с другой стороны	2	9
9	того или иного	4	9
10	в свою очередь	2	9
11	в этом отношении	3	8
12	не только в	4	8
13	с точки зрения	16	8
14	во всяком случае	3	7
15	не более чем	2	6
16	в той или	3	5
17	для того чтобы	5	4
18	из того что	2	4
19	и в этом	4	4
20	в известном смысле	3	4
21	в этом смысле	3	4
22	то ни было	4	3
23	бы то ни	4	3
24	между тем в	3	3
25	как нам кажется	5	3
26	хотя бы и	3	3
27	можно сказать что	3	3
28	в применении к	3	2
29	а тем более	2	2
30	того что в	2	2
31	но в то	2	2
32	прежде всего в	2	2
33	можно было бы	3	2
34	тому или иному	2	2
35	в частности в	2	2
36	друг с другом	3	2
37	заключается в том	2	2
38	этой точки зрения	5	2
39	с этой точки	5	2
40	и прежде всего	3	2
41	не говоря уже	2	2
42	на то что	2	2
