N	2gram	Losev_Vlad	slovoVRo
1	и в	56	92
2	и т	3	82
3	то есть	5	64
4	в нем	7	59
5	может быть	12	59
6	и его	12	59
7	и не	33	51
8	не только	35	44
9	не может	12	41
10	но и	26	39
11	до конца	8	37
12	в этом	30	36
13	а не	5	34
14	во всех	4	32
15	так и	11	30
16	точки зрения	4	30
17	в его	18	27
18	все это	7	25
19	как бы	5	24
20	то же	10	23
21	и на	7	22
22	не в	12	21
23	в сущности	2	21
24	как в	6	21
25	вовсе не	8	21
26	в то	15	20
27	прежде всего	5	19
28	как мы	17	19
29	как и	7	18
30	себя в	6	18
31	же время	7	18
32	с ним	10	18
33	все же	11	17
34	все эти	6	17
35	в истории	4	17
36	и даже	23	17
37	таким образом	6	17
38	к своему	4	16
39	при этом	5	16
40	в них	5	16
41	но в	19	16
42	и с	27	15
43	со своим	5	15
44	в той	2	15
45	так сказать	2	14
46	только в	11	14
47	это не	3	13
48	с его	15	13
49	в особенности	4	13
50	отношении к	2	13
51	и для	4	13
52	с другой	3	13
53	никогда не	15	12
54	в отношении	5	12
55	и потому	8	12
56	отношение к	7	12
57	а в	20	12
58	во всяком	8	12
59	и наконец	2	12
60	еще не	2	12
61	и к	10	12
62	один из	4	11
63	на его	7	11
64	с ними	2	11
65	в этих	5	11
66	для него	16	11
67	в своем	10	10
68	в том	26	10
69	и все	8	10
70	она не	3	10
71	в себе	5	10
72	всех этих	3	10
73	т д	3	10
74	лишь в	3	10
75	уже не	6	10
76	его в	3	9
77	и от	6	9
78	одним из	3	9
79	и других	2	9
80	в основном	5	9
81	или менее	5	9
82	к нему	6	9
83	более или	5	9
84	здесь в	2	9
85	в их	2	9
86	в своей	7	9
87	сказать что	14	9
88	так как	11	9
89	но не	5	9
90	конечно не	5	9
91	он не	13	9
92	не могут	2	8
93	в ней	5	8
94	с этим	3	8
95	и часто	3	8
96	в самом	3	8
97	для нас	9	8
98	всяком случае	8	8
99	том что	22	7
100	от него	3	7
101	друг друга	3	7
102	его не	2	7
103	о нем	9	7
104	того же	11	7
105	в целом	3	7
106	связи с	7	7
107	известной степени	2	7
108	у него	28	7
109	здесь не	6	7
110	за пределы	3	7
111	но все	3	7
112	также и	13	7
113	еще более	3	7
114	с которым	4	7
115	жизни и	8	7
116	не было	12	7
117	в таком	2	7
118	кроме того	12	7
119	во всем	4	7
120	мы уже	8	7
121	даже в	4	6
122	ничего не	4	6
123	которые в	2	6
124	наконец в	3	6
125	как к	4	6
126	на этом	3	6
127	а также	12	6
128	что в	24	6
129	ни в	4	6
130	дело с	2	6
131	в качестве	7	6
132	мы сказали	2	6
133	можно сказать	10	6
134	другой стороны	3	6
135	и здесь	3	6
136	хотя бы	5	6
137	он в	4	6
138	именно в	4	6
139	в свою	3	6
140	по себе	3	6
141	в одном	2	6
142	по своим	3	6
143	только на	3	5
144	не менее	9	5
145	мы не	2	5
146	и по	10	5
147	хотя и	9	5
148	особенно в	2	5
149	и при	2	5
150	в результате	6	5
151	борьба с	2	5
152	этом отношении	2	5
153	для того	4	5
154	его и	2	5
155	в дальнейшем	10	5
156	о том	13	5
157	к его	5	5
158	той же	6	5
159	уже в	9	5
160	и сам	7	5
161	но он	7	5
162	вместе с	9	5
163	литературы и	2	4
164	в свой	3	4
165	для всех	2	4
166	так же	4	4
167	его на	4	4
168	но как	6	4
169	образом в	2	4
170	что и	6	4
171	что он	22	4
172	том же	4	4
173	свою очередь	2	4
174	в виде	4	4
175	в частности	4	4
176	того что	6	4
177	те же	2	4
178	даже и	12	4
179	в чем	4	4
180	не столько	4	4
181	не были	2	4
182	того чтобы	4	4
183	ли он	2	4
184	поэзии и	2	4
185	несколько слов	2	4
186	и во	3	4
187	всех своих	2	4
188	прямо и	2	4
189	одной из	2	4
190	с этими	4	4
191	но это	6	4
192	его как	2	4
193	дело не	3	4
194	в которой	8	4
195	и как	7	4
196	если бы	2	4
197	с этой	4	4
198	и о	6	4
199	к тому	5	4
200	выражение в	2	4
201	из них	3	4
202	уже сказали	2	4
203	из этого	6	4
204	первый план	4	4
205	отношения к	4	4
206	и речи	3	4
207	по существу	4	4
208	на первый	4	4
209	как раз	7	4
210	время и	3	3
211	языке в	2	3
212	нисколько не	4	3
213	его от	2	3
214	глубоко и	2	3
215	но она	4	3
216	еще на	3	3
217	не был	6	3
218	в новом	2	3
219	но эта	2	3
220	которого он	2	3
221	такого рода	4	3
222	в свое	6	3
223	как это	11	3
224	от нас	2	3
225	от всякой	2	3
226	на котором	2	3
227	отношением к	2	3
228	в более	3	3
229	и без	2	3
230	на все	3	3
231	именно к	2	3
232	и до	4	3
233	было бы	7	3
234	того и	3	3
235	и то	13	3
236	на всю	2	3
237	и вообще	12	3
238	произведения как	2	3
239	к этому	11	3
240	из этих	5	3
241	дело в	7	3
242	менее всего	2	3
243	это было	9	3
244	на него	3	3
245	именно здесь	2	3
246	но уже	3	3
247	во второй	3	3
248	тем что	2	3
249	в связи	9	3
250	жизни в	3	3
251	и другие	2	3
252	нас в	2	3
253	не могло	2	3
254	ни с	6	3
255	не есть	4	3
256	в этой	4	3
257	потому что	16	3
258	все что	2	3
259	и это	4	3
260	личности и	2	3
261	и почти	2	3
262	и тем	2	3
263	без всякого	2	3
264	чем в	2	3
265	ему не	2	2
266	но мы	3	2
267	без всяких	2	2
268	вот что	7	2
269	к себе	2	2
270	по своей	4	2
271	и у	4	2
272	и есть	2	2
273	это и	2	2
274	просто не	2	2
275	как он	4	2
276	не столь	2	2
277	у них	2	2
278	так что	13	2
279	и за	3	2
280	но по	2	2
281	и ни	2	2
282	как уже	2	2
283	своего времени	2	2
284	бы его	2	2
285	а с	5	2
286	то что	30	2
287	по своему	5	2
288	никак нельзя	3	2
289	что все	2	2
290	значение для	2	2
291	только не	2	2
292	жизнь в	2	2
293	не из	2	2
294	и философии	2	2
295	этого не	2	2
296	не могла	3	2
297	между ними	2	2
298	что не	3	2
299	место в	2	2
300	для них	2	2
301	некоторой степени	3	2
302	нужно сказать	2	2
303	что они	4	2
304	указать на	2	2
305	на ту	2	2
306	он никогда	2	2
