N	2gram	Vygotskiy_	Freidism
1	и не	16	34
2	таким образом	36	34
3	точки зрения	27	31
4	не может	11	30
5	может быть	25	28
6	и в	38	28
7	в этом	35	28
8	прежде всего	6	26
9	в его	22	25
10	и его	5	22
11	мы можем	13	20
12	с помощью	64	20
13	как бы	17	19
14	как мы	14	18
15	то что	27	17
16	вовсе не	5	16
17	так как	19	15
18	с точки	11	15
19	все эти	9	15
20	самом деле	4	14
21	так и	11	14
22	в своей	9	14
23	с ним	4	14
24	во всех	3	13
25	и все	5	13
26	но в	4	13
27	как и	20	13
28	по отношению	4	13
29	и потому	2	12
30	том что	44	12
31	то же	18	12
32	что он	13	12
33	мы видели	8	12
34	ни в	12	12
35	в самом	8	12
36	для него	6	12
37	все это	8	12
38	сказать что	10	11
39	его в	8	11
40	отношению к	3	11
41	мы знаем	10	11
42	только в	16	11
43	никогда не	11	10
44	и с	5	10
45	не только	16	10
46	но и	9	10
47	не в	10	10
48	он не	6	10
49	в том	59	10
50	мы уже	8	10
51	все что	4	10
52	один из	8	10
53	тот же	10	10
54	мы должны	15	9
55	могут быть	9	9
56	к этому	5	9
57	те же	6	9
58	в чем	2	9
59	уже не	3	9
60	и на	9	9
61	мы не	14	9
62	а не	7	9
63	во всяком	10	9
64	с его	3	9
65	все же	11	8
66	с этим	6	8
67	было бы	15	8
68	еще не	6	8
69	с другими	3	8
70	а в	7	8
71	в ней	3	8
72	на этом	3	8
73	всяком случае	10	8
74	при этом	13	8
75	в каком	3	7
76	не могут	5	7
77	до конца	2	7
78	в жизни	3	7
79	в то	5	7
80	в себе	9	7
81	что в	31	7
82	хотя бы	2	7
83	и для	4	7
84	роль в	5	7
85	не является	13	7
86	того что	17	7
87	и у	7	7
88	но не	7	7
89	что все	2	7
90	с самого	6	7
91	об этом	2	7
92	связь с	4	7
93	в нем	4	7
94	если мы	12	7
95	и к	9	7
96	из них	5	7
97	в этой	7	7
98	одно из	2	6
99	для этого	3	6
100	в высшей	11	6
101	мы имеем	6	6
102	из этих	5	6
103	человека и	6	6
104	всех этих	2	6
105	для марксизма	3	6
106	не менее	8	6
107	для того	14	6
108	в таком	4	6
109	и только	4	6
110	в корне	2	6
111	к тому	8	6
112	не можем	4	6
113	можно сказать	2	6
114	в свою	4	6
115	зрения на	2	6
116	этого периода	2	6
117	здесь в	2	6
118	и что	15	6
119	высшей степени	11	6
120	во время	3	6
121	в основе	32	6
122	что это	8	5
123	тех же	2	5
124	внешней речи	6	5
125	т.е в	2	5
126	что она	7	5
127	с их	3	5
128	в которой	4	5
129	и по	5	5
130	другими словами	3	5
131	от того	8	5
132	со всеми	9	5
133	на первый	5	5
134	и те	3	5
135	между ними	6	5
136	в этих	4	5
137	на основании	11	5
138	как это	16	5
139	самого начала	6	5
140	увидим что	5	5
141	внутренней речи	19	5
142	что и	14	5
143	ее в	2	5
144	тому что	3	5
145	далеко не	2	5
146	в своих	3	5
147	это не	5	5
148	той же	8	5
149	в процессе	33	5
150	отнюдь не	6	5
151	процесс образования	17	5
152	того чтобы	15	5
153	с ними	3	5
154	заключается в	22	5
155	в себя	3	5
156	вместе с	18	5
157	одна из	2	4
158	с которыми	4	4
159	на которые	3	4
160	все время	6	4
161	характер и	2	4
162	его к	6	4
163	так же	26	4
164	нисколько не	3	4
165	но это	7	4
166	в развитии	46	4
167	в области	9	4
168	этот процесс	4	4
169	в собственном	12	4
170	с ее	5	4
171	в другом	3	4
172	тем не	6	4
173	внутренняя речь	5	4
174	речи мы	5	4
175	на него	2	4
176	этом отношении	9	4
177	если бы	12	4
178	и может	4	4
179	мы увидим	4	4
180	в первый	2	4
181	в виду	4	4
182	в основном	6	4
183	ничего общего	4	4
184	этой области	2	4
185	свою очередь	3	4
186	только на	2	4
187	у него	3	4
188	может стать	2	4
189	как в	14	4
190	к ней	2	4
191	между собой	15	4
192	в своем	9	4
193	по своему	14	4
194	едва ли	6	4
195	в котором	3	4
196	связанные с	3	4
197	потому что	14	4
198	именно в	6	4
199	помощью которых	8	4
200	как с	4	4
201	этот вопрос	5	4
202	что оно	8	4
203	и т.п	3	4
204	главным образом	3	4
205	мы находим	3	4
206	смысле слова	5	4
207	по себе	11	4
208	в целом	22	4
209	зависимости от	7	4
210	не имеющие	2	4
211	в зависимости	6	4
212	сам по	2	4
213	мы и	4	4
214	в истории	9	4
215	первый план	5	4
216	слова и	8	4
217	и речи	27	4
218	не дает	2	4
219	конечно в	2	3
220	и то	9	3
221	и от	5	3
222	тому чтобы	2	3
223	независимо от	5	3
224	в результате	6	3
225	и даже	4	3
226	и тот	6	3
227	тем же	8	3
228	связанное с	2	3
229	и как	11	3
230	видели что	4	3
231	какой степени	5	3
232	на место	2	3
233	на все	2	3
234	а как	2	3
235	ни один	5	3
236	одним из	6	3
237	и при	3	3
238	такой же	4	3
239	на две	2	3
240	одной и	6	3
241	или как	2	3
242	связано с	2	3
243	как на	2	3
244	себе и	2	3
245	и той	7	3
246	сих пор	3	3
247	является по	2	3
248	в какой	5	3
249	не больше	2	3
250	мы в	3	3
251	на этот	5	3
252	в поведении	7	3
253	ни на	3	3
254	значение в	5	3
255	и является	2	3
256	от всех	2	3
257	на этой	7	3
258	о том	6	3
259	они не	4	3
260	при анализе	2	3
261	один и	6	3
262	в совершенно	5	3
263	развития как	2	3
264	оно может	2	3
265	если это	2	3
266	того же	12	3
267	все его	2	3
