N	2gram	Tiupa_Teor	Komedia
1	и в	24	77
2	и не	17	47
3	в том	20	44
4	том что	11	42
5	о том	2	33
6	но и	14	32
7	может быть	22	30
8	таким образом	3	29
9	в то	9	28
10	и его	11	28
11	в этом	12	27
12	потому что	3	27
13	что он	4	26
14	к тому	4	26
15	не только	24	25
16	вместе с	2	25
17	как и	6	23
18	ни в	5	23
19	что в	10	23
20	что и	2	22
21	если бы	3	22
22	в самом	7	22
23	в конце	2	21
24	так и	14	21
25	а в	15	21
26	то же	12	21
27	в его	12	20
28	со стороны	6	19
29	в этой	3	18
30	еще не	6	17
31	и здесь	2	17
32	в нем	7	17
33	же время	8	17
34	у него	2	16
35	не менее	6	16
36	при этом	20	16
37	и сам	4	16
38	он не	5	16
39	его в	4	15
40	в своем	7	15
41	не в	9	15
42	точки зрения	11	15
43	между тем	5	15
44	прежде всего	3	15
45	один из	2	15
46	на себя	2	15
47	в которой	3	15
48	и на	2	15
49	к нему	2	14
50	все это	2	14
51	об этом	2	14
52	в свою	4	14
53	столь же	3	14
54	о чем	3	13
55	то что	6	13
56	самом деле	2	13
57	но в	12	13
58	того же	4	13
59	в них	2	13
60	того чтобы	5	13
61	что она	2	13
62	в одном	3	13
63	как раз	3	13
64	так же	2	12
65	с другой	9	12
66	для того	5	12
67	как это	10	12
68	несмотря на	2	12
69	в качестве	33	12
70	хотя и	4	12
71	не может	8	12
72	как в	5	12
73	но не	13	12
74	из которых	2	12
75	нового времени	3	12
76	по отношению	10	11
77	в их	4	11
78	в частности	23	11
79	речь идет	2	11
80	и даже	2	11
81	и для	3	11
82	в отношении	4	10
83	в целом	4	10
84	отношение к	7	10
85	одной из	2	10
86	в чем	2	10
87	свою очередь	3	10
88	с его	6	10
89	тем более	2	10
90	с одной	3	10
91	как бы	8	10
92	и что	4	10
93	отличие от	7	9
94	тому что	2	9
95	одной стороны	3	9
96	однако в	7	9
97	и особенно	2	9
98	о его	2	9
99	и по	3	9
100	в своей	8	9
101	а также	7	9
102	отношению к	10	9
103	вовсе не	3	9
104	говорить о	4	9
