N	2gram	Tiupa_Narr	Tragedij
1	и в	22	18
2	в романе	3	10
3	в году	2	9
4	в этом	23	9
5	не только	50	8
6	и не	34	7
7	он сам	4	7
8	и на	5	7
9	как бы	11	7
10	и с	3	7
11	может быть	24	7
12	же время	7	6
13	что он	7	6
14	но в	10	6
15	и его	12	6
16	у него	13	6
17	что это	4	5
18	к жизни	3	5
19	все же	10	5
20	это не	6	5
21	то же	12	5
22	как и	15	5
23	так и	12	5
24	не может	16	5
25	в то	9	5
26	что в	6	4
27	еще не	6	4
28	в целом	5	4
29	но и	39	4
30	прежде всего	7	4
31	об этом	8	4
32	том что	15	4
33	в этой	8	4
34	так же	2	4
35	и все	7	4
36	в нем	9	4
37	что я	4	4
38	то что	14	4
39	но это	2	4
40	я не	5	4
41	и даже	4	4
42	в себе	14	4
43	один из	8	3
44	своего рода	17	3
45	и как	4	3
46	в мире	8	3
47	тем самым	9	3
48	к нему	5	3
49	в своем	7	3
50	при этом	31	3
51	в его	12	3
52	что с	2	3
53	все эти	3	3
54	в поле	3	3
55	и он	8	3
56	отнюдь не	6	3
57	о чем	6	3
58	с ее	3	3
59	и сам	4	3
60	как будто	4	3
61	как в	9	3
62	как это	7	3
63	для него	8	3
64	то есть	15	3
65	в конце	4	3
66	с ним	6	3
67	никогда не	8	2
68	в рассказе	10	2
69	в самом	8	2
70	и то	3	2
71	данном случае	12	2
72	по поводу	3	2
73	до конца	2	2
74	одна из	5	2
75	даже если	2	2
76	точно так	2	2
77	друг друга	2	2
78	перед нами	9	2
79	в душе	3	2
80	в одном	5	2
81	не имеет	3	2
82	в виде	2	2
83	раз и	2	2
84	ничего не	8	2
85	то и	3	2
86	в данном	17	2
87	в ее	4	2
88	к тому	13	2
89	а как	2	2
90	говорит о	3	2
91	о том	5	2
92	в ходе	4	2
93	о его	3	2
94	что и	3	2
95	не в	12	2
96	столь же	6	2
97	и здесь	3	2
98	это уже	3	2
99	потому что	7	2
100	о жизни	2	2
101	по словам	2	2
102	не просто	2	2
103	и личность	2	2
104	в частности	23	2
105	как у	6	2
106	в таком	4	2
107	еще раз	3	2
108	он не	8	2
109	и ее	3	2
110	в первом	4	2
111	в самую	2	2
112	уже не	11	2
113	только к	3	2
114	что она	3	2
115	по мнению	2	2
116	но они	4	2
117	отличие от	6	2
118	в том	20	2
119	в глазах	7	2
120	но при	5	2
121	чем он	3	2
122	который в	2	2
123	не случайно	2	2
124	в отличие	6	2
125	теперь и	2	2
126	не мог	7	2
127	еще в	4	2
128	он и	2	2
129	с его	6	2
130	во сне	4	2
131	времени в	3	2
132	отношение к	2	2
