N	2gram	Propp_Morf	Sovremen
1	не может	19	17
2	точки зрения	7	12
3	может быть	61	12
4	таким образом	26	11
5	мы не	8	9
6	и в	17	7
7	в этом	18	7
8	и не	16	6
9	ничего не	5	6
10	как и	4	6
11	в результате	8	6
12	мы можем	5	6
13	что же	2	5
14	с точки	6	5
15	все эти	5	5
16	прежде всего	14	5
17	вопрос о	10	4
18	это не	6	4
19	не только	8	4
20	в том	10	4
21	мы должны	3	4
22	как бы	6	4
23	их в	2	4
24	так как	20	4
25	если мы	6	4
26	в целом	5	4
27	а в	8	4
28	из них	4	4
29	для нас	2	3
30	может не	2	3
31	следующим образом	4	3
32	он может	2	3
33	но в	4	3
34	из двух	3	3
35	но мы	3	3
36	состоит из	3	3
37	не в	3	3
38	все же	9	3
39	мы получаем	2	3
40	было бы	5	3
41	еще не	4	3
42	одна из	5	3
43	у нас	3	3
44	все это	2	3
45	между собой	5	3
46	а не	11	3
47	в первом	5	3
48	и к	4	3
49	что она	2	3
50	в этой	3	3
51	мы получим	2	3
52	то же	10	3
53	в одном	2	3
54	так называемых	2	3
55	ясно что	5	3
56	но все	4	2
57	на его	5	2
58	на этот	2	2
59	и по	3	2
60	всяком случае	2	2
61	быть и	2	2
62	роль в	2	2
63	форма в	3	2
64	можно назвать	3	2
65	а на	3	2
66	не менее	7	2
67	пойти в	2	2
68	не могут	7	2
69	мы видим	15	2
70	к чему	3	2
71	он должен	3	2
72	с этим	14	2
73	и пр	45	2
74	и что	3	2
75	во всяком	2	2
76	вторая половина	2	2
77	что такое	3	2
78	приводит к	3	2
79	что при	3	2
80	из этих	2	2
81	и есть	3	2
82	или же	7	2
83	в виде	3	2
84	что в	10	2
85	в настоящее	3	2
86	ни одна	4	2
87	в которой	3	2
88	у него	2	2
89	в некоторых	4	2
90	самом деле	4	2
91	уже не	4	2
92	то ни	3	2
93	если же	5	2
94	в нашем	6	2
95	не будем	5	2
96	могут быть	21	2
97	в один	3	2
98	настоящее время	3	2
99	может дать	2	2
100	с одной	2	2
101	на этом	4	2
102	как мы	8	2
103	говорить о	4	2
104	что это	3	2
105	тем не	7	2
106	на котором	4	2
107	из которых	5	2
108	и даже	2	2
109	он приводит	2	2
110	тем же	2	2
