N	2gram	Voloshinov	Stilisti
1	и в	13	42
2	как бы	6	30
3	не только	6	28
4	и т.п	7	25
5	прежде всего	9	22
6	и т.д	5	21
7	хотя бы	5	18
8	то же	4	16
9	но и	3	16
10	и не	8	14
11	социального общения	6	14
12	не может	8	13
13	может быть	8	13
14	как и	3	12
15	точки зрения	7	11
16	мы уже	2	11
17	в себе	3	10
18	мы должны	6	10
19	в этом	2	10
20	все же	5	9
21	то что	6	9
22	при этом	2	9
23	мы не	4	9
24	так как	3	8
25	в ней	2	8
26	что же	3	8
27	таким образом	6	8
28	никогда не	3	7
29	в которой	3	7
30	мы можем	4	7
31	зависимости от	2	7
32	так и	3	7
33	слов и	4	7
34	только в	6	7
35	а не	2	7
36	в зависимости	2	7
37	было бы	4	7
38	и его	12	7
39	и тем	2	7
40	одно и	3	6
41	бы в	2	6
42	не в	3	6
43	но ведь	5	6
44	в области	2	6
45	точку зрения	3	6
46	в нем	2	6
47	в процессе	5	6
48	в его	7	6
49	с помощью	2	6
50	и то	3	5
51	того или	2	5
52	в сознании	4	5
53	и следовательно	2	5
54	связанных с	2	5
55	слова и	2	5
56	не является	4	5
57	и наконец	5	5
58	и их	7	5
59	самом деле	3	5
60	и является	2	5
61	а в	2	5
62	но в	4	5
63	или иного	2	5
64	те же	2	5
65	в самом	2	5
66	уже в	2	5
67	с точки	5	5
68	да и	3	4
69	в одном	3	4
70	так же	2	4
71	общения и	2	4
72	вопроса о	4	4
73	если бы	2	4
74	лишь в	4	4
75	не что	2	4
76	интонацию и	2	4
77	самого начала	2	4
78	и все	3	4
79	в каждом	4	4
80	с самого	2	4
81	к тому	2	4
82	и пр	7	4
83	и к	2	4
84	в целом	2	4
85	языка и	5	4
86	мы видим	2	4
87	все это	4	4
88	социальной группы	4	4
89	жизненного высказывания	2	4
90	человеческой речи	2	3
91	которое может	2	3
92	том что	2	3
93	нуждается в	2	3
94	в тех	2	3
95	и эта	5	3
96	но для	3	3
97	роль в	2	3
98	словесного материала	5	3
99	и внутренняя	2	3
100	в том	2	3
101	может стать	2	3
102	как в	2	3
103	т.п и	3	3
104	для него	2	3
105	и для	3	3
106	несмотря на	2	3
107	в ее	3	3
108	и уже	3	3
109	все эти	2	3
110	между тем	2	3
111	вряд ли	3	3
112	не мог	2	3
113	здесь мы	3	3
114	что иное	2	2
115	еще и	4	2
116	в отношении	2	2
117	речи не	2	2
118	с этим	3	2
119	нет ничего	2	2
120	по отношению	3	2
121	иное как	2	2
122	членораздельной речи	3	2
123	конечно мы	2	2
124	есть не	2	2
125	слово в	3	2
126	тем что	2	2
127	в языке	2	2
128	в их	3	2
129	и при	2	2
130	выбор и	2	2
131	жизненной речи	2	2
132	отношению к	3	2
133	в пределах	3	2
134	литературное произведение	2	2
135	подойти к	2	2
136	о языке	2	2
137	который мы	2	2
138	и этот	2	2
139	лишь путем	2	2
140	но мы	4	2
141	связанные с	2	2
142	не сумеем	2	2
143	в своих	2	2
144	ни один	3	2
145	в своей	4	2
146	в материале	5	2
147	в связи	2	2
148	тот же	2	2
149	вовсе не	2	2
150	же слово	2	2
