N	3gram	Vinokur_Vv	Myshleni
1	в том что	15	133
2	с точки зрения	4	89
3	для того чтобы	22	78
4	заключается в том	3	51
5	по сравнению с	4	45
6	по отношению к	4	42
7	с одной стороны	4	39
8	то же самое	3	31
9	в этом отношении	4	30
10	можно было бы	4	28
11	в этом случае	6	27
12	с другой стороны	5	26
13	в собственном смысле	3	26
14	вместе с тем	3	26
15	о том что	13	25
16	не может быть	10	23
17	смысле этого слова	2	22
18	в зависимости от	3	22
19	можно сказать что	3	21
20	в самом деле	6	19
21	в отличие от	4	18
22	во всяком случае	5	18
23	состоит в том	2	18
24	в этом смысле	10	18
25	этой точки зрения	2	17
26	до сих пор	7	17
27	как мы видели	3	17
28	одного и того	2	17
29	в связи с	2	17
30	и того же	2	17
31	с этой точки	2	16
32	одной и той	2	15
33	в известном смысле	3	15
34	в данном случае	4	15
35	и той же	2	15
36	и то что	3	15
37	на этот вопрос	5	14
38	в свою очередь	2	14
39	к выводу что	6	14
40	подобно тому как	2	14
41	потому что он	2	14
42	точно так же	2	13
43	в другом месте	2	13
44	тем не менее	9	12
45	одно и то	2	12
46	в том чтобы	5	12
47	и то же	2	12
48	как мы уже	2	11
49	одной стороны и	3	10
50	но вместе с	2	10
51	сама по себе	3	9
52	именно в этом	3	9
53	само по себе	4	9
54	на вопрос о	4	9
55	с тем что	3	9
56	сам по себе	2	8
57	не могут быть	2	8
58	по самой своей	2	8
59	той или иной	3	8
60	только в том	2	8
61	в первом случае	2	7
62	по своему значению	2	7
63	вопрос о том	5	7
64	же самое что	2	7
65	по этому поводу	3	7
66	в том виде	3	7
67	не что иное	5	6
68	что иное как	5	6
69	самой своей природе	2	6
70	в той мере	6	5
71	в конце концов	2	5
72	в свое время	3	5
73	но все же	4	5
74	в то же	6	5
75	той мере в	6	5
76	и в этом	4	5
77	принять во внимание	2	5
78	что в этом	2	5
79	что представляет собой	3	5
80	ответ на этот	2	5
81	мере в какой	6	5
82	не только в	4	5
83	есть не что	3	4
84	после того как	2	4
85	не до конца	2	4
86	имеет дело с	2	4
87	о чем говорится	3	4
88	сомнений в том	2	4
89	влечет за собой	2	4
90	не могут не	2	4
91	и в самом	3	3
92	но не может	2	3
93	в соответствии с	2	3
94	в значительной мере	2	3
95	вообще не может	2	3
96	тех или иных	3	3
97	в применении к	6	3
98	и потому что	2	3
99	хотя бы и	2	3
100	и со стороны	2	3
101	и что следовательно	2	3
102	в большей мере	2	3
103	то же время	6	3
104	и не могут	2	3
105	на том что	2	3
106	представить себе что	2	3
107	в известной мере	2	3
108	дело в том	3	3
109	в целом ряде	2	3
110	не только как	4	3
111	самом деле как	2	2
112	в том отношении	3	2
113	могут быть названы	2	2
114	вовсе не в	2	2
115	может быть в	2	2
116	в этих случаях	2	2
117	что может быть	3	2
118	если таким образом	2	2
119	и именно в	3	2
120	каждой из двух	2	2
121	того чтобы понять	3	2
122	и т.д в	2	2
123	нельзя не признать	3	2
124	в чем же	3	2
125	приходим к выводу	4	2
126	тем или иным	2	2
127	таким образом по	2	2
