N	3gram	Vygotskiy_	EvropaiC
1	в том что	30	16
2	до сих пор	4	15
3	по отношению к	11	11
4	друг с другом	6	9
5	с точки зрения	34	8
6	на самом деле	3	7
7	для того чтобы	19	7
8	на то что	9	7
9	друг от друга	4	6
10	мы говорили выше	3	6
11	по сравнению с	9	5
12	в самом деле	5	5
13	с другой стороны	10	4
14	о том что	10	4
15	не может быть	8	4
16	вместе с тем	5	3
17	так же как	6	3
18	в данном случае	5	3
19	в том же	3	3
20	не в состоянии	2	3
21	в связи с	3	3
22	заключается в том	10	3
23	но вместе с	5	2
24	то что у	2	2
25	с одной стороны	14	2
26	между этими двумя	2	2
27	во всяком случае	5	2
28	в то время	5	2
29	то же время	2	2
30	а с другой	6	2
31	как и в	2	2
32	в высшей степени	7	2
33	том что он	2	2
34	в то же	2	2
35	о которой мы	2	2
36	друг к другу	2	2
37	которой мы говорили	2	2
38	как и все	2	2
39	только то что	2	2
40	в свою очередь	3	2
