N	3gram	Trubetskoy	Problemy
1	то же время	10	26
2	в то же	10	26
3	с точки зрения	9	25
4	на самом деле	6	15
5	не может быть	4	14
6	в большинстве случаев	2	12
7	в конце концов	3	11
8	до сих пор	5	10
9	с самим собой	2	9
10	во всяком случае	6	9
11	и не может	3	8
12	друг с другом	14	8
13	в том что	7	8
14	бы то ни	4	7
15	сама по себе	2	7
16	той или иной	3	5
17	можно было бы	3	5
18	более или менее	4	4
19	о том что	2	4
20	а между тем	5	4
21	к тому чтобы	4	4
22	в данном случае	3	3
23	на то что	4	3
24	в настоящее время	2	3
25	в этом случае	3	3
26	в том и	2	3
27	и в том	2	2
28	что он не	2	2
29	и в другом	2	2
30	в лучшем случае	3	2
31	друг от друга	2	2
32	к тому что	2	2
33	а следовательно и	2	2
34	том и в	2	2
35	вместе с тем	3	2
36	для того чтобы	6	2
37	в себе и	2	2
38	при том условии	3	2
39	и во всяком	2	2
40	но она не	2	2
