N	2gram	Propp_Morf	Dialekti
1	т е	25	159
2	и не	16	120
3	и т	62	82
4	а не	11	78
5	и в	17	77
6	т д	60	75
7	точки зрения	7	72
8	может быть	61	71
9	не только	8	66
10	значит что	4	61
11	то что	10	59
12	и есть	3	55
13	ничего не	5	54
14	не может	19	53
15	и даже	2	47
16	так как	20	46
17	с точки	6	46
18	есть нечто	3	46
19	что это	3	46
20	потому что	7	45
21	как бы	6	43
22	ни в	3	42
23	и что	3	42
24	не имеет	2	41
25	вовсе не	6	41
26	в том	10	40
27	что такое	3	39
28	в этом	18	39
29	то же	10	39
30	что она	2	38
31	том что	7	37
32	что он	5	37
33	прежде всего	14	37
34	это не	6	36
35	что в	10	34
36	того что	3	33
37	но и	9	32
38	все это	2	31
39	ясно что	5	31
40	и как	6	30
41	сказать что	4	30
42	так и	10	29
43	было бы	5	29
44	как и	4	28
45	не в	3	26
46	есть и	4	26
47	и пр	45	25
48	говорить о	4	25
49	учение о	5	25
50	если бы	3	24
51	но это	6	24
52	в то	4	23
53	это и	3	23
54	таким образом	26	23
55	она не	2	21
56	должна быть	2	21
57	в чем	2	21
58	в каком	2	20
59	только в	3	20
60	что и	10	20
61	о том	6	20
62	уже не	4	20
63	как же	3	19
64	что мы	2	19
65	как это	7	19
66	не менее	7	19
67	не существует	3	19
68	и его	3	19
69	иное как	2	18
70	не что	2	18
71	что иное	2	18
72	что же	2	18
73	с другой	9	18
74	хотя бы	5	18
75	но если	10	17
76	в основе	2	17
77	в сущности	3	17
78	можно сказать	2	17
79	мы не	8	16
80	кроме того	3	16
81	или не	3	16
82	к нему	3	16
83	то это	5	16
84	об этом	5	16
85	тем не	7	16
86	быть и	2	15
87	то в	3	15
88	только что	3	15
89	также и	6	15
90	как таковой	2	15
91	все же	9	15
92	так же	4	15
93	в виде	3	15
94	самом деле	4	15
95	хотя и	5	15
96	на то	3	15
97	несмотря на	4	15
98	мы уже	4	15
99	или нет	2	14
100	и ее	5	14
101	д и	2	14
102	и только	3	14
103	но в	4	13
104	время как	3	13
105	он не	5	13
106	что именно	2	13
107	что они	5	13
108	другой стороны	5	13
109	и к	4	13
110	вопрос о	10	12
111	могут быть	21	12
112	еще не	4	12
113	все эти	5	12
114	перед нами	14	12
115	не могут	7	12
116	но как	3	12
117	даже не	3	12
118	а в	8	12
119	с этим	14	12
120	и тогда	3	12
121	но не	8	12
122	та же	3	11
123	мы должны	3	11
124	должны быть	2	11
125	в одну	2	11
126	от того	4	11
127	и тем	3	11
128	ничем не	2	11
129	в данном	2	11
130	мы имеем	19	11
131	не значит	3	11
132	из них	4	11
133	или в	6	11
134	а потом	2	10
135	к тому	5	10
136	как мы	8	10
137	это было	3	10
138	для того	3	10
139	с этой	3	10
140	или другой	2	10
141	и для	4	10
142	оно не	2	10
143	если же	5	10
144	в частности	2	10
145	мы видим	15	10
146	во всяком	2	10
147	в результате	8	10
148	как будто	2	10
149	если мы	6	10
150	а если	4	9
151	и по	3	9
152	превращается в	2	9
153	имеется в	3	9
154	подобно тому	6	9
155	в этих	17	9
156	между собою	2	9
157	и более	2	9
158	тому как	5	9
159	в одном	2	9
160	утверждать что	3	9
161	тому что	5	9
162	или по	2	9
163	и когда	2	9
164	случае не	4	9
165	то время	3	9
166	бы в	2	9
167	мы можем	5	9
168	на этом	4	9
169	на самом	4	8
170	от него	2	8
171	если она	2	8
172	то как	2	8
173	не на	2	8
174	в этой	3	8
175	у нас	3	8
176	с одной	2	8
177	но вот	2	8
178	но все	4	8
179	что эта	2	8
180	в одной	2	8
181	при помощи	12	8
182	один из	7	8
183	себя в	2	8
184	как таковая	2	8
