N	2gram	Trubetskoy	Freidism
1	и не	19	34
2	таким образом	11	34
3	точки зрения	11	31
4	не может	22	30
5	может быть	9	28
6	и в	14	28
7	в этом	17	28
8	прежде всего	8	26
9	в его	4	25
10	мы можем	2	20
11	как бы	4	19
12	то что	13	17
13	так как	4	15
14	с точки	9	15
15	все эти	2	15
16	самом деле	7	14
17	в своей	5	14
18	с ним	2	14
19	во всех	5	13
20	но в	2	13
21	как и	4	13
22	по отношению	2	13
23	точку зрения	4	12
24	и потому	3	12
25	том что	9	12
26	– не	2	12
27	то же	11	12
28	что он	6	12
29	ни в	2	12
30	в самом	3	12
31	и наконец	2	12
32	для него	6	12
33	все это	6	12
34	его в	4	11
35	только в	5	11
36	никогда не	5	10
37	и с	7	10
38	не только	9	10
39	но и	10	10
40	не в	4	10
41	он не	5	10
42	в том	17	10
43	мы уже	2	10
44	все что	4	10
45	что же	4	10
46	конечно не	5	10
47	мы должны	7	9
48	совершенно не	2	9
49	к нему	2	9
50	уже не	2	9
51	и на	5	9
52	а не	2	9
53	во всяком	9	9
54	все же	4	8
55	с этим	2	8
56	было бы	5	8
57	и вот	2	8
58	еще не	3	8
59	а в	5	8
60	знаем что	3	8
61	в ней	2	8
62	всяком случае	6	8
63	при этом	5	8
64	не могут	4	7
65	в то	10	7
66	в себе	9	7
67	что в	4	7
68	хотя бы	5	7
69	и для	6	7
70	быть и	2	7
71	того что	3	7
72	но не	4	7
73	что все	3	7
74	в нем	5	7
75	и к	6	7
76	из них	3	7
77	жизни и	4	7
78	в этой	4	7
79	на самом	6	6
80	для этого	3	6
81	но мы	3	6
82	из этих	3	6
83	всех этих	3	6
84	для того	6	6
85	в таком	2	6
86	и только	5	6
87	и о	2	6
88	в корне	4	6
89	она не	2	6
90	к тому	7	6
91	не можем	2	6
92	что такое	2	6
93	большинстве случаев	2	6
94	и что	2	6
95	же время	10	6
96	во время	2	6
97	что это	3	5
98	со стороны	4	5
99	и по	3	5
100	от того	4	5
101	и те	2	5
102	в этих	2	5
103	на основании	2	5
104	что может	3	5
105	что и	3	5
106	ее в	2	5
107	тому что	2	5
108	в своих	6	5
109	в большинстве	3	5
110	отнюдь не	7	5
111	того чтобы	8	5
112	не было	3	5
113	он сам	3	5
114	говорить о	3	5
115	вместе с	4	5
116	данном случае	3	4
117	одна из	3	4
118	в таких	2	4
119	так же	2	4
120	нисколько не	2	4
121	но это	2	4
122	в области	2	4
123	в другом	3	4
124	если бы	6	4
125	это только	2	4
126	только на	2	4
127	у него	2	4
128	между собой	5	4
129	в своем	6	4
130	только с	2	4
131	в котором	2	4
132	потому что	5	4
133	именно в	3	4
134	а потому	5	4
135	этот вопрос	2	4
136	что оно	3	4
137	главным образом	3	4
138	по себе	2	4
139	отметить что	2	4
140	это учение	2	4
141	себя и	5	4
142	то ни	4	4
143	в данном	7	4
144	сводится к	3	4
145	и то	4	3
146	и от	2	3
147	в сознании	3	3
148	тому чтобы	4	3
149	жизни в	5	3
150	в результате	2	3
151	к себе	2	3
152	и даже	2	3
153	и тот	2	3
154	и как	3	3
155	сил и	3	3
156	и при	6	3
157	этого не	2	3
158	и ни	3	3
159	как на	8	3
160	всем этим	2	3
161	себе и	4	3
162	сих пор	5	3
163	согласиться с	2	3
164	не так	2	3
165	и является	2	3
166	на этой	2	3
167	о том	7	3
168	в совершенно	4	3
169	на почве	2	3
170	центр тяжести	2	3
171	остается в	2	3
172	их в	2	3
173	на себя	2	3
174	но для	2	3
175	приводит к	4	3
176	для всех	6	3
177	можно ли	3	3
178	себя в	4	3
179	на это	2	3
180	для них	3	3
181	которой он	4	3
182	и есть	2	3
183	а следовательно	3	3
184	до сих	5	3
185	между тем	5	3
186	бы то	4	3
187	да и	3	2
188	самого себя	7	2
189	вопрос о	5	2
190	к этой	4	2
191	следовательно и	2	2
192	в культурном	2	2
193	о которых	3	2
194	или иной	5	2
195	то в	3	2
196	ли это	4	2
197	время в	2	2
198	для нее	2	2
199	должно быть	3	2
200	его и	2	2
201	отличается от	2	2
202	смотрят на	2	2
203	в конце	3	2
204	есть и	2	2
205	для себя	2	2
206	что бы	3	2
207	друг друга	3	2
208	конце концов	3	2
209	что такой	4	2
210	и тем	2	2
211	все они	3	2
212	он должен	5	2
213	в некоторых	2	2
214	в их	4	2
215	только для	2	2
216	для нас	2	2
217	противоречие с	2	2
218	их не	2	2
219	в течение	2	2
220	мы говорили	3	2
221	должна быть	2	2
222	а с	2	2
223	при таких	4	2
224	всех людей	2	2
225	в мире	4	2
226	в заблуждение	2	2
227	и этот	3	2
228	не есть	3	2
229	к которой	6	2
230	зависит от	2	2
231	стремление к	7	2
232	даже если	2	2
233	отказаться от	4	2
234	на которой	2	2
235	тогда когда	4	2
236	из которых	5	2
237	но если	3	2
238	из этого	3	2
239	что с	2	2
240	и во	3	2
241	в качестве	3	2
242	всю эту	2	2
243	у других	2	2
244	это есть	2	2
245	отношения к	2	2
246	если же	2	2
247	не к	2	2
248	ясно что	2	2
