N	3gram	Bakhtin_sl	Stilisti
1	в то же	15	9
2	то же время	15	7
3	в зависимости от	4	7
4	и то же	2	5
5	с точки зрения	11	5
6	одно и то	2	5
7	того или иного	2	5
8	той или иной	13	4
9	в свою очередь	3	4
10	в этом случае	4	3
11	как мы уже	4	3
12	не только в	3	3
13	но и в	2	3
14	как мы видели	2	3
15	в связи с	2	2
16	мы не знаем	2	2
17	и кроме того	2	2
18	приходится иметь дело	2	2
19	то же слово	2	2
20	в этом отношении	2	2
21	в значительной степени	6	2
22	к тому что	2	2
23	и в то	6	2
24	по отношению к	2	2
25	но в то	6	2
26	о том что	2	2
27	не может быть	11	2
