N	2gram	Propp_Russ	Vvedenie
1	и т	13	45
2	т е	41	40
3	т д	12	39
4	в том	33	38
5	в этом	18	35
6	и в	59	35
7	том что	33	30
8	может быть	14	30
9	не только	28	26
10	для того	6	23
11	того чтобы	6	22
12	таким образом	10	21
13	не может	6	19
14	то что	10	19
15	потому что	15	18
16	о том	14	16
17	только в	4	16
18	так как	25	15
19	представляет собой	5	14
20	и не	6	13
21	что в	35	13
22	в нем	3	13
23	в их	5	12
24	того что	6	12
25	xix в	16	12
26	точки зрения	3	12
27	в его	3	12
28	как на	2	12
29	в данном	7	11
30	то же	6	11
31	как мы	11	11
32	вопрос о	4	10
33	не в	2	10
34	прежде всего	2	10
35	но в	5	10
36	между тем	9	10
37	из этих	6	9
38	тем не	3	9
39	и как	2	9
40	все же	7	9
41	представляют собой	13	9
42	но не	7	9
43	не менее	3	9
44	это не	14	8
45	можно было	3	8
46	именно в	3	8
47	в качестве	5	8
48	и то	2	7
49	выводу что	3	7
50	к выводу	3	7
51	как и	19	7
52	как бы	18	7
53	этот вопрос	4	7
54	но и	20	7
55	в разных	3	7
56	только как	2	7
57	было бы	3	7
58	его в	9	6
59	как например	6	6
60	том чтобы	3	6
61	иное как	3	6
62	об этом	11	6
63	но если	2	6
64	тем что	7	6
65	как он	2	6
66	а именно	2	6
67	в какой	3	6
68	так например	7	6
69	на этот	3	6
70	с тем	14	6
71	и это	2	6
72	а в	16	6
73	уже не	9	6
74	в которых	8	6
75	могут быть	3	6
76	в то	3	6
77	один из	10	6
78	в руки	2	6
79	и что	8	6
80	и его	2	6
81	все это	12	6
82	этом случае	9	6
83	вместе с	16	6
84	данном случае	8	5
85	независимо от	3	5
86	дело не	2	5
87	не что	3	5
88	есть и	2	5
89	в виду	3	5
90	связь между	2	5
91	одним из	2	5
92	с этой	2	5
93	что он	2	5
94	так что	4	5
95	что иное	3	5
96	в течение	7	5
97	по своему	2	5
98	одно из	6	5
99	как уже	6	5
100	от этого	2	5
101	как это	11	5
102	в г	6	5
103	или вообще	3	5
104	в различных	3	5
105	в них	10	5
106	уже в	2	5
107	в целом	2	5
108	что и	8	5
109	говорить о	2	5
110	не просто	3	5
111	а не	3	5
112	хотя и	3	5
113	должен был	3	4
114	мы имеем	7	4
115	о чем	7	4
116	и ее	3	4
117	в области	3	4
118	в каждом	2	4
119	должен быть	2	4
120	в особенности	3	4
121	еще не	7	4
122	е в	17	4
123	отличие от	4	4
124	в отличие	4	4
125	к тому	4	4
126	но все	3	4
127	и для	3	4
128	из наиболее	2	4
129	не имеет	9	4
130	только с	2	4
131	в котором	2	4
132	в виде	10	4
133	в более	2	4
134	в и	19	4
135	ответ на	2	4
136	тогда когда	4	4
137	в одном	4	4
138	из них	12	4
139	с точки	3	4
140	до конца	5	3
141	одна из	12	3
142	что это	4	3
143	в изучении	2	3
144	только по	2	3
145	на нее	5	3
146	в своем	3	3
147	а также	6	3
148	с этим	4	3
149	так же	7	3
150	нет надобности	2	3
151	для этого	6	3
152	что она	4	3
153	к этому	7	3
154	относящиеся к	2	3
155	и здесь	3	3
156	или же	2	3
157	xx в	2	3
158	так называемой	3	3
159	этой работы	2	3
160	раньше чем	2	3
161	в этих	3	3
162	в силу	2	3
163	только на	4	3
164	в частности	2	3
165	как в	10	3
166	не с	5	3
167	мы видели	3	3
168	можно говорить	2	3
169	к нему	3	3
170	на этой	3	3
171	и на	14	3
172	в ней	3	3
173	входит в	4	3
