N	2gram	Bakhtin_Pr	Otkroven
1	у него	11	22
2	у достоевского	29	19
3	и в	64	19
4	но и	26	13
5	и не	55	13
6	в этом	33	12
7	не только	26	11
8	человека в	8	11
9	не в	15	11
10	из подполья	12	11
11	а не	29	11
12	может быть	43	11
13	и все	6	10
14	человека и	2	10
15	в нем	28	10
16	вопрос о	3	10
17	никогда не	11	9
18	в самой	9	9
19	потому что	8	9
20	в человеке	6	9
21	не было	5	9
22	прежде всего	16	9
23	и он	5	8
24	он был	2	8
25	ивана карамазова	5	7
26	лишь в	4	7
27	в его	30	7
28	достоевского он	3	7
29	до конца	10	7
30	он не	14	7
31	но он	4	7
32	как и	25	6
33	все это	9	6
34	записок из	2	5
35	для него	23	5
36	для достоевского	8	5
37	а в	10	5
38	в россии	2	5
39	в том	12	5
40	него в	5	5
41	в творчестве	6	5
42	достоевского и	9	5
43	в самом	17	5
44	то что	21	5
45	в этой	5	5
46	отношение к	4	5
47	и его	21	4
48	достоевский не	5	4
49	что в	11	4
50	он сам	5	4
51	в романах	8	4
52	того чтобы	2	4
53	достоевского не	15	4
54	все эти	13	4
55	герои достоевского	4	4
56	т е	44	4
57	человек и	2	4
58	не может	26	4
59	все в	3	4
60	что не	3	4
61	с его	11	4
62	в себе	11	3
63	и от	3	3
64	о том	5	3
65	романах достоевского	6	3
66	это не	12	3
67	к нему	11	3
68	не могут	10	3
69	что он	15	3
70	самого достоевского	7	3
71	достоевский был	3	3
72	было бы	8	3
73	достоевского в	15	3
74	достоевского было	3	3
75	еще не	10	3
76	и есть	3	3
77	все что	4	3
78	в этих	5	3
79	в своих	4	3
80	когда он	2	3
81	и ее	5	3
82	как бы	33	3
83	хотя бы	4	3
84	могут быть	9	3
85	подполья и	3	3
86	с ним	8	3
87	мысли и	6	3
88	человеческого духа	2	3
89	того что	3	3
90	как к	3	2
91	одно из	2	2
92	достоевского к	4	2
93	сказать что	4	2
94	и на	16	2
95	героев достоевского	4	2
96	уже в	5	2
97	что же	9	2
98	достоевского с	4	2
99	творчество достоевского	5	2
100	и для	7	2
101	в уста	4	2
102	что все	2	2
103	не имеет	2	2
104	ничего не	8	2
105	и с	9	2
106	что и	7	2
107	этого мира	6	2
108	ее в	3	2
109	образ человека	2	2
110	достоевский прежде	2	2
111	и потому	7	2
112	в ее	2	2
113	произведений достоевского	8	2
114	в других	2	2
115	в своем	12	2
116	и этим	5	2
117	тем что	6	2
118	но в	14	2
119	том что	8	2
120	что для	2	2
121	о достоевском	7	2
122	достоевским и	2	2
123	все же	11	2
124	него не	4	2
125	его героев	6	2
126	в своей	11	2
127	он в	3	2
128	ведь это	4	2
129	так как	9	2
130	достоевского нет	5	2
131	по себе	16	2
132	что у	2	2
133	в истории	2	2
134	так что	6	2
135	своей жизни	2	2
136	должно быть	8	2
137	художественном творчестве	3	2
138	и о	7	2
139	не есть	4	2
140	с которой	2	2
141	и нет	6	2
142	все еще	2	2
143	и к	5	2
144	так и	8	2
145	достоевского но	9	2
146	романов достоевского	8	2
147	в которой	2	2
148	которую он	3	2
149	хотя и	5	2
150	всего в	2	2
151	в единстве	9	2
152	в другом	3	2
153	особенность достоевского	2	2
154	на западе	2	2
155	и душа	2	2
156	чем в	3	2
157	его в	8	2
