N	2gram	Potebnia_M	EvropaiC
1	таким образом	21	34
2	в том	38	31
3	и в	58	24
4	том что	21	20
5	все эти	3	19
6	не может	30	18
7	то что	24	18
8	может быть	47	17
9	до сих	5	15
10	все же	11	15
11	сих пор	5	15
12	точки зрения	8	14
13	в этом	18	13
14	все это	3	13
15	в своем	3	12
16	с этим	11	12
17	самом деле	2	12
18	между тем	7	12
19	по отношению	15	11
20	но и	26	11
21	отношению к	13	11
22	не только	32	10
23	так и	17	10
24	во всех	12	10
25	мы знаем	2	10
26	как и	16	10
27	все что	5	10
28	как бы	12	10
29	из себя	6	10
30	и не	34	9
31	не в	23	9
32	что в	34	9
33	и все	6	9
34	на то	5	9
35	того же	13	9
36	потому что	89	9
37	при этом	17	9
38	и что	13	9
39	так же	7	8
40	из этих	8	8
41	или менее	6	8
42	если бы	23	8
43	для того	8	8
44	к тому	5	8
45	более или	6	8
46	в самом	5	8
47	а и	5	8
48	а между	5	8
49	того чтобы	4	8
50	с точки	4	8
51	касается до	3	8
52	на самом	2	7
53	для этого	2	7
54	о которых	5	7
55	в сознании	8	7
56	так как	29	7
57	по своей	2	7
58	что он	5	7
59	того что	15	7
60	о котором	4	7
61	не менее	10	7
62	о том	6	7
63	из этого	2	7
64	что и	16	7
65	в этой	3	7
66	что при	6	7
67	вместе с	12	7
68	в мире	3	6
69	только в	36	6
70	все они	3	6
71	еще не	9	6
72	и при	6	6
73	друг от	3	6
74	так что	23	6
75	что касается	2	6
76	в то	6	6
77	должна быть	4	6
78	и для	8	6
79	с другой	13	6
80	от друга	3	6
81	и если	6	6
82	и на	8	6
83	мы можем	10	6
84	несмотря на	5	6
85	тогда как	10	6
86	что с	3	6
87	как на	5	6
88	с ним	7	6
89	и от	5	5
90	его в	3	5
91	но все	4	5
92	в себе	22	5
93	в состоянии	5	5
94	должно быть	9	5
95	к этому	3	5
96	в которой	5	5
97	лишь в	2	5
98	на все	5	5
99	и их	6	5
100	ничем не	2	5
101	между собою	10	5
102	из них	2	5
103	что это	5	5
104	у него	3	5
105	что все	4	5
106	далеко не	4	5
107	но в	12	5
108	столь же	6	5
109	именно в	2	5
110	и без	4	5
111	а потому	14	5
112	и с	3	5
113	другой стороны	7	5
114	первое время	2	5
115	в целом	3	5
116	не будет	2	5
117	в его	7	5
118	как будто	2	5
119	никогда не	7	4
120	и то	4	4
121	самого себя	4	4
122	в такой	2	4
123	не могут	10	4
124	из того	3	4
125	мы должны	4	4
126	для меня	4	4
127	всех этих	2	4
128	хотя бы	4	4
129	то ни	3	4
130	тем не	11	4
131	которых мы	3	4
132	и у	3	4
133	то же	13	4
134	в их	3	4
135	том же	3	4
136	одним из	2	4
137	что его	2	4
138	в течение	2	4
139	и проч	11	4
140	что для	5	4
141	с тем	9	4
142	не так	6	4
143	на вопрос	3	4
144	не есть	13	4
145	в народе	2	4
146	что мы	11	4
147	выше мы	2	4
148	связи с	6	4
149	что как	4	4
150	в таком	7	4
151	он не	4	4
152	если мы	5	4
153	хотя и	6	4
154	каждое поколение	2	3
155	и вообще	5	3
156	вопрос о	5	3
157	тем самым	6	3
158	при помощи	2	3
159	это не	10	3
160	что если	7	3
161	и потому	7	3
162	что по	3	3
163	различия в	3	3
164	от него	8	3
165	в начале	2	3
166	тем более	2	3
167	бы в	6	3
168	но даже	2	3
169	которые не	5	3
170	ни было	4	3
171	от того	9	3
172	только что	4	3
173	очевидно что	5	3
174	с этой	3	3
175	в этих	10	3
176	но тогда	3	3
177	и других	6	3
178	в связи	2	3
179	одного и	6	3
180	у нас	3	3
181	прежде всего	8	3
182	с одной	7	3
183	в разных	2	3
184	образом в	5	3
185	одно из	5	3
186	в жизни	5	3
187	но не	19	3
188	и это	3	3
189	а в	11	3
190	бы то	2	3
191	может служить	2	3
192	в нем	26	3
193	указывают на	3	3
194	в ней	9	3
195	что оно	5	3
196	тогда когда	15	3
197	не то	3	3
198	ко всем	4	3
199	для нас	29	3
200	же не	2	3
201	с в	5	3
202	должны быть	11	3
203	было бы	21	3
204	и по	8	3
205	и может	5	3
206	таким же	3	3
207	ничего общего	3	3
208	в истории	8	3
209	во всем	5	3
210	если же	5	3
211	в нашем	2	3
212	как для	2	3
213	и того	6	3
214	заключается в	3	3
215	уже и	2	3
216	тот же	5	3
217	как мы	3	3
218	мы будем	3	3
219	чем в	2	3
220	образом и	2	2
221	для самого	5	2
222	одна из	4	2
223	все то	2	2
224	с которыми	3	2
225	не от	4	2
226	помнить что	6	2
227	то в	6	2
228	то и	15	2
229	независимо от	15	2
230	только то	3	2
231	но как	4	2
232	между этими	2	2
233	к ним	3	2
234	есть только	16	2
235	вытекают из	3	2
236	не потому	2	2
237	то время	3	2
238	и поэтому	2	2
239	что она	3	2
240	при таком	5	2
241	от которого	2	2
242	то есть	69	2
243	в другом	3	2
244	из нее	2	2
245	свою очередь	8	2
246	но если	4	2
247	на него	6	2
248	для себя	4	2
249	и народов	2	2
250	которые могут	5	2
251	друг друга	6	2
252	должен быть	2	2
253	что до	2	2
254	доказать что	2	2
255	как не	4	2
256	в виду	2	2
257	не было	7	2
258	не без	2	2
259	невозможно и	2	2
260	следовательно и	2	2
261	он должен	2	2
262	по его	7	2
263	как при	2	2
264	при виде	3	2
265	что они	6	2
266	на друга	2	2
267	от себя	2	2
268	такой же	4	2
269	тем как	3	2
270	одной и	4	2
271	над всеми	2	2
272	в один	2	2
273	по степени	2	2
274	никто не	3	2
275	в одно	5	2
276	в глазах	4	2
277	эти последние	3	2
278	друг на	2	2
279	том и	2	2
280	при таких	3	2
281	для него	13	2
282	только тогда	7	2
283	с общим	3	2
284	мы видели	5	2
285	на нее	2	2
286	есть в	4	2
287	от них	2	2
288	ни для	2	2
289	в эту	2	2
290	не имеет	9	2
291	общего с	3	2
292	что у	2	2
293	тому что	4	2
294	к нему	2	2
295	она не	3	2
296	же мало	2	2
297	выше что	2	2
298	на том	2	2
299	они не	5	2
300	в самой	5	2
301	в котором	5	2
302	тех пор	2	2
303	если это	2	2
304	их в	2	2
305	на себе	3	2
306	все его	2	2
307	те же	4	2
308	этого последнего	2	2
309	только при	3	2
310	давно уже	2	2
311	во втором	6	2
312	в своих	4	2
313	в свою	8	2
314	этот вопрос	2	2
315	что на	9	2
316	в которых	2	2
317	одной стороны	6	2
318	но на	3	2
319	между прочим	5	2
320	на этом	3	2
321	более как	3	2
322	между ними	2	2
323	что за	3	2
324	по этому	2	2
325	на такой	2	2
326	в них	7	2
327	только не	2	2
328	представить себе	3	2
329	что же	3	2
330	всяком случае	7	2
331	между людьми	2	2
332	же что	2	2
333	жизни и	3	2
334	с ними	2	2
335	от нее	6	2
336	но вместе	4	2
337	во всяком	9	2
338	и уже	6	2
