N	2gram	Propp_Morf	Literetu
1	а не	11	50
2	и не	16	47
3	не только	8	46
4	и в	17	44
5	может быть	61	43
6	но и	9	41
7	тогда как	2	40
8	в том	10	39
9	в этом	18	38
10	том что	7	32
11	в частности	2	30
12	то что	10	29
13	в качестве	8	27
14	состоит в	3	26
15	то же	10	26
16	как и	4	23
17	в то	4	23
18	не в	3	22
19	так и	10	22
20	того что	3	22
21	себя в	2	22
22	не может	19	22
23	прежде всего	14	19
24	как бы	6	18
25	точки зрения	7	17
26	с другой	9	17
27	в этой	3	16
28	со стороны	5	15
29	не менее	7	15
30	в целом	5	15
31	только в	3	15
32	по отношению	7	14
33	что он	5	14
34	однако в	2	14
35	и даже	2	14
36	как это	7	13
37	с одной	2	13
38	но не	8	13
39	уже не	4	13
40	и его	3	13
41	к себе	2	12
42	в данном	2	12
43	а также	7	12
44	еще не	4	12
45	одним из	2	12
46	отношению к	7	12
47	о том	6	12
48	одной стороны	2	12
49	данном случае	2	11
50	это не	6	11
51	в другом	2	11
52	с его	3	11
53	как в	5	11
54	а в	8	11
55	в основе	2	11
56	этом отношении	2	10
57	что в	10	10
58	из них	4	10
59	потому что	7	10
60	к тому	5	9
61	один из	7	9
62	же в	3	9
63	связи с	12	9
64	в начале	3	9
65	с этой	3	9
66	представляет собой	17	9
67	одна из	5	8
68	все же	9	8
69	по существу	13	8
70	но в	4	8
71	для него	2	8
72	и как	6	8
73	тем что	4	8
74	в своих	2	8
75	с точки	6	8
76	друг друга	3	7
77	и тем	3	7
78	другой стороны	5	7
79	и для	4	7
80	у нас	3	7
81	в одном	2	7
82	тому как	5	7
83	он не	5	7
84	его в	4	6
85	самом деле	4	6
86	и др	12	6
87	а затем	10	6
88	было бы	5	6
89	например в	2	6
90	право на	2	6
91	то в	3	6
92	во всех	6	6
93	далеко не	5	6
94	подобно тому	6	6
95	и только	3	6
96	у него	2	6
97	как будто	2	6
98	тем же	2	6
99	с собой	3	5
100	вслед за	5	5
101	так как	20	5
102	и за	2	5
103	не знает	2	5
104	во втором	7	5
105	между тем	5	5
106	несмотря на	4	5
107	что и	10	5
108	себя и	2	5
109	в сущности	3	5
110	в связи	10	5
111	все еще	3	5
112	самого себя	2	5
113	хотя бы	5	5
114	в россии	2	5
115	мы не	8	5
116	тем не	7	5
117	ни было	2	5
118	не с	2	5
119	в нашем	6	5
120	и к	4	5
121	но с	2	5
122	входит в	4	4
123	для нас	2	4
124	не является	4	4
125	только для	2	4
126	не всегда	10	4
127	с тем	2	4
128	на его	5	4
129	могли бы	2	4
130	ту же	2	4
131	а потому	2	4
132	могут быть	21	4
133	хотя и	5	4
134	как мы	8	4
135	во всяком	2	4
136	бы то	3	4
137	одной из	2	4
138	тех же	4	4
139	то это	5	4
140	но это	6	4
141	к этому	4	4
142	во второй	2	4
143	для того	3	4
144	что его	4	4
145	ни к	2	4
146	в пределах	3	4
147	можно сказать	2	4
148	на то	3	4
149	а по	3	4
150	приводит к	3	4
151	на этом	4	4
152	вовсе не	6	4
153	и что	3	4
154	то ни	3	4
155	таким образом	26	4
156	и есть	3	4
157	на самом	4	3
158	вопрос о	10	3
159	в иных	4	3
160	ничего не	5	3
161	имеется в	3	3
162	так же	4	3
163	но как	3	3
164	как таковое	3	3
165	герой в	2	3
166	в первом	5	3
167	в ходе	5	3
168	этого не	2	3
169	и иных	2	3
170	а во	3	3
171	а на	3	3
172	а с	2	3
173	такую же	2	3
174	как уже	3	3
175	следующим образом	4	3
176	это уже	3	3
177	они не	3	3
178	особое место	2	3
179	что же	2	3
180	там где	5	3
181	того чтобы	4	3
182	все эти	5	3
183	то с	3	3
184	и тогда	3	3
185	не на	2	3
186	во время	6	3
187	должна быть	2	3
188	из его	2	3
189	и т	62	3
190	который в	2	3
191	ее в	3	3
192	если в	7	3
193	как например	2	3
194	можно было	4	3
195	не так	2	3
196	и подобные	2	3
197	если бы	3	3
198	превращается в	2	3
199	также и	6	3
200	героя и	3	3
201	в этих	17	3
202	не по	2	3
203	в какой	3	3
204	не имеет	2	3
205	а то	3	3
206	в чем	2	3
207	что такое	3	3
208	путь к	2	3
209	из которых	5	3
210	в итоге	2	3
211	всяком случае	2	3
212	здесь не	3	3
213	говорить о	4	3
214	после чего	2	3
215	можно указать	3	2
216	первый взгляд	3	2
217	перед нами	14	2
218	а и	3	2
219	бы они	2	2
220	от него	2	2
221	в ход	3	2
222	и у	3	2
223	есть и	4	2
224	роль в	2	2
225	это и	3	2
226	героя в	5	2
227	и при	3	2
228	на вопрос	2	2
229	всех других	2	2
230	в свое	2	2
231	совершается в	2	2
232	из первых	2	2
233	так например	3	2
234	тому что	5	2
235	к нему	3	2
236	она не	2	2
237	но мы	3	2
238	а если	4	2
239	ответ на	2	2
240	от других	2	2
241	то как	2	2
242	сюда же	5	2
243	и по	3	2
244	дело не	2	2
