N	2gram	Losev_Dial	VelikijI
1	и не	50	20
2	и в	34	16
3	свободы и	4	12
4	так как	12	9
5	то что	25	9
6	еще не	7	8
7	в истории	7	8
8	от бога	2	8
9	и потому	6	7
10	что они	2	7
11	а не	39	7
12	не есть	95	6
13	человека и	2	6
14	в мире	2	5
15	как бы	19	5
16	на себя	3	5
17	но и	14	5
18	все это	13	5
19	хотя и	9	5
20	что есть	6	5
21	того что	22	5
22	что все	16	4
23	в силах	2	4
24	и все	17	4
25	как и	14	4
26	в котором	2	4
27	потому что	21	4
28	все что	3	4
29	в нем	7	4
30	в ней	4	4
31	что не	8	4
32	мы хотим	2	4
33	что мы	10	4
34	свою личность	2	4
35	и я	3	4
36	в его	6	4
37	говорить о	13	4
38	в этом	14	4
39	что он	18	4
40	и есть	24	4
41	так и	11	4
42	никогда не	9	3
43	превращается в	6	3
44	в жизни	4	3
45	что в	12	3
46	в том	17	3
47	и для	5	3
48	от этого	5	3
49	не имеет	18	3
50	тому что	5	3
51	но в	3	3
52	к тому	4	3
53	ни в	20	3
54	их в	2	3
55	нет ничего	14	3
56	то это	9	3
57	но это	10	3
58	бы и	2	3
59	должно быть	7	3
60	оно не	7	3
61	хотя бы	9	3
62	в своей	4	3
63	во всех	2	3
64	личности и	15	3
65	к чему	2	3
66	в конце	2	3
67	в них	6	3
68	жизни и	8	3
69	как не	4	3
70	что и	8	3
71	и мы	6	3
72	не было	6	3
73	в вопросе	2	3
74	если не	3	3
75	и что	21	3
76	не в	11	3
77	все эти	4	3
78	в этих	3	3
79	что я	3	3
80	должна быть	11	3
81	и они	3	3
82	в чем	11	3
83	с его	7	3
84	и то	7	2
85	с тем	4	2
86	да и	4	2
87	одна из	4	2
88	но не	3	2
89	нет и	5	2
90	что их	2	2
91	от этих	2	2
92	ее и	2	2
93	и это	12	2
94	это не	13	2
95	ее в	3	2
96	вечности и	3	2
97	не только	35	2
98	не могут	6	2
99	а в	3	2
100	том что	18	2
101	своей истории	2	2
102	мир и	6	2
103	истории и	6	2
104	и во	3	2
105	от него	2	2
106	во всяком	5	2
107	вечность и	2	2
108	и тогда	6	2
109	есть уже	2	2
110	уже не	9	2
111	нем нет	3	2
112	могут быть	5	2
113	я думаю	2	2
114	тогда уже	2	2
115	личности а	3	2
116	т д	38	2
117	ничего и	2	2
118	не будет	5	2
119	тем кто	2	2
120	духа и	2	2
121	тем что	5	2
122	вот почему	3	2
123	мы не	11	2
124	вопросе о	2	2
125	конечно не	6	2
126	что было	2	2
127	только в	10	2
128	верит в	2	2
129	раз навсегда	2	2
130	все равно	5	2
131	чудо то	2	2
132	для нас	2	2
133	в себя	4	2
134	людей и	2	2
135	прежде всего	20	2
136	и т	41	2
137	с ним	3	2
138	его не	3	2
139	всего в	2	2
140	мы и	4	2
141	личность как	5	2
142	для него	4	2
143	я говорю	2	2
