N	3gram	Tiupa_Disk	FransuaR
1	в то же	7	55
2	то же время	9	55
3	в том числе	3	27
4	в том что	18	27
5	в большинстве случаев	2	22
6	в этом отношении	4	20
7	с точки зрения	3	20
8	о том что	8	17
9	том числе и	3	17
10	большей или меньшей	2	16
11	то есть в	2	15
12	и прежде всего	2	14
13	не может быть	5	13
14	дело в том	3	13
15	с одной стороны	12	13
16	с другой стороны	4	12
17	и в то	2	12
18	можно сказать что	3	11
19	в отличие от	12	11
20	той или иной	6	10
21	в данном случае	6	10
22	как и в	3	10
23	не только в	2	10
24	в значительной степени	3	10
25	по отношению к	13	9
26	так и в	4	9
27	в свое время	3	9
28	до известной степени	2	9
29	существенную роль в	4	9
30	более или менее	2	8
31	прежде всего в	2	7
32	подобно тому как	4	7
33	это прежде всего	3	6
34	с самого начала	2	6
35	к тому же	4	6
36	и в особенности	2	6
37	и т.п но	4	6
38	в свою очередь	3	6
39	во всяком случае	2	5
40	то же самое	2	5
41	в основе своей	4	5
42	в одной из	2	5
43	одной стороны и	3	5
44	только то что	2	5
45	и не может	3	4
46	том что в	3	4
47	и то что	2	4
48	потому что в	2	3
49	содержит в себе	3	3
50	хотя и в	2	3
51	и как бы	5	3
52	одного и того	4	3
53	и того же	4	3
54	а с другой	4	3
55	по своей природе	3	2
56	каждый из них	2	2
57	дело не с	2	2
58	и не только	2	2
59	в этом случае	3	2
60	в конечном счете	2	2
61	но при этом	3	2
62	можно определить как	2	2
63	же время и	2	2
64	и может быть	3	2
65	в том чтобы	2	2
