N	3gram	Potebnia_M	Formalny
1	с точки зрения	3	40
2	не может быть	11	29
3	на самом деле	2	21
4	то же время	3	20
5	в то же	3	20
6	и т д	6	19
7	и т п	4	18
8	во всяком случае	7	16
9	в связи с	2	16
10	по отношению к	13	12
11	так и в	5	11
12	бы то ни	2	10
13	с другой стороны	7	9
14	для того чтобы	4	8
15	до сих пор	5	8
16	с одной стороны	6	8
17	в применении к	3	7
18	более или менее	6	7
19	сами по себе	8	7
20	в свою очередь	8	7
21	и в этом	7	7
22	сам по себе	5	6
23	языка и его	5	6
24	смысле этого слова	3	6
25	не только не	2	6
26	с тем что	4	6
27	в том что	18	6
28	мы не можем	2	5
29	между звуком и	2	5
30	в этом смысле	4	5
31	одной стороны и	2	5
32	как бы ни	4	5
33	к тому что	2	5
34	все более и	2	4
35	с самого начала	5	4
36	тем не менее	10	4
37	не могут быть	5	4
38	подобно тому как	7	4
39	не в том	6	4
40	но и в	4	4
41	более и более	2	4
42	сама по себе	4	4
43	но все же	2	4
44	то и другое	6	3
45	и то и	2	3
46	из виду что	2	3
47	в противном случае	3	3
48	при этом не	2	3
49	мы увидим что	3	3
50	в том смысле	7	3
51	все то что	2	2
52	от того что	5	2
53	это не так	2	2
54	из того что	2	2
55	может быть только	2	2
56	как и в	3	2
57	именно того что	2	2
58	с этой точки	2	2
59	не могло бы	2	2
60	в таком случае	4	2
61	на этот вопрос	2	2
62	друг от друга	3	2
63	не только в	3	2
64	и тем самым	2	2
65	мы видели что	2	2
66	в собственном смысле	2	2
67	том смысле что	2	2
68	при известных условиях	2	2
69	что и в	4	2
70	и в том	3	2
71	дело в том	3	2
