N	3gram	Propp_Russ	Morfolog
1	и т д	12	60
2	в этом случае	9	10
3	в связи с	4	9
4	с точки зрения	3	6
5	тем не менее	3	6
6	мы увидим ниже	2	6
7	подобно тому как	3	5
8	как мы увидим	5	5
9	но все же	2	4
10	в том что	27	4
11	к тому что	4	4
12	о том что	6	3
13	в настоящее время	3	3
14	состоит в том	16	3
15	в то время	3	3
16	для того чтобы	6	3
17	в большинстве случаев	2	3
18	не значит что	2	3
19	на то что	2	3
20	это не значит	2	2
21	в тех случаях	2	2
22	и в других	7	2
23	не что иное	3	2
24	в данном случае	7	2
25	что иное как	3	2
26	для наших целей	2	2
27	с этого момента	2	2
28	мы не будем	4	2
29	друг к другу	2	2
30	можно сделать из	2	2
31	тех случаях когда	2	2
32	есть и другие	2	2
33	может быть и	3	2
34	можно было бы	2	2
