N	2gram	Voloshinov	RusskieA
1	и в	28	79
2	в том	10	64
3	том что	12	59
4	что в	7	57
5	не только	10	41
6	во время	6	38
7	так как	15	34
8	в этом	28	33
9	и другие	2	33
10	как бы	19	31
11	но и	10	31
12	как и	13	28
13	может быть	28	28
14	и на	9	28
15	в этот	4	26
16	одна из	4	24
17	о том	3	23
18	при этом	8	22
19	в поле	2	22
20	это не	5	20
21	как мы	18	20
22	а в	8	20
23	из них	7	19
24	все это	12	18
25	потому что	4	17
26	то что	17	17
27	об этом	7	17
28	таким образом	34	17
29	вместе с	5	17
30	мы не	9	16
31	один из	10	15
32	будто бы	2	15
33	у нас	3	14
34	мы видели	12	14
35	для нас	2	14
36	не менее	6	14
37	в них	3	14
38	как это	5	14
39	тем не	4	14
40	и не	34	14
41	и с	10	14
42	и что	6	14
43	и по	5	13
44	к этому	9	13
45	не может	30	13
46	еще не	8	13
47	как в	4	13
48	уже не	9	13
49	в некоторых	2	13
50	между собой	4	12
51	мы имеем	6	12
52	а на	2	11
53	но это	4	11
54	мы увидим	4	11
55	не имеет	2	11
56	далеко не	5	11
57	его в	11	10
58	так и	14	10
59	между тем	3	10
60	все же	8	10
61	что и	5	10
62	а также	2	10
63	в течение	2	10
64	представляет собой	2	10
65	данном случае	4	9
66	но в	13	9
67	и все	13	9
68	то же	12	9
69	в г	3	9
70	но не	7	9
71	так же	4	8
72	того что	7	8
73	одно из	6	8
74	в данном	4	8
75	на себя	3	8
76	того чтобы	5	8
77	их в	3	8
78	что это	5	8
79	во всех	13	8
80	ее в	5	8
81	для того	6	8
82	в этих	5	8
83	в своем	4	7
84	мы должны	9	7
85	ничего не	5	7
86	не в	10	7
87	главным образом	4	7
88	а с	2	7
89	к нему	9	7
90	на них	2	7
91	было бы	8	7
92	до конца	7	7
93	для этого	6	7
94	из этих	6	7
95	и как	3	7
96	не можем	6	7
97	не совсем	3	7
98	только в	11	7
99	связанные с	4	7
100	а не	9	7
101	в этой	7	6
102	не будем	3	6
103	и их	2	6
104	и у	7	6
105	друг друга	2	6
106	на этом	8	6
107	в их	2	6
108	не всегда	4	6
109	только на	4	6
110	тому что	5	6
111	она не	6	6
112	к тому	6	6
113	в нем	7	6
114	же как	2	6
115	с ними	5	6
116	все эти	15	6
117	связаны с	2	6
118	в качестве	2	6
119	в одном	3	6
120	что она	5	6
121	и о	6	6
122	в первый	4	6
123	также в	2	6
124	и пр	29	6
125	видели что	3	6
126	приводит к	3	6
127	в таком	6	6
128	на самом	6	5
129	вопрос о	2	5
130	и потому	12	5
131	к себе	3	5
132	но если	2	5
133	или же	2	5
134	нас к	2	5
135	тогда когда	2	5
136	что он	12	5
137	прежде всего	26	5
138	и др	9	5
139	в свою	6	5
140	с этим	8	5
141	заметить что	2	5
142	в то	7	5
143	в целом	4	5
144	для них	3	5
145	там где	2	5
146	не было	5	5
147	тот же	10	5
148	в его	25	5
149	по поводу	5	5
150	его с	2	5
