N	2gram	Vygotskiy_	Formalny
1	и в	47	95
2	и не	27	78
3	может быть	20	66
4	в этом	47	61
5	не может	23	57
6	вовсе не	3	53
7	таким образом	38	52
8	и его	14	51
9	так и	8	50
10	точки зрения	39	47
11	в нем	6	42
12	в его	7	42
13	прежде всего	9	41
14	с точки	31	40
15	как и	19	39
16	не в	7	35
17	в самом	15	35
18	в процессе	12	34
19	а не	7	34
20	но и	19	33
21	то же	16	32
22	самом деле	6	32
23	не только	36	30
24	в пределах	3	28
25	в том	38	26
26	отнюдь не	2	26
27	если бы	8	26
28	то что	40	25
29	на самом	3	24
30	при этом	4	24
31	в своей	4	24
32	лишь в	3	24
33	в ней	5	23
34	связи с	4	23
35	было бы	12	23
36	с помощью	18	23
37	в то	10	22
38	и ее	3	22
39	как бы	13	21
40	что в	23	21
41	и с	5	21
42	в их	4	20
43	не менее	6	20
44	между ними	8	20
45	и от	6	20
46	с тем	8	20
47	входит в	3	20
48	как мы	24	20
49	не могут	9	19
50	все это	5	19
51	по себе	5	19
52	все же	7	18
53	и все	5	18
54	все эти	7	18
55	и их	7	18
56	только в	24	18
57	более того	2	17
58	как в	7	17
59	как раз	6	17
60	так же	26	16
61	во всяком	2	16
62	совершенно не	2	16
63	с другой	7	16
64	потому что	26	16
65	его в	7	15
66	все время	3	15
67	но в	9	15
68	бы в	7	15
69	с другими	5	15
70	так как	25	15
71	должно быть	3	15
72	во всех	9	15
73	именно в	9	15
74	и на	4	15
75	что он	13	14
76	только на	5	14
77	в целом	7	14
78	языка и	6	14
79	в ее	7	14
80	в своем	3	14
81	еще не	5	14
82	в этой	7	14
83	если мы	6	14
84	и потому	3	14
85	вместе с	19	14
86	до конца	8	13
87	того что	27	13
88	а в	3	13
89	что же	3	13
90	могут быть	7	13
91	что и	4	13
92	в результате	3	13
93	она не	7	13
94	тем что	14	13
95	ни в	3	13
96	в действительности	3	12
97	по отношению	10	12
98	как это	7	12
99	того чтобы	26	12
100	там где	7	12
101	и здесь	5	12
102	к тому	13	12
103	отношению к	9	12
104	и для	5	12
105	оно не	3	12
106	никогда не	7	11
107	этом отношении	7	11
108	это и	7	11
109	они не	2	11
110	в основе	5	11
111	в большинстве	2	11
112	но не	13	11
113	слова и	10	11
114	что они	11	11
115	для него	6	11
116	зависимости от	6	11
117	между тем	2	11
118	не есть	4	10
119	друг друга	9	10
120	в зависимости	6	10
121	мы не	10	10
122	по существу	2	10
123	мы видели	10	10
124	другой стороны	3	10
125	с ее	2	10
126	не является	4	10
127	в первом	6	10
128	и как	7	10
129	в своих	2	10
130	большинстве случаев	2	10
131	конечно не	2	10
132	он не	5	10
133	на фоне	3	10
134	если же	2	10
135	в слове	11	10
136	тем же	8	10
137	одним словом	2	9
138	ничего не	2	9
139	совсем не	2	9
140	но это	4	9
141	и до	3	9
142	и может	2	9
143	в каждом	3	9
144	менее всего	3	9
145	и даже	3	9
146	у нас	3	9
147	не могло	3	9
148	в свою	3	9
149	языка в	2	9
150	мы знаем	5	9
151	отношения к	5	9
152	это не	6	8
153	в других	2	8
154	была бы	3	8
155	между собой	15	8
156	до сих	6	8
157	одной стороны	7	8
158	в них	3	8
159	с одной	7	8
160	в области	5	8
161	же как	14	8
162	для этого	4	8
163	что это	7	8
164	с этим	5	8
165	в данном	7	8
166	сих пор	6	8
167	как такового	2	8
168	из этого	4	8
169	и является	5	8
170	мы ни	2	8
171	и к	11	8
172	для того	24	8
173	и речи	19	8
174	на основе	5	8
175	ясно что	4	8
176	и понимания	2	7
177	том что	28	7
178	в себе	14	7
179	в одной	6	7
180	как таковое	2	7
181	в понимании	2	7
182	свою очередь	3	7
183	как к	4	7
184	его от	2	7
185	совершается в	5	7
186	стороны и	6	7
187	во втором	5	7
188	в сущности	16	7
189	значение и	2	7
190	известной степени	2	7
191	форм и	5	7
192	сказать что	18	7
193	к этому	2	7
194	время в	3	7
195	можно говорить	2	7
196	и наконец	4	7
197	и только	7	7
198	в какой	6	7
199	и более	2	7
200	но все	2	7
201	столь же	2	7
202	только и	5	7
203	за счет	4	7
204	из них	2	7
205	в той	7	7
206	в высшей	3	7
207	от этого	3	7
208	данном случае	5	6
209	тем самым	14	6
210	в которой	16	6
211	в направлении	6	6
212	в конце	5	6
213	отношение к	8	6
214	на этом	4	6
215	и тем	10	6
216	и других	5	6
217	у них	2	6
218	в частности	4	6
219	его и	2	6
220	и это	2	6
221	тому что	14	6
222	в этих	2	6
223	не из	2	6
224	к действительности	2	6
225	на ее	2	6
226	один из	3	6
227	смысле этого	4	6
228	этого слова	5	6
229	должны быть	5	6
230	ее в	11	6
231	к его	3	6
232	его с	3	6
233	из этих	6	6
234	они и	2	6
235	при таком	2	6
236	за пределы	2	6
237	действительности в	3	6
238	отличается от	6	6
239	от его	2	6
240	но для	2	6
241	такой же	4	6
242	не по	7	6
243	от нее	3	6
244	в живом	3	6
245	нет и	4	6
246	например в	5	6
247	о том	5	6
248	их в	2	6
249	в смысле	9	6
250	же правом	2	6
251	уже в	3	6
252	только не	14	6
253	как она	6	6
254	сам по	2	6
255	с ним	5	6
256	той же	13	6
257	учение о	3	6
258	даже в	2	5
259	она должна	2	5
260	между которыми	2	5
261	должен был	2	5
262	мы должны	7	5
263	случае в	4	5
264	функции в	2	5
265	все более	2	5
266	не можем	4	5
267	до известной	2	5
268	должно было	2	5
269	что оно	9	5
270	от того	6	5
271	к которому	3	5
272	в виду	5	5
273	связь между	10	5
274	в основном	4	5
275	мы уже	5	5
276	может стать	2	5
277	может и	3	5
278	показать что	8	5
279	отличие от	4	5
280	всего в	2	5
281	одной из	4	5
282	с необходимостью	2	5
283	а только	2	5
284	одного из	2	5
285	она есть	2	5
286	в отличие	4	5
287	не могла	2	5
288	в такой	6	5
289	что не	2	5
290	в значительной	3	5
291	и по	6	5
292	обстоит дело	2	5
293	можно сказать	9	5
294	слов и	6	5
295	хотя и	4	5
296	и то	10	5
297	если в	6	5
298	к предмету	6	5
299	то в	4	5
300	то и	5	5
301	мы можем	7	5
302	значение в	3	5
303	как они	2	5
304	восприятия и	3	5
305	с этой	5	5
306	для нас	4	5
307	к нему	5	5
308	не имеет	6	5
309	в самой	3	5
310	учения о	4	5
311	в котором	6	5
312	слова в	7	5
313	в отношении	9	5
314	приводит к	10	5
315	этом смысле	2	5
316	еще в	3	5
317	тому как	2	5
318	и что	14	5
319	таким же	3	5
320	как на	8	5
321	друг другу	5	5
322	направлении к	3	5
323	в нашем	6	5
324	однако не	2	5
325	вопрос о	9	5
326	и притом	4	4
327	очевидно что	6	4
328	и следовательно	8	4
329	для всего	2	4
330	к другим	11	4
331	но даже	2	4
332	должны были	2	4
333	наконец в	3	4
334	является в	7	4
335	одним из	3	4
336	но именно	3	4
337	тогда когда	12	4
338	в работах	2	4
339	на котором	4	4
340	себе в	5	4
341	в учении	6	4
342	идет о	3	4
343	лучшем случае	3	4
344	между двумя	5	4
345	к этой	2	4
346	того же	7	4
347	и непосредственно	3	4
348	понятий и	11	4
349	здесь в	2	4
350	или в	2	4
351	самого начала	13	4
352	нужно было	4	4
353	этой последней	2	4
354	и во	5	4
355	языка у	2	4
356	и тогда	3	4
357	во всей	3	4
358	с самого	13	4
359	своего развития	4	4
360	имеет место	4	4
361	одна из	2	4
362	только как	2	4
363	одной плоскости	2	4
364	для данного	3	4
365	к ней	2	4
366	это единство	2	4
367	тем не	4	4
368	едва ли	5	4
369	целый ряд	6	4
370	та же	2	4
371	в таком	2	4
372	исходить из	2	4
373	и о	4	4
374	от одного	3	4
375	это положение	4	4
376	отношении к	4	4
377	но если	5	4
378	в ином	3	4
379	подобно тому	2	4
380	что для	3	4
381	каждой из	5	4
382	слова как	5	4
383	по принципу	3	4
384	что такое	2	4
385	зависит от	3	4
386	знаем что	3	4
387	этот вопрос	2	4
388	значения и	3	4
389	мы говорим	2	4
390	специфические особенности	2	4
391	в лучшем	3	4
392	совпадает с	5	4
393	к самому	2	4
394	эта связь	2	4
395	не для	2	4
396	к другому	5	4
397	между этими	3	4
398	что было	2	4
399	является не	4	4
400	но эта	2	4
401	вместо того	2	4
402	мы и	5	4
403	перед нами	3	3
404	в плане	3	3
405	или иной	2	3
406	для всех	2	3
407	а и	2	3
408	том как	2	3
409	для нее	3	3
410	в каком	2	3
411	одну из	2	3
412	что уже	2	3
413	есть только	3	3
414	в понятии	5	3
415	остановиться на	4	3
416	внутренней речи	78	3
417	этого направления	3	3
418	из ее	3	3
419	этой работы	3	3
420	и при	2	3
421	в современной	2	3
422	так что	8	3
423	связано с	4	3
424	что является	2	3
425	том смысле	2	3
426	в развитии	27	3
427	со всеми	2	3
428	вопроса о	2	3
429	но как	3	3
430	и иной	2	3
431	нам в	2	3
432	речи и	36	3
433	с другом	6	3
434	в чисто	2	3
435	состоит в	3	3
436	точка зрения	2	3
437	что на	5	3
438	из одного	2	3
439	возможно только	4	3
440	этого термина	2	3
441	на его	3	3
442	нуждается в	5	3
443	и заключается	3	3
444	перехода от	10	3
445	мы видим	10	3
446	числе и	2	3
447	в качестве	9	3
448	исторического развития	3	3
449	нашей работы	3	3
450	никак не	5	3
451	слово и	10	3
452	приспособляться к	2	3
453	в сознании	11	3
454	и самые	2	3
455	этим самым	2	3
456	это было	2	3
457	друг с	6	3
458	дело с	3	3
459	во второй	5	3
460	во всем	4	3
461	том числе	2	3
462	что как	2	3
463	исследования и	6	3
464	находятся в	2	3
465	и другое	4	3
466	все те	2	3
467	язык в	2	3
468	в чем	5	3
469	и из	2	3
470	в пределе	3	3
471	связи и	3	3
472	не с	3	3
473	она является	2	3
474	действительности но	2	3
475	вообще не	6	3
476	поэтому в	2	3
477	на то	5	3
478	предмета и	3	3
479	и значением	6	3
480	когда он	2	3
481	перейти к	6	3
482	зрения самого	2	3
483	значения в	2	3
484	и функции	2	3
485	в которых	3	3
486	значение для	2	3
487	с таким	3	3
488	в одном	4	3
489	но что	2	3
490	и обратно	6	3
491	внимание на	4	3
492	в системе	3	3
493	ту же	4	3
494	с их	2	3
495	что эта	7	3
496	и особенно	2	3
497	же самое	12	3
498	тем и	2	3
499	что при	4	3
500	но он	3	3
501	иначе как	10	2
502	возникает вопрос	2	2
503	вывод что	2	2
504	смысле что	3	2
505	в каждой	4	2
506	мы приходим	2	2
507	из того	7	2
508	в определенном	2	2
509	той мере	2	2
510	движения в	3	2
511	сделать вывод	2	2
512	о чем	8	2
513	проблем в	2	2
514	по тем	3	2
515	мысли в	12	2
516	связанных с	2	2
517	в другом	3	2
518	поэтому мы	5	2
519	не совпадают	7	2
520	к более	3	2
521	грамматических форм	2	2
522	есть не	3	2
523	ведь это	2	2
524	в школе	5	2
525	не могли	5	2
526	были бы	5	2
527	они будут	2	2
528	что если	2	2
529	в виде	2	2
530	ко всем	6	2
531	друг от	3	2
532	из одних	2	2
533	связаны между	4	2
534	тенденция к	6	2
535	одной и	5	2
536	не знает	3	2
537	этого понятия	3	2
538	от всякой	2	2
539	а с	3	2
540	на фактах	3	2
541	в м	2	2
542	до крайности	3	2
543	происходит в	2	2
544	только потому	3	2
545	особенности в	2	2
546	на первом	2	2
547	только с	2	2
548	но так	2	2
549	мере в	2	2
550	это противоречие	2	2
551	всем этим	3	2
552	полагает что	2	2
553	структуры в	3	2
554	ее как	2	2
555	развития как	2	2
556	представляется нам	3	2
557	только к	4	2
558	что этот	6	2
559	и без	2	2
560	мы имеем	3	2
561	всю свою	2	2
562	этой точки	4	2
563	речи именно	5	2
564	не совпадает	5	2
565	естественно что	3	2
566	по этому	4	2
567	языка но	2	2
568	от изучения	2	2
569	его значением	2	2
570	мы в	3	2
571	в силу	21	2
572	с теми	2	2
573	находится в	3	2
574	к другой	6	2
575	в структуру	6	2
576	заключается в	14	2
577	никто не	2	2
578	в двух	2	2
579	на этих	2	2
580	этом случае	15	2
581	как для	2	2
582	значения слова	10	2
583	привести к	4	2
584	в первой	3	2
585	в структуре	2	2
586	предполагает уже	2	2
587	представление о	8	2
588	отношения между	8	2
589	от социальной	6	2
590	мышления и	16	2
591	из важнейших	4	2
592	совершенно очевидно	3	2
593	конкретных проблем	2	2
594	одно и	3	2
595	языке и	2	2
596	к изучению	4	2
597	и столь	3	2
598	необходимо чтобы	2	2
599	это в	2	2
600	в собственном	4	2
601	можно было	7	2
602	в последнее	4	2
603	что она	8	2
604	самого слова	3	2
605	но совершенно	2	2
606	но напротив	3	2
607	чтобы сделать	2	2
608	речи но	12	2
609	в этот	3	2
610	внутренняя речь	17	2
611	той или	2	2
612	переход от	5	2
613	и развития	3	2
614	может существовать	2	2
615	прежде чем	3	2
616	и самое	2	2
617	языка на	2	2
618	между отдельными	4	2
619	в речи	6	2
620	с другим	3	2
