N	3gram	Bakhtin_Pr	Vladivir
1	в том что	3	29
2	тем не менее	3	18
3	в то же	3	10
4	с точки зрения	6	10
5	не может быть	11	10
6	то же время	3	9
7	в этом смысле	3	9
8	на первый план	2	7
9	в данном случае	4	6
10	в отличие от	5	6
11	с другой стороны	4	6
12	бы то ни	3	5
13	и в то	2	5
14	не только в	2	5
15	можно сказать что	2	4
16	в этом отношении	2	4
17	в том же	2	4
18	можно было бы	3	4
19	с одной стороны	3	4
20	для того чтобы	2	4
21	в самом деле	3	3
22	и в частности	2	3
23	и прежде всего	5	2
24	так и в	2	2
25	к нему и	2	2
26	и с его	2	2
27	как мы увидим	3	2
28	ни в чем	2	2
29	то ни было	2	2
30	можно говорить и	2	2
