N	2gram	Tiupa_Lite	OGranits
1	и в	26	13
2	и его	7	12
3	прежде всего	14	9
4	и не	19	8
5	не может	10	8
6	может быть	24	8
7	в его	9	7
8	точки зрения	8	7
9	эстетический объект	3	7
10	и т.п	14	7
11	не только	29	6
12	как бы	8	6
13	таким образом	4	6
14	только в	8	6
15	то что	14	6
16	в поэзии	4	5
17	и т.д	8	5
18	эстетического объекта	7	5
19	все же	6	5
20	с точки	4	5
21	и наконец	2	5
22	хотя бы	3	5
23	еще и	3	4
24	но в	5	4
25	лишь в	4	4
26	то же	13	4
27	в сознании	3	4
28	тех пор	2	4
29	не является	3	4
30	произведения как	2	4
31	в своей	5	4
32	было бы	4	4
33	мы не	5	4
34	в каждом	2	4
35	до тех	2	4
36	на фоне	5	4
37	никогда не	5	3
38	да и	3	3
39	общего с	3	3
40	и то	3	3
41	со всей	2	3
42	превращается в	2	3
43	отношению к	4	3
44	как и	13	3
45	в пределах	4	3
46	не в	11	3
47	в их	3	3
48	ничего общего	2	3
49	так как	2	3
50	в себе	8	3
51	что в	7	3
52	по отношению	6	3
53	самом деле	2	3
54	за пределы	3	3
55	пор пока	2	3
56	так и	7	3
57	не как	4	3
58	в одном	2	3
59	в искусстве	4	3
60	но и	25	3
61	не столько	8	3
62	в самом	4	2
63	могут быть	4	2
64	своего рода	22	2
65	в этом	19	2
66	для себя	6	2
67	данном случае	6	2
68	в руках	2	2
69	уже в	7	2
70	в том	22	2
71	тем что	6	2
72	в отношении	2	2
73	есть не	2	2
74	несмотря на	3	2
75	в целом	10	2
76	замкнутого круга	2	2
77	с одной	9	2
78	не имеет	2	2
79	всей своей	2	2
80	роль в	2	2
81	и др	4	2
82	в действительности	2	2
83	с другой	11	2
84	слова и	6	2
85	от всех	2	2
86	а в	5	2
87	и тем	4	2
88	том что	19	2
89	а как	2	2
90	а также	5	2
91	в связи	4	2
92	в данном	7	2
93	объект и	2	2
94	не менее	11	2
95	все эти	2	2
96	художественное произведение	2	2
97	в области	5	2
98	от своего	3	2
99	героя и	2	2
100	нуждается в	3	2
101	с этой	6	2
102	в своих	5	2
103	в нем	4	2
104	не на	2	2
105	при этом	23	2
106	нет ничего	2	2
107	а не	28	2
108	в ней	4	2
109	литературного произведения	4	2
110	еще в	7	2
111	как в	5	2
112	другой стороны	5	2
113	и является	2	2
114	одной стороны	8	2
115	между тем	2	2
116	в чем	2	2
117	соответствии с	3	2
118	в другом	3	2
119	вовсе не	3	2
120	к тому	3	2
121	не мог	3	2
122	наконец в	2	2
123	для него	6	2
