N	2gram	Nazirov_Tr	StatiiOP
1	и в	18	103
2	в том	2	89
3	том что	4	77
4	в этом	9	76
5	что в	4	74
6	не только	8	60
7	о том	2	47
8	но и	4	46
9	то что	4	44
10	что он	6	42
11	в его	3	42
12	и не	7	41
13	может быть	7	38
14	в этой	4	31
15	все это	4	29
16	тем что	2	29
17	но в	6	26
18	что это	5	25
19	так и	5	25
20	и его	6	24
21	все же	5	23
22	не в	2	23
23	так что	2	23
24	потому что	2	23
25	прежде всего	4	22
26	как в	3	22
27	это не	5	20
28	в то	5	19
29	об этом	4	18
30	не может	5	18
31	он не	2	18
32	в году	9	17
33	в данном	2	17
34	в самом	2	17
35	как бы	7	17
36	с тем	2	15
37	как и	5	15
38	для него	3	15
39	по поводу	2	15
40	я не	4	15
41	и на	7	15
42	у него	6	15
43	к тому	2	14
44	то же	5	14
45	но все	2	14
46	и что	4	14
47	в своем	3	13
48	в конце	3	13
49	но это	4	13
50	в нем	4	13
51	ни в	2	12
52	никогда не	2	11
53	вопрос о	2	11
54	и с	7	11
55	своего рода	3	11
56	все эти	3	11
57	так же	4	10
58	по словам	2	10
59	а как	2	10
60	в частности	2	10
61	ничего не	2	10
62	в целом	4	10
63	что и	2	10
64	же время	6	10
65	несмотря на	5	9
66	он был	2	9
67	вряд ли	2	9
68	в одном	2	9
69	говорит что	2	9
70	говорит о	2	9
71	и это	2	9
72	до конца	2	8
73	отношение к	2	8
74	по мнению	2	8
75	что она	2	8
76	и даже	4	8
77	не имеет	2	8
78	данном случае	2	7
79	о чем	3	7
80	это очень	5	7
81	уже в	3	7
82	в это	2	7
83	в виде	2	7
84	что все	2	7
85	что этот	2	7
86	как это	3	7
87	в ее	2	7
88	и то	2	7
89	еще не	4	7
90	не просто	2	7
91	не мог	2	7
92	в себе	4	6
93	одном из	2	6
94	к нему	3	6
95	и все	4	6
96	и я	2	6
97	с его	2	6
98	что с	3	6
99	и здесь	2	6
100	что я	4	6
101	и сам	3	6
102	что за	3	6
103	и за	2	6
104	его в	2	5
105	не был	2	5
106	не так	2	5
107	если б	2	5
108	один из	3	5
109	при этом	3	5
110	никто не	3	5
111	что эти	2	5
112	как говорит	2	5
113	как будто	3	5
114	но они	2	5
115	столь же	2	5
116	уже не	2	5
117	это был	2	5
118	не могут	2	4
119	одна из	2	4
120	то есть	3	4
121	как у	2	4
122	еще в	2	4
123	в романе	10	4
124	в образе	6	4
125	в первом	2	4
126	который в	2	4
127	нет в	2	4
128	и он	3	4
129	бы и	2	4
130	чем он	2	4
131	в таком	2	4
132	перед нами	2	3
133	что вы	3	3
134	это уже	2	3
135	и как	3	3
136	писателя и	2	3
137	о жизни	2	3
138	но эта	2	3
139	и ее	2	3
140	то и	2	3
141	и до	2	3
142	в рассказе	2	3
143	он и	2	3
144	в русском	2	3
145	тем самым	3	2
146	а что	2	2
147	очень важно	2	2
148	состоит из	2	2
149	на всем	2	2
150	отличие от	2	2
151	времени в	2	2
152	на меня	2	2
153	права на	2	2
154	жизнь и	3	2
155	точно так	2	2
156	было в	2	2
157	жизнью и	2	2
158	из самых	2	2
159	тут же	2	2
160	только к	2	2
161	из своих	2	2
162	с ее	3	2
163	с г	2	2
164	этот образ	4	2
165	в известной	2	2
166	в отличие	2	2
167	в глазах	2	2
168	не за	2	2
169	не случайно	2	2
170	в письмах	2	2
171	сей день	2	2
172	мог бы	3	2
173	для искусства	2	2
174	в поле	3	2
175	только о	2	2
