N	3gram	Trubetskoy	Russkaja
1	друг с другом	9	14
2	то же время	2	10
3	в то же	2	10
4	с точки зрения	8	9
5	в том что	16	7
6	для того чтобы	7	6
7	во всяком случае	2	6
8	на самом деле	7	6
9	до сих пор	15	5
10	а между тем	8	5
11	бы то ни	3	4
12	на то что	7	4
13	в том случае	4	4
14	возможно лишь при	3	4
15	более или менее	8	4
16	не может быть	4	4
17	вместе с тем	3	3
18	в этом случае	4	3
19	в конце концов	4	3
20	том случае если	4	3
21	в данном случае	3	3
22	при таких условиях	2	3
23	и то что	3	3
24	не может не	3	3
25	таким же образом	2	2
26	а следовательно и	2	2
27	лишь в том	5	2
28	и в том	2	2
29	в том и	2	2
30	лишь при условии	2	2
31	о том что	4	2
32	в настоящее время	3	2
33	тот факт что	4	2
34	о том чтобы	2	2
35	котором идет речь	5	2
36	друг от друга	6	2
37	о котором идет	5	2
