N	2gram	Vinokur_Ku	Mirosoze
1	и в	44	97
2	у достоевского	2	94
3	может быть	25	64
4	не только	29	63
5	в этом	31	55
6	но и	13	54
7	он не	4	53
8	а не	17	53
9	в нем	7	49
10	не может	13	49
11	у него	3	47
12	и не	23	39
13	никогда не	2	38
14	потому что	40	37
15	в ней	6	37
16	не было	6	36
17	не в	18	34
18	и есть	3	33
19	для него	2	31
20	есть лишь	3	30
21	не есть	4	30
22	но он	2	30
23	прежде всего	14	29
24	как и	3	29
25	но в	11	27
26	и он	4	27
27	и это	3	25
28	в своей	4	25
29	и все	4	24
30	переходит в	2	24
31	у нас	19	24
32	в своем	4	23
33	что в	25	23
34	что он	7	22
35	достоевского и	2	21
36	в самом	20	21
37	в себе	4	20
38	отношение к	2	20
39	до конца	3	19
40	как бы	11	19
41	в его	16	18
42	и потому	6	17
43	того что	11	17
44	любви к	2	17
45	в том	47	16
46	том что	30	16
47	то что	14	16
48	было бы	28	16
49	и его	8	16
50	не был	2	15
51	в этой	8	15
52	не знает	4	15
53	в котором	4	15
54	в конце	5	14
55	так как	16	14
56	в русском	14	13
57	и вот	4	13
58	и на	8	13
59	это не	13	12
60	и у	3	12
61	смысле слова	3	12
62	в них	10	12
63	все это	10	12
64	но не	11	12
65	с тем	5	11
66	и там	2	11
67	любовь к	2	11
68	но это	4	11
69	хотя бы	19	11
70	в которой	7	11
71	только в	15	11
72	был бы	4	11
73	как в	6	11
74	и для	3	11
75	уже не	13	11
76	не могут	5	10
77	так же	8	10
78	есть не	2	10
79	это и	6	10
80	один из	8	10
81	должна быть	6	10
82	то же	12	10
83	не имеет	6	10
84	в самой	6	10
85	бы и	6	9
86	xix века	5	9
87	а в	7	9
88	к тому	8	9
89	что и	5	9
90	я не	5	9
91	должно быть	6	9
92	в свою	4	9
93	с ним	5	9
94	лишь в	6	9
95	не мог	2	9
96	вместе с	8	9
97	вопрос о	11	8
98	ничего не	6	8
99	в этих	5	8
100	не так	2	8
101	они не	4	8
102	жизнь в	2	8
103	что не	10	8
104	того чтобы	25	8
105	в отношении	2	8
106	т е	54	8
107	только и	3	8
108	нет в	2	8
109	с его	4	8
110	тем что	9	8
111	для того	23	8
112	о том	10	8
113	и с	11	8
114	уже в	5	8
115	она есть	2	7
116	в духе	3	7
117	но если	2	7
118	должен быть	8	7
119	что все	6	7
120	точки зрения	25	7
121	революции и	2	7
122	что она	5	7
123	на этом	4	7
124	также и	7	7
125	в нашем	8	7
126	отношения к	2	7
127	чем в	3	7
128	не как	2	6
129	на все	3	6
130	всего в	2	6
131	увидим что	2	6
132	в ее	2	6
133	это есть	2	6
134	того как	6	6
135	и от	2	6
136	что это	11	6
137	можно было	14	6
138	было в	2	6
139	если бы	21	6
140	с этой	4	6
141	же и	4	6
142	и более	3	6
143	что у	3	6
144	на то	6	6
145	и здесь	8	6
146	в которых	8	6
147	и если	4	5
148	оно не	5	5
149	в то	4	5
150	к которому	3	5
151	в их	3	5
152	так и	10	5
153	от этого	4	5
154	связано с	3	5
155	в атмосфере	2	5
156	в более	2	5
157	как у	2	5
158	не для	2	5
159	должны быть	4	5
160	до того	2	5
161	сказать что	5	5
162	тот же	7	5
163	во всяком	8	5
164	да и	5	5
165	одно из	3	5
166	и мы	2	5
167	с этим	6	5
168	вопроса о	7	5
169	по преимуществу	3	5
170	отличается от	2	5
171	и как	3	5
172	бы в	8	5
173	мы увидим	3	5
174	для этого	6	5
175	еще не	10	5
176	как будто	2	5
177	сих пор	5	5
178	после того	3	5
179	когда он	4	5
180	был в	2	5
181	до сих	5	5
182	той же	5	5
183	в силах	2	4
184	к свету	2	4
185	же есть	2	4
186	по отношению	9	4
187	как о	2	4
188	в каждом	3	4
189	иное как	3	4
190	не что	2	4
191	к себе	4	4
192	от того	5	4
193	как к	2	4
194	не хочет	2	4
195	не знают	2	4
196	конце концов	3	4
197	он должен	2	4
198	не всегда	4	4
199	теряет свою	2	4
200	так что	5	4
201	что иное	2	4
202	в такой	2	4
203	есть в	6	4
204	в разных	2	4
205	а с	3	4
206	в чем	2	4
207	по сравнению	3	4
208	тому что	3	4
209	к этой	3	4
210	себе и	3	4
211	могут быть	5	4
212	тогда когда	7	4
213	и против	2	4
214	для них	2	4
215	все эти	17	4
216	и тогда	4	4
217	что они	5	4
218	в истории	3	4
219	себе в	3	4
220	не все	4	4
221	вряд ли	5	4
222	и даже	5	4
223	и по	4	4
224	что было	2	4
225	на деле	2	4
226	ни в	3	4
227	нельзя было	2	4
228	и их	2	4
229	и только	2	4
230	все равно	4	4
231	отношению к	9	4
232	не случайно	7	4
233	в той	6	4
234	в своих	2	4
235	и что	11	4
236	будто бы	3	4
237	в иных	3	3
238	были бы	2	3
239	этого вопроса	3	3
240	в европе	2	3
241	о чем	2	3
242	в состоянии	2	3
243	давно уже	2	3
244	одним из	2	3
245	и тем	7	3
246	это все	2	3
247	все же	17	3
248	можно ли	6	3
249	мы должны	2	3
250	на том	4	3
251	что же	11	3
252	даже и	5	3
253	между тем	11	3
254	в виду	7	3
255	ту же	6	3
256	что оно	6	3
257	нас все	2	3
258	на его	3	3
259	же как	3	3
260	когда в	4	3
261	и когда	2	3
262	стоит в	5	3
263	хотя и	7	3
264	это особенно	2	3
265	и то	7	3
266	в наше	3	3
267	то это	3	3
268	и еще	4	3
269	к этому	4	3
270	в которые	2	3
271	конечно не	3	3
272	об этом	4	3
273	что нет	2	3
274	находится в	2	3
275	но также	6	3
276	как не	4	3
277	не значит	2	3
278	превращается в	4	3
279	но ведь	3	3
280	для нас	6	3
281	в пределах	8	3
282	лишь как	3	3
283	не с	4	3
284	и русский	2	3
285	на этот	4	3
286	выходит за	2	3
287	на почве	2	3
288	но для	4	3
289	приводит к	3	3
290	в одном	4	3
