N	2gram	Ircho_Kome	Vvedenie
1	и т	11	45
2	т е	14	40
3	т д	4	39
4	в том	19	38
5	в этом	9	35
6	и в	40	35
7	том что	19	30
8	может быть	16	30
9	не только	12	26
10	для того	3	23
11	того чтобы	4	22
12	таким образом	13	21
13	не может	3	19
14	то что	8	19
15	потому что	8	18
16	со стороны	3	16
17	о том	12	16
18	только в	6	16
19	так как	6	15
20	в общем	2	14
21	и не	19	13
22	что в	12	13
23	в самом	5	13
24	в нем	8	13
25	в их	6	12
26	точки зрения	7	12
27	в его	8	12
28	как на	2	12
29	этом смысле	2	11
30	то же	7	11
31	по себе	2	11
32	в ее	2	11
33	как мы	5	11
34	ясно что	9	11
35	вопрос о	5	10
36	не в	8	10
37	прежде всего	8	10
38	но в	6	10
39	в той	2	10
40	между тем	9	10
41	из этих	5	9
42	этого рода	2	9
43	тем не	3	9
44	и как	3	9
45	все же	7	9
46	но не	3	9
47	не менее	6	9
48	дело с	3	9
49	в истории	10	9
50	это не	2	8
51	можно было	5	8
52	с другой	7	8
53	именно в	5	8
54	в качестве	8	8
55	к выводу	2	7
56	сих пор	3	7
57	как и	12	7
58	как бы	3	7
59	представить себе	3	7
60	но и	14	7
61	было бы	8	7
62	до сих	3	7
63	его в	6	6
64	хотя бы	2	6
65	об этом	2	6
66	и даже	5	6
67	н э	10	6
68	но если	4	6
69	тем что	5	6
70	как он	2	6
71	до н	3	6
72	в какой	2	6
73	на этот	5	6
74	с тем	5	6
75	и это	3	6
76	а в	9	6
77	могут быть	3	6
78	в то	14	6
79	один из	9	6
80	и что	2	6
81	и его	17	6
82	все это	7	6
83	же время	5	6
84	нельзя не	2	6
85	вовсе не	3	6
86	вместе с	8	6
87	независимо от	5	5
88	с их	4	5
89	в виду	2	5
90	и тем	2	5
91	одним из	3	5
92	с этой	3	5
93	что он	11	5
94	так что	6	5
95	т п	7	5
96	на основании	7	5
97	в течение	5	5
98	по своему	5	5
99	от этого	2	5
100	как это	7	5
101	в г	28	5
102	другой стороны	6	5
103	в них	7	5
104	уже в	9	5
105	в целом	6	5
106	всяком случае	4	5
107	что и	10	5
108	говорить о	3	5
109	в первом	2	5
110	хотя и	6	5
111	во всяком	4	5
112	да и	5	4
113	еще и	2	4
114	все более	4	4
115	в результате	5	4
116	о чем	2	4
117	одной стороны	5	4
118	и ее	5	4
119	в области	3	4
120	по отношению	5	4
121	в каждом	2	4
122	только что	2	4
123	этом отношении	3	4
124	из двух	2	4
125	еще не	7	4
126	времени и	2	4
127	е в	2	4
128	отношению к	5	4
129	речь в	2	4
130	в чем	3	4
131	отличие от	4	4
132	в отличие	3	4
133	с одной	5	4
134	к тому	15	4
135	одной из	6	4
136	но все	4	4
137	и для	4	4
138	из наиболее	2	4
139	так или	4	4
140	в котором	6	4
141	в виде	3	4
142	в более	4	4
143	не вполне	2	4
144	в и	3	4
145	ответ на	2	4
146	в одном	10	4
147	из них	16	4
148	или иначе	4	4
149	в себе	3	4
150	в своей	3	4
151	как раз	4	4
152	той же	3	4
153	однако не	2	4
154	так называемых	3	4
155	до конца	3	3
156	одна из	4	3
157	в отношении	6	3
158	что это	5	3
159	до нас	9	3
160	в своем	6	3
161	а также	5	3
162	с этим	5	3
163	которых не	2	3
164	так же	4	3
165	в начале	7	3
166	для этого	2	3
167	что она	3	3
168	к этому	8	3
169	в другом	5	3
170	в конце	7	3
171	от того	3	3
172	отношение к	3	3
173	во второй	4	3
174	и здесь	6	3
175	если бы	4	3
176	в принципе	3	3
177	об отношении	2	3
178	так называемой	3	3
179	в сущности	3	3
180	и вот	4	3
181	в этих	5	3
182	в силу	4	3
183	только на	2	3
184	в частности	7	3
185	как в	8	3
186	второй половины	2	3
187	как две	2	3
