N	3gram	Bakhtin_fo	DiskursI
1	в том что	4	28
2	в отличие от	3	26
3	по отношению к	3	17
4	с одной стороны	3	14
5	не может быть	4	12
6	в данном случае	2	12
7	той или иной	3	10
8	то же время	13	10
9	по природе своей	2	10
10	о том что	2	9
11	в то же	10	8
12	в этом отношении	5	8
13	как и в	3	7
14	в соответствии с	2	6
15	с точки зрения	9	6
16	к тому же	2	6
17	и как бы	2	5
18	одной стороны и	2	5
19	не только в	6	5
20	дело в том	2	5
21	и прежде всего	4	4
22	одного и того	6	4
23	существенную роль в	3	4
24	и того же	6	4
25	то есть в	2	3
26	одно и то	4	3
27	и то же	4	3
28	и в частности	2	3
29	в том числе	7	3
30	также и в	3	3
31	том числе и	4	3
32	к себе самому	7	2
33	сами по себе	2	2
34	прежде всего в	3	2
35	все то что	2	2
36	а также и	3	2
37	в большинстве случаев	2	2
38	но и в	5	2
39	в этом мире	7	2
40	и не только	2	2
41	одних и тех	2	2
42	с самого начала	3	2
43	и тех же	2	2
44	и в особенности	5	2
45	в одно и	3	2
46	времени и пространства	4	2
47	и в то	7	2
48	под углом зрения	2	2
