N	3gram	Nazirov_Tv	Vladivir
1	там же с	10	29
2	в том что	8	29
3	о том что	6	22
4	тем не менее	2	18
5	дело в том	4	13
6	во всяком случае	2	12
7	в связи с	2	12
8	в то же	19	10
9	не может быть	2	10
10	то же время	18	9
11	точно так же	3	7
12	т ii с	2	7
13	в году в	3	6
14	в данном случае	2	6
15	том что в	3	6
16	в отличие от	2	6
17	письма т ii	2	6
18	с другой стороны	2	6
19	в году он	2	5
20	и в то	3	5
21	не только в	2	5
22	на первом плане	2	5
23	по крайней мере	4	4
24	можно сказать что	2	4
25	в том же	3	4
26	и т д	10	4
27	с самого начала	3	3
28	в самом деле	2	3
29	но это не	2	3
30	и в году	2	3
31	в свою очередь	2	3
32	марта года в	2	2
33	так и в	2	2
34	но в то	5	2
35	в таком случае	2	2
36	и все же	3	2
37	о свободе воли	2	2
38	что у него	2	2
