N	3gram	Bakhtin_sl	FransuaR
1	в то же	15	55
2	то же время	15	55
3	как мы уже	4	28
4	до сих пор	4	27
5	в том что	4	27
6	в большинстве случаев	11	22
7	в этом отношении	2	20
8	но в то	6	20
9	с точки зрения	11	20
10	о том что	2	17
11	как мы видели	2	16
12	в связи с	2	16
13	большей или меньшей	5	16
14	но и в	2	15
15	в большей или	3	15
16	или меньшей степени	3	14
17	не может быть	11	13
18	с одной стороны	7	13
19	а также и	3	12
20	мы уже сказали	3	12
21	с другой стороны	5	12
22	и в то	6	12
23	в отличие от	12	11
24	той или иной	13	10
25	в той или	12	10
26	в данном случае	3	10
27	как и в	2	10
28	не только в	3	10
29	в значительной степени	6	10
30	по отношению к	2	9
31	так и в	5	9
32	зрения на мир	6	9
33	до известной степени	3	9
34	более или менее	5	8
35	таким образом в	4	8
36	во всех этих	2	7
37	включает в себя	3	7
38	и в романе	2	7
39	можно было бы	2	7
40	в узком смысле	13	7
41	в мировой литературе	2	7
42	в то время	2	7
43	и в особенности	5	6
44	в свою очередь	3	6
45	во всех его	8	6
46	как мы сказали	6	6
47	выходит за пределы	3	6
48	и во всех	2	6
49	в новое время	2	6
50	во всяком случае	7	5
51	в первом случае	2	5
52	друг с другом	2	5
53	одной стороны и	2	5
54	может быть и	2	4
55	и связанные с	2	4
56	а следовательно и	2	4
57	в собственном смысле	2	4
58	и не может	2	4
59	в особенности на	2	4
60	точки зрения на	4	4
61	и в них	2	4
62	во всех областях	4	4
63	всегда в той	3	3
64	все эти формы	4	3
65	не только не	2	3
66	и в том	2	3
67	несколько слов о	2	3
68	как бы ни	2	3
69	почти вовсе не	3	3
70	можно прямо сказать	3	3
71	и там где	5	3
72	прямо сказать что	2	3
73	в пределах одной	3	3
74	или иной степени	12	3
75	и не могут	2	3
76	то есть для	2	3
77	на том же	2	3
78	и др и	2	3
79	в основе их	2	3
80	и в этом	2	3
81	в романе и	2	2
82	имеет дело не	2	2
83	в нем в	6	2
84	точка зрения на	3	2
85	сих пор не	2	2
86	они как бы	2	2
87	или во всяком	2	2
88	той же задаче	2	2
89	мы не знаем	2	2
90	дело не с	2	2
91	не могут быть	3	2
92	в этом случае	4	2
93	в романе не	2	2
94	конечно и в	2	2
95	никогда не может	2	2
96	же время и	2	2
97	может быть только	3	2
98	и в другом	2	2
99	до конца ни	2	2
100	но по существу	2	2
101	в другом случае	3	2
102	и в сущности	4	2
103	во всех сферах	4	2
104	и с другой	2	2
105	между словом и	4	2
106	в известном смысле	2	2
