N	3gram	Vygotskiy_	Morfolog
1	мы видим что	2	11
2	в этом случае	4	10
3	не может быть	5	9
4	в связи с	8	9
5	по отношению к	3	7
6	с точки зрения	11	6
7	тем не менее	6	6
8	с другой стороны	5	5
9	как мы увидим	2	5
10	связи с этим	2	5
11	в том что	41	4
12	независимо от того	3	4
13	о том что	3	3
14	то время как	5	3
15	в том случае	2	3
16	собственном смысле слова	3	3
17	состоит в том	4	3
18	в то время	5	3
19	как и в	3	3
20	для того чтобы	14	3
21	на то что	5	3
22	в собственном смысле	12	3
23	том случае если	2	2
24	во всяком случае	10	2
25	то что в	3	2
26	не что иное	2	2
27	что иное как	2	2
28	но так как	2	2
29	более или менее	3	2
30	в этом отношении	9	2
31	точно так же	4	2
32	в обоих случаях	2	2
33	можно было бы	8	2
34	друг на друга	3	2
35	с одной стороны	8	2
