N	3gram	Berdyaev_M	Tvorches
1	в романах достоевского	2	29
2	в творчестве достоевского	7	11
3	в том что	3	11
4	в братьях карамазовых	5	9
5	преступления и наказания	2	9
6	о том что	3	8
7	в записках из	2	6
8	не может быть	22	6
9	записок из подполья	5	5
10	записках из подполья	2	5
11	по отношению к	4	5
12	в его романах	2	5
13	о великом инквизиторе	6	5
14	у достоевского нет	6	4
15	до сих пор	5	4
16	это значит что	3	3
17	как и в	2	3
18	добра и зла	7	3
19	и не может	2	3
20	что он не	3	2
21	достоевского никогда не	2	2
22	и в конце	2	2
23	в свою противоположность	4	2
24	ивана карамазова и	2	2
25	потому что он	3	2
26	не только в	2	2
27	для того чтобы	4	2
28	переходит в свою	3	2
29	у достоевского это	3	2
30	место в творчестве	2	2
31	может быть назван	3	2
32	не могут быть	2	2
33	никогда не было	2	2
34	вместе с тем	5	2
35	это не значит	2	2
36	в конце концов	3	2
37	но это не	3	2
38	заключает в себе	3	2
39	и иван карамазов	2	2
40	и та же	2	2
41	бога и дьявола	2	2
42	в своем творчестве	3	2
43	в каждом человеке	2	2
44	с настасьей филипповной	3	2
45	в высшей степени	4	2
46	к человеку как	2	2
47	и всякий раз	2	2
48	в дневнике писателя	4	2
49	в бесах и	2	2
50	человека у достоевского	3	2
51	и в самом	3	2
