N	2gram	Propp_Morf	StatiiOP
1	и в	17	103
2	в том	10	89
3	том что	7	77
4	в этом	18	76
5	что в	10	74
6	не только	8	60
7	и т	62	51
8	о том	6	47
9	но и	9	46
10	то что	10	44
11	что он	5	42
12	и не	16	41
13	может быть	61	38
14	т е	25	33
15	было бы	5	32
16	т д	60	32
17	в этой	3	31
18	вовсе не	6	31
19	все это	2	29
20	тем что	4	29
21	таким образом	26	28
22	а в	8	27
23	а не	11	27
24	но в	4	26
25	что это	3	25
26	так и	10	25
27	этом отношении	2	24
28	и его	3	24
29	все же	9	23
30	не в	3	23
31	точки зрения	7	23
32	потому что	7	23
33	того что	3	22
34	прежде всего	14	22
35	для того	3	22
36	у нас	3	22
37	в которой	3	22
38	как в	5	22
39	того чтобы	4	21
40	и пр	45	21
41	это не	6	20
42	в то	4	19
43	только в	3	19
44	об этом	5	18
45	не может	19	18
46	с другой	9	18
47	он не	5	18
48	самом деле	4	17
49	в россии	2	17
50	в данном	2	17
51	как бы	6	17
52	с этим	14	16
53	сказать что	4	16
54	можно было	4	16
55	если бы	3	16
56	в этих	17	16
57	с тем	2	15
58	как и	4	15
59	для него	2	15
60	например в	2	15
61	другой стороны	5	15
62	из этих	2	15
63	также и	6	15
64	у него	2	15
65	так например	3	14
66	к тому	5	14
67	между тем	5	14
68	то же	10	14
69	но все	4	14
70	с точки	6	14
71	и что	3	14
72	со стороны	5	13
73	а с	2	13
74	тому что	5	13
75	но это	6	13
76	в качестве	8	13
77	во всяком	2	13
78	из них	4	13
79	всяком случае	2	13
80	не менее	7	12
81	что они	5	12
82	так как	20	12
83	как например	2	12
84	хотя бы	5	12
85	ни в	3	12
86	в своих	2	12
87	вопрос о	10	11
88	в другом	2	11
89	все эти	5	11
90	и по	3	11
91	из его	2	11
92	того как	2	11
93	это было	3	11
94	на то	3	11
95	ясно что	5	11
96	на самом	4	10
97	в каком	2	10
98	так же	4	10
99	ответ на	2	10
100	в частности	2	10
101	на вопрос	2	10
102	ничего не	5	10
103	в целом	5	10
104	что и	10	10
105	в начале	3	10
106	во всех	6	10
107	во второй	2	10
108	кроме того	3	10
109	но не	8	10
110	что такое	3	10
111	в чем	2	9
112	что же	2	9
113	несмотря на	4	9
114	там где	5	9
115	во время	6	9
116	можно сказать	2	9
117	вряд ли	2	9
118	в одном	2	9
119	не является	4	9
120	с этой	3	9
121	и для	4	9
122	и к	4	9
123	для нас	2	9
124	что мы	2	9
125	что эта	2	9
126	и тем	3	9
127	при помощи	12	8
128	могут быть	21	8
129	и др	12	8
130	в какой	3	8
131	связи с	12	8
132	к этому	4	8
133	а также	7	8
134	мы имеем	19	8
135	дело не	2	8
136	что она	2	8
137	в результате	8	8
138	тем не	7	8
139	и даже	2	8
140	одним из	2	8
141	действующих лиц	22	8
142	и более	2	8
143	не имеет	2	8
144	в которых	2	8
145	данном случае	2	7
146	том как	2	7
147	раньше чем	5	7
148	в виде	3	7
149	одной из	2	7
150	во втором	7	7
151	что этот	2	7
152	а а	2	7
153	как это	7	7
154	не все	6	7
155	то в	3	7
156	еще не	4	7
157	отношению к	7	7
158	на этот	2	7
159	можно назвать	3	7
160	то время	3	7
161	но с	2	7
162	в одной	2	6
163	по отношению	7	6
164	б в	2	6
165	в отдельных	3	6
166	из которых	5	6
167	по существу	13	6
168	к нему	3	6
169	в в	2	6
170	на его	5	6
171	с его	3	6
172	независимо от	4	6
173	мы не	8	6
174	и здесь	7	6
175	д но	4	6
176	время как	3	6
177	этот вопрос	4	6
178	говорить о	4	6
179	в некоторых	4	6
180	и за	2	6
181	тем же	2	6
182	в очень	2	5
183	его в	4	5
184	представляет собою	8	5
185	даже не	3	5
186	но если	10	5
187	это и	3	5
188	что именно	2	5
189	в свое	2	5
190	в основу	2	5
191	не так	2	5
192	а то	3	5
193	одной стороны	2	5
194	один из	7	5
195	в тех	8	5
196	в числе	2	5
197	в сущности	3	5
198	не на	2	5
199	никто не	4	5
200	должна быть	2	5
201	из таких	2	5
202	что эти	3	5
203	хотя и	5	5
204	утверждать что	3	5
205	то это	5	5
206	к ней	3	5
207	целый ряд	3	5
208	как будто	2	5
209	не по	2	5
210	но они	2	5
211	с одной	2	5
212	вообще не	2	5
213	ее в	3	5
214	уже не	4	5
215	оно не	2	5
216	и только	3	5
217	без всякого	2	5
218	не могут	7	4
219	одна из	5	4
220	в форме	6	4
221	на этом	4	4
222	и у	3	4
223	же можно	3	4
224	не всегда	10	4
225	что ни	2	4
226	не знает	2	4
227	но как	3	4
228	они не	3	4
229	состоит в	3	4
230	а потому	2	4
231	что его	4	4
232	в образе	6	4
233	мы видим	15	4
234	и тогда	3	4
235	в связи	10	4
236	в первом	5	4
237	случае не	4	4
238	должны быть	2	4
239	который в	2	4
240	как мы	8	4
241	очень часто	6	4
242	если в	7	4
243	в обоих	2	4
244	и тот	2	4
245	на него	4	4
246	только что	3	4
247	из двух	3	4
248	и их	3	4
249	и другие	6	4
250	в последнем	3	4
251	но для	3	4
252	а по	3	4
253	не существует	3	4
254	вопрос в	2	4
255	представляют собою	2	4
256	а на	3	4
257	значит что	4	4
258	или в	6	4
259	в основе	2	4
260	связана с	3	4
261	чем в	2	4
262	перед нами	14	3
263	от него	2	3
264	вопроса о	3	3
265	в других	5	3
266	от того	4	3
267	или же	7	3
268	вот как	2	3
269	он должен	3	3
270	а вовсе	2	3
271	а во	3	3
272	относятся к	2	3
273	видно что	5	3
274	или менее	2	3
275	ниже в	2	3
276	на котором	4	3
277	что о	2	3
278	без всякой	2	3
279	она не	2	3
280	это уже	3	3
281	заметить что	11	3
282	и как	6	3
283	смысле слова	4	3
284	совсем не	3	3
285	здесь не	3	3
286	а затем	10	3
287	представляют собой	16	3
288	себя и	2	3
289	и ее	5	3
290	этом случае	10	3
291	бы то	3	3
292	это еще	2	3
293	бы в	2	3
294	но эти	3	3
295	в данной	2	3
296	также в	2	3
297	считаться с	2	3
298	иногда и	2	3
299	вытекает из	2	3
300	является в	2	3
301	не значит	3	3
302	если это	3	3
303	их в	2	3
304	с большой	2	3
305	представляет собой	17	3
306	что до	2	3
307	это можно	2	3
308	может не	2	3
309	в один	3	3
310	то ни	3	3
311	более или	2	3
312	что при	3	3
313	тем и	2	3
314	в таких	3	2
315	в иных	4	2
316	д г	7	2
317	следует еще	2	2
318	в нее	2	2
319	бы они	2	2
320	или нет	2	2
321	такие случаи	3	2
322	это явление	5	2
323	в настоящее	3	2
324	но есть	3	2
325	и таким	2	2
326	на пути	4	2
327	состоит из	3	2
328	ни одной	2	2
329	и при	3	2
330	в интересах	2	2
331	потому не	2	2
332	показать что	4	2
333	по своему	2	2
334	и этот	2	2
335	к вопросу	2	2
336	для этой	3	2
337	вступают в	3	2
338	с того	3	2
339	а если	4	2
340	ту же	2	2
341	настоящее время	3	2
342	от других	2	2
343	между собой	5	2
344	точно так	2	2
345	и этим	7	2
346	и когда	2	2
347	то как	2	2
348	тогда как	2	2
349	с теми	4	2
350	по отдельным	2	2
