N	2gram	Tiupa_Disk	VeschiIm
1	не есть	3	79
2	и не	25	57
3	не только	36	48
4	то что	10	48
5	не может	17	46
6	и в	27	45
7	и есть	2	40
8	может быть	29	39
9	а не	35	37
10	общения с	4	25
11	потому что	7	25
12	в себе	22	23
13	по себе	3	23
14	только в	9	23
15	сказать что	4	22
16	и что	2	22
17	как бы	9	20
18	и ее	5	19
19	но и	22	19
20	что же	4	19
21	все же	8	18
22	в этом	29	18
23	и это	3	17
24	прежде всего	17	17
25	того что	4	16
26	таким образом	4	16
27	в том	29	15
28	как и	27	15
29	в ней	2	15
30	уже не	7	15
31	не в	8	14
32	и то	4	14
33	но это	3	14
34	том что	27	13
35	это и	2	13
36	в самом	4	13
37	в себя	7	13
38	что в	8	12
39	точки зрения	6	12
40	что и	5	12
41	и как	9	12
42	то же	12	12
43	еще не	20	12
44	и даже	4	12
45	о том	12	12
46	и с	2	12
47	в то	8	11
48	не менее	6	11
49	что не	4	11
50	содержит в	3	11
51	себя в	8	11
52	также и	6	11
53	ни в	7	11
54	крайней мере	3	10
55	в чем	2	10
56	с ее	3	10
57	по крайней	3	10
58	это не	5	9
59	со стороны	17	9
60	в своем	11	9
61	должно быть	2	9
62	хотя бы	3	9
63	в результате	3	9
64	я и	3	9
65	но не	17	9
66	говорить о	3	9
67	и его	4	9
68	и потому	3	8
69	указывает на	2	8
70	что он	6	8
71	но в	15	8
72	в ее	4	8
73	мы не	2	8
74	себя и	2	8
75	все это	2	8
76	должна быть	2	8
77	можно сказать	7	8
78	мы имеем	4	8
79	отличается от	3	8
80	для него	9	8
81	не с	4	8
82	с другой	14	8
83	отнюдь не	11	8
84	в действительности	3	7
85	и тем	2	7
86	из них	6	7
87	самом деле	2	7
88	а в	5	7
89	необходимо чтобы	2	7
90	все эти	2	7
91	в сущности	3	7
92	или не	2	7
93	слова и	2	7
94	тем что	4	7
95	с этой	2	7
96	оно не	2	7
97	никогда не	3	6
98	вопрос о	2	6
99	для себя	6	6
100	и все	5	6
101	в нем	16	6
102	должны быть	3	6
103	и до	2	6
104	в своей	10	6
105	как мы	2	6
106	одно и	2	6
107	и вообще	2	6
108	в данном	9	6
109	дело в	3	6
110	на почве	3	6
111	их в	2	6
112	в той	2	6
113	жизни и	2	6
114	с точки	3	6
115	момент в	3	6
116	в одном	5	6
117	да и	2	5
118	как к	2	5
119	свою очередь	3	5
120	вместе с	3	5
121	как это	2	5
122	того же	5	5
123	точка зрения	3	5
124	и без	2	5
125	один из	3	5
126	на себя	2	5
127	она сама	2	5
128	в его	9	5
129	о ней	2	5
130	хотя и	3	5
131	быть и	2	5
132	во всех	6	5
133	в которой	2	5
134	мысли и	2	5
135	об этом	3	5
136	себя с	2	5
137	в жизни	2	5
138	подобно тому	4	5
139	в свою	3	5
140	тому как	5	5
141	о них	2	4
142	к себе	2	4
143	в силу	5	4
144	отношение к	6	4
145	в их	5	4
146	так и	14	4
147	в этой	5	4
148	более или	2	4
149	не то	2	4
150	не предполагает	4	4
151	в качестве	45	4
152	не было	9	4
153	во всяком	3	4
154	в основе	11	4
155	и от	2	4
156	тут же	3	4
157	с этим	3	4
158	есть в	3	4
159	только то	2	4
160	дело не	3	4
161	на него	2	4
162	себя самого	2	4
163	в особенности	5	4
164	по своей	15	4
165	и о	4	4
166	в котором	7	4
167	точке зрения	2	4
168	на этом	3	4
169	или менее	2	4
170	сводится к	7	4
171	реальности и	2	4
172	же время	9	4
173	он не	4	4
174	и сам	2	4
175	принципиально не	2	3
176	перед нами	4	3
177	к одному	2	3
178	но как	2	3
179	не является	5	3
180	а потом	2	3
181	но она	3	3
182	в другом	5	3
183	себе не	4	3
184	или о	2	3
185	ни о	2	3
186	только на	2	3
187	в частности	18	3
188	может и	4	3
189	на ее	2	3
190	а с	8	3
191	неотделимо от	3	3
192	к тому	6	3
193	и само	2	3
194	одной стороны	12	3
195	другой стороны	5	3
196	различие между	3	3
197	в целом	5	3
